EV,W_pct,P_pct,Team,Team_Result,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.15,80.5,3.6,NYJ,W,BUF,-9.5,@WAS,-3.0,KC,-10.5,@PHI,3.0,NYG,-1.5,@MIA,2.0,0.34086741896483
1.07,81.3,22.0,PIT,W,@KC,-10.5,CIN,-7.0,CLE,-14.0,@SF,3.0,STL,-10.0,@CLE,-7.0,0.79469101342977
1.07,74.6,1.3,NO,W,NYG,-7.0,DET,-9.0,@TEN,-3.5,@MIN,-7.0,ATL,-7.0,CAR,-7.0,0.73588268089958
1.02,73.2,6.8,DAL,W,MIA,-7.0,@ARI,-4.0,NYG,-4.5,@TB,-7.0,PHI,1.0,@NYG,3.0,0.38108336503857
1.02,81.3,33.9,ATL,W,MIN,-10.0,@HOU,-1.0,@CAR,-3.0,JAX,-13.5,@NO,7.0,TB,-10.0,0.52454459413702
1.01,70.9,2.7,HOU,W,@JAX,-6.0,ATL,1.0,@CIN,2.5,CAR,-6.0,@IND,-7.0,TEN,1.0,0.28548949885759
0.94,71.6,16.4,CIN,W,CLE,-6.5,@PIT,7.0,HOU,-2.5,@STL,-7.0,ARI,-4.5,BAL,2.5,0.31593713082347
0.94,65.4,0.9,GB,W,@DET,-4.5,@NYG,-7.0,OAK,-11.5,@KC,-10.5,CHI,-13.0,DET,6.5,0.85572638358068
0.93,64.6,0.7,SD,L,DEN,-4.5,@JAX,-3.0,BUF,-7.0,BAL,1.0,@DET,-1.0,@OAK,2.5,0.24312188291559
0.9,62.3,0.2,BAL,W,SF,-3.5,@CLE,-7.0,IND,-16.5,@SD,-1.0,CLE,-11.0,@CIN,-2.5,0.71996686784496
0.89,64.5,7.3,CAR,W,@IND,-3.5,@TB,-1.0,ATL,3.0,@HOU,6.0,TB,-9.0,@NO,7.0,0.21465042515226
0.88,61.2,0.1,TEN,W,TB,-3.0,@BUF,1.0,NO,3.5,@IND,-6.5,JAX,-8.0,@HOU,-1.0,0.36043044292653
0.83,57.8,1.0,SEA,L,WAS,-3.0,PHI,3.0,STL,-9.0,@CHI,3.5,SF,1.5,@ARI,2.5,0.18191643003987
0.83,57.6,1.2,NE,W,@PHI,-3.0,IND,-20.5,@WAS,-7.0,@DEN,-7.0,MIA,-7.0,BUF,-10.0,1.0
0.82,57.0,0.6,OAK,W,CHI,-3.0,@MIA,3.5,@GB,11.5,DET,1.0,@KC,2.5,SD,-2.5,0.037548257986005
0.8,55.7,0.1,STL,L,ARI,-1.0,@SF,14.0,@SEA,9.0,CIN,7.0,@PIT,10.0,SF,12.5,0.0
0.64,44.3,0.1,ARI,W,@STL,1.0,DAL,4.0,SF,3.5,CLE,-6.0,@CIN,4.5,SEA,-2.5,0.16893242778228
0.62,43.0,0.2,CHI,L,@OAK,3.0,KC,-9.0,@DEN,3.5,SEA,-3.5,@GB,13.0,@MIN,1.5,0.27916560103536
0.62,42.4,0.0,PHI,L,NE,3.0,@SEA,-3.0,@MIA,3.0,NYJ,-3.0,@DAL,-1.0,WAS,-7.0,0.3281107542764
0.62,42.2,0.1,WAS,W,@SEA,3.0,NYJ,3.0,NE,7.0,@NYG,5.5,MIN,-6.0,@PHI,7.0,0.12702878460315
0.56,38.8,0.1,TB,L,@TEN,3.0,CAR,1.0,@JAX,-3.0,DAL,7.0,@CAR,9.0,@ATL,10.0,0.053260542822555
0.56,35.5,0.1,IND,L,CAR,3.5,@NE,20.5,@BAL,16.5,TEN,6.5,HOU,7.0,@JAX,3.0,0.0
0.54,37.7,0.3,SF,L,@BAL,3.5,STL,-14.0,@ARI,-3.5,PIT,-3.0,@SEA,-1.5,@STL,-12.5,0.66808412878369
0.51,35.4,0.1,DEN,W,@SD,4.5,@MIN,1.0,CHI,-3.5,NE,7.0,@BUF,-3.0,KC,-1.0,0.14764420587318
0.5,34.6,0.2,DET,L,GB,4.5,@NO,9.0,MIN,-10.0,@OAK,-1.0,SD,1.0,@GB,-6.5,0.40476255975344
0.5,28.4,0.0,CLE,L,@CIN,6.5,BAL,7.0,@PIT,14.0,@ARI,6.0,@BAL,11.0,PIT,7.0,0.0
0.44,29.1,0.0,JAX,L,HOU,6.0,SD,3.0,TB,3.0,@ATL,13.5,@TEN,8.0,IND,-3.0,0.067340629695064
0.43,18.7,0.0,MIN,L,@ATL,10.0,DEN,-1.0,@DET,10.0,NO,7.0,@WAS,6.0,CHI,-1.5,0.077778104895671
0.42,26.8,0.1,MIA,L,@DAL,7.0,OAK,-3.5,PHI,-3.0,@BUF,-1.0,@NE,7.0,NYJ,-2.0,0.14809234881914
0.37,25.4,0.1,NYG,L,@NO,7.0,GB,7.0,@DAL,4.5,WAS,-5.5,@NYJ,1.5,DAL,-3.0,0.19266075397182
0.37,18.7,0.0,KC,L,PIT,10.5,@CHI,9.0,@NYJ,10.5,GB,10.5,OAK,-2.5,@DEN,1.0,0.052094362674493
0.3,19.5,0.0,BUF,L,@NYJ,9.5,TEN,-1.0,@SD,7.0,MIA,1.0,DEN,3.0,@NE,10.0,0.0031213873247553
