EV,W_pct,P_pct,Team,Team_Result,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.09,85.4,19.7,TB,W,ATL,-13.0,@LAR,1.0,@NE,-3.5,MIA,-7.0,@PHI,-6.5,CHI,-10.0,@NO,-1.5,BYE,,@WAS,-6.0,NYG,-10.5,@IND,-3.0,@ATL,-6.5,BUF,-4.0,NO,-6.5,@CAR,-6.0,@NYJ,-9.5,CAR,-8.0,0.86186707069873
1.04,85.5,33.3,CLE,W,HOU,-13.5,CHI,-7.5,@MIN,-1.5,@LAC,0.5,ARI,-4.0,DEN,-6.0,PIT,-3.5,@CIN,-4.0,@NE,-1.5,DET,-10.5,@BAL,3.5,BYE,,BAL,-3.0,LV,-6.5,@GB,2.5,@PIT,1.5,CIN,-7.0,0.53421486075403
1.03,80.7,16.1,GB,W,DET,-11.5,@SF,3.5,PIT,-3.0,@CIN,-3.5,@CHI,-3.0,WAS,-6.5,@ARI,3.0,@KC,6.5,SEA,-2.5,@MIN,1.5,LAR,0.5,BYE,,CHI,-6.5,@BAL,3.5,CLE,-2.5,MIN,-4.0,@DET,-5.5,0.35030861629078
0.96,71.7,3.2,SEA,L,TEN,-6.5,@MIN,-2.0,@SF,3.0,LAR,-2.0,@PIT,1.5,NO,-3.0,JAX,-9.5,BYE,,@GB,2.5,ARI,-4.0,@WAS,-3.0,SF,-2.5,@HOU,-7.5,@LAR,3.5,CHI,-7.0,DET,-10.5,@ARI,1.5,0.47345825203167
0.91,69.8,6.9,DEN,W,@JAX,-6.0,NYJ,-11.5,BAL,1.5,@PIT,3.5,LV,-3.5,@CLE,6.0,WAS,-4.0,@DAL,3.5,PHI,-4.5,BYE,,LAC,-2.5,@KC,9.0,DET,-9.5,CIN,-6.0,@LV,1.5,@LAC,3.5,KC,3.5,0.40413079306523
0.91,68.1,2.4,PIT,L,LV,-5.0,CIN,-3.5,@GB,3.0,DEN,-3.5,SEA,-1.5,BYE,,@CLE,3.5,CHI,-6.0,DET,-9.5,@LAC,3.0,@CIN,-3.0,BAL,1.0,@MIN,2.5,TEN,-3.5,@KC,7.5,CLE,-1.5,@BAL,4.0,0.31295740435611
0.9,68.5,6.9,NE,W,@NYJ,-5.5,NO,-3.0,TB,3.5,@HOU,-6.0,DAL,-2.5,NYJ,-7.0,@LAC,3.5,@CAR,1.0,CLE,1.5,@ATL,-1.0,TEN,-2.5,@BUF,6.5,BYE,,@IND,3.5,BUF,3.0,JAX,-7.0,@MIA,3.0,0.27632944343511
0.87,65.2,1.9,LAR,W,@IND,-4.5,TB,-1.0,ARI,-4.5,@SEA,2.0,@NYG,-4.0,DET,-13.0,@HOU,-9.0,TEN,-6.0,@SF,3.0,BYE,,@GB,-0.5,JAX,-11.0,@ARI,-1.5,SEA,-3.5,@MIN,-2.5,@BAL,3.0,SF,-3.0,0.5480373268602
0.87,64.7,1.6,WAS,W,NYG,-4.0,@BUF,9.5,@ATL,3.0,NO,3.0,KC,7.0,@GB,6.5,@DEN,4.0,BYE,,TB,6.0,@CAR,1.5,SEA,3.0,@LV,3.0,DAL,-1.5,@PHI,3.0,@DAL,4.0,PHI,-3.0,@NYG,0.5,0.039153628573749
0.85,63.2,1.4,BUF,W,@MIA,-3.5,WAS,-9.5,HOU,-14.0,@KC,4.5,@TEN,-2.0,BYE,,MIA,-6.5,@JAX,-7.0,@NYJ,-7.0,IND,-6.0,@NO,1.0,NE,-6.5,@TB,4.0,CAR,-8.0,@NE,-3.0,ATL,-9.5,NYJ,-9.5,0.82358355191759
0.85,63.5,2.7,ARI,W,MIN,-3.5,@JAX,-7.5,@LAR,4.5,SF,-0.5,@CLE,4.0,HOU,-10.5,GB,-3.0,@SF,4.0,CAR,-6.0,@SEA,4.0,BYE,,@CHI,-2.5,LAR,1.5,@DET,-6.5,IND,-3.0,@DAL,2.5,SEA,-1.5,0.37797087642523
0.84,62.2,0.6,KC,L,@BAL,-3.5,LAC,-6.5,@PHI,-6.5,BUF,-4.5,@WAS,-7.0,@TEN,-4.0,NYG,-10.5,GB,-6.5,@LV,-6.5,DAL,-7.5,BYE,,DEN,-9.0,LV,-9.5,@LAC,-4.0,PIT,-7.5,@CIN,-7.0,@DEN,-3.5,1.0
0.81,59.9,0.3,LAC,L,DAL,-3.0,@KC,6.5,LV,-4.5,CLE,-0.5,@BAL,4.0,BYE,,NE,-3.5,@PHI,-1.5,MIN,-3.5,PIT,-3.0,@DEN,2.5,@CIN,-3.0,NYG,-7.0,KC,4.0,@HOU,-6.5,DEN,-3.5,@LV,0.5,0.34523483635392
0.78,57.6,1.0,NO,L,@CAR,-3.0,@NE,3.0,NYG,-7.0,@WAS,-3.0,BYE,,@SEA,3.0,TB,1.5,ATL,-7.0,@TEN,1.0,@PHI,-3.0,BUF,-1.0,DAL,-4.0,@NYJ,-5.0,@TB,6.5,MIA,-4.0,CAR,-7.0,@ATL,-3.0,0.43688882386546
0.77,57.2,0.4,SF,W,@PHI,-3.0,GB,-3.5,SEA,-3.0,@ARI,0.5,BYE,,IND,-6.0,@CHI,-3.5,ARI,-4.0,LAR,-3.0,@JAX,-6.5,MIN,-6.5,@SEA,2.5,@CIN,-3.5,ATL,-8.0,@TEN,-1.5,HOU,-13.5,@LAR,3.0,0.60167933548609
