EV,W_pct,P_pct,Team,Team_Result,17,17_spread,Future_Val
1.2,84.6,18.8,PIT,W,@CLE,-13.0,
1.16,78.1,2.4,NE,L,@MIA,-10.0,
1.15,77.3,1.6,CIN,W,BAL,-10.0,
1.15,79.9,11.2,DEN,W,SD,-10.0,
1.12,78.2,11.6,CAR,W,TB,-10.0,
1.08,73.2,3.8,KC,W,OAK,-6.5,
1.03,68.4,0.4,ARI,L,SEA,-6.0,
1.02,68.1,1.1,ATL,L,NO,-5.0,
0.95,65.3,5.0,IND,W,TEN,-4.0,
0.95,63.8,2.3,NYG,L,PHI,-3.5,
0.91,68.0,19.4,HOU,W,JAX,-5.5,
0.9,60.0,2.2,STL,L,@SF,-3.0,
0.88,60.6,7.0,DAL,L,WAS,-3.0,
0.86,57.4,0.8,DET,W,@CHI,-2.5,
0.86,57.8,1.6,GB,L,MIN,-3.0,
0.86,56.8,0.9,NYJ,L,@BUF,-2.5,
0.64,43.2,2.1,BUF,W,NYJ,2.5,
0.64,42.2,0.4,MIN,W,@GB,3.0,
0.64,42.6,1.5,CHI,L,DET,2.5,
0.62,39.4,1.4,WAS,W,@DAL,3.0,
0.6,40.0,1.8,SF,W,STL,3.0,
0.59,32.0,0.1,JAX,L,@HOU,5.5,
0.55,36.2,0.4,PHI,W,@NYG,3.5,
0.55,34.7,0.5,TEN,L,@IND,4.0,
0.48,31.9,0.2,NO,W,@ATL,5.0,
0.47,31.6,0.3,SEA,W,@ARI,6.0,
0.42,26.8,0.4,OAK,L,@KC,6.5,
0.38,21.8,0.3,TB,L,@CAR,10.0,
0.35,20.1,0.2,SD,L,@DEN,10.0,
0.35,22.7,0.3,BAL,L,@CIN,10.0,
0.34,21.9,0.2,MIA,W,NE,10.0,
0.3,15.4,0.3,CLE,L,PIT,13.0,
