EV,W_pct,P_pct,Team,Team_Result,17,17_spread,18,18_spread,Future_Val
1.27,87.8,9.5,BUF,W,NE,-14.5,@MIA,-3.0,0.32600242621609
1.27,86.9,4.5,SF,W,@WAS,-14.0,LAR,-3.0,0.31793343579419
1.19,84.2,15.6,PHI,L,ARI,-12.5,@NYG,-5.0,0.49296437628086
1.1,74.3,0.9,KC,W,CIN,-7.0,@LAC,3.0,0.0
1.02,73.5,13.2,CLE,W,NYJ,-7.0,@CIN,5.5,0.0
1.01,70.7,6.5,LAR,W,@NYG,-6.5,@SF,3.0,0.0
0.98,66.0,0.3,DAL,W,DET,-4.5,@WAS,-13.5,1.0
0.97,65.7,1.0,SEA,L,PIT,-4.5,@ARI,-3.0,0.22364011329801
0.92,67.0,13.8,HOU,W,TEN,-4.5,@IND,1.0,0.074644173921892
0.91,62.3,2.6,IND,W,LV,-3.5,HOU,-1.0,0.0
0.9,63.3,6.2,DEN,W,LAC,-3.5,@LV,2.5,0.0
0.89,60.6,0.9,BAL,W,MIA,-3.0,PIT,4.0,0.0
0.88,64.3,13.3,JAX,W,CAR,-4.0,@TEN,-4.5,0.51300849336658
0.83,57.2,2.6,TB,L,NO,-2.5,@CAR,-5.5,0.55973781820115
0.83,56.9,2.9,CHI,W,ATL,-2.5,@GB,3.0,0.0
0.76,50.8,0.3,GB,W,@MIN,-1.0,CHI,-3.0,0.30371499536569
0.72,49.2,2.1,MIN,L,GB,1.0,@DET,3.5,0.0
0.65,43.1,0.4,ATL,L,@CHI,2.5,@NO,3.0,0.0
0.65,42.8,0.2,NO,W,@TB,2.5,ATL,-3.0,0.31760137897512
0.6,35.7,0.1,CAR,L,@JAX,4.0,TB,5.5,0.0
0.59,39.4,0.1,MIA,L,@BAL,3.0,BUF,3.0,0.0
0.57,36.7,0.4,LAC,L,@DEN,3.5,KC,-3.0,0.27943933713424
0.57,37.7,1.0,LV,L,@IND,3.5,DEN,-2.5,0.23839399854655
0.56,33.0,0.4,TEN,L,@HOU,4.5,JAX,4.5,0.0
0.51,34.3,0.3,PIT,W,@SEA,4.5,@BAL,-4.0,0.39215475048493
0.5,34.0,0.0,DET,L,@DAL,4.5,MIN,-3.5,0.30947686221736
0.46,29.3,0.4,NYG,L,LAR,6.5,PHI,5.0,0.0
0.46,26.5,0.3,NYJ,L,@CLE,7.0,@NE,2.5,0.0
0.38,25.7,0.1,CIN,L,@KC,7.0,CLE,-5.5,0.50336803103599
0.29,15.8,0.1,ARI,W,@PHI,12.5,SEA,3.0,0.0
0.21,13.1,0.1,WAS,L,SF,14.0,DAL,13.5,0.0
0.21,12.2,0.1,NE,L,@BUF,14.5,NYJ,-2.5,0.22169915841071
