EV,W_pct,P_pct,Team,Team_Result,18,18_spread,Future_Val
1.29,93.3,8.0,BAL,W,CLE,-19.5,
1.22,89.3,11.2,TB,W,NO,-14.5,
1.11,82.5,11.1,DEN,W,KC,-11.0,
1.06,79.3,11.2,GB,L,CHI,-10.0,
1.03,74.5,3.6,SEA,W,@LAR,-7.0,
1.02,73.9,2.0,WSH,W,@DAL,-7.0,
1.0,73.4,5.2,LAC,W,@LV,-7.0,
0.97,76.6,23.7,ATL,L,CAR,-8.0,
0.91,65.9,3.7,ARI,W,SF,-4.5,
0.86,63.1,5.0,IND,W,JAX,-3.5,
0.85,61.5,1.0,BUF,L,@NE,-3.0,
0.84,60.2,1.3,PHI,W,NYG,-3.0,
0.81,58.4,0.8,DET,W,MIN,-3.0,
0.79,57.0,1.8,TEN,L,HOU,-2.5,
0.77,55.8,1.7,CIN,W,@PIT,-2.5,
0.72,51.5,0.9,NYJ,W,MIA,-1.0,
0.67,48.5,1.4,MIA,L,@NYJ,1.0,
0.62,44.2,0.7,PIT,L,CIN,2.5,
0.6,43.0,1.7,HOU,W,@TEN,2.5,
0.58,41.6,0.5,MIN,L,@DET,3.0,
0.56,39.8,0.5,NYG,L,@PHI,3.0,
0.54,38.5,0.3,NE,W,BUF,3.0,
0.54,36.9,0.3,JAX,L,@IND,3.5,
0.49,34.1,0.8,SF,L,@ARI,4.5,
0.42,23.4,0.1,CAR,W,@ATL,8.0,
0.39,26.6,0.2,LV,L,LAC,7.0,
0.37,26.1,0.1,DAL,L,WSH,7.0,
0.37,25.5,0.8,LAR,L,SEA,7.0,
0.33,20.7,0.2,CHI,W,@GB,10.0,
0.28,17.5,0.2,KC,L,@DEN,11.0,
0.17,10.7,0.0,NO,L,@TB,14.5,
0.11,6.7,0.0,CLE,L,@BAL,19.5,
