EV,W_pct,P_pct,Team,Team_Result,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.17,72.6,4.4,NE,W,@NYJ,-7.0,@MIA,-7.0,HOU,-5.5,SF,-4.0,@JAX,-14.0,MIA,-11.0,0.89432354169629
1.16,69.5,1.8,CHI,W,MIN,-6.0,SEA,-3.0,@MIN,-1.0,GB,3.0,@ARI,-7.0,@DET,-3.0,0.31145183082418
1.05,62.7,0.9,DAL,L,WAS,-3.5,PHI,-10.5,@CIN,3.5,PIT,1.0,NO,-1.0,@WAS,3.0,0.26269965568046
1.04,61.7,0.6,HOU,W,@DET,-3.5,@TEN,-7.0,@NE,5.5,IND,-10.5,MIN,-9.5,@IND,-6.5,0.70782452764836
1.03,62.1,1.7,SEA,L,@MIA,-3.0,@CHI,3.0,ARI,-10.5,@BUF,-4.5,SF,-2.5,STL,-11.0,0.6079357417824
1.02,60.0,0.4,CAR,W,@PHI,-3.0,@KC,-5.0,ATL,3.0,@SD,3.0,OAK,-9.5,@NO,4.0,0.31738691602878
1.01,81.8,46.2,DEN,W,@KC,-10.5,TB,-9.5,@OAK,-10.0,@BAL,-3.0,CLE,-11.0,KC,-17.0,1.0
1.0,77.3,32.7,CIN,W,OAK,-9.5,@SD,1.0,DAL,-3.5,@PHI,-4.5,@PIT,3.0,BAL,-4.5,0.32342856573287
1.0,60.0,1.5,TEN,L,@JAX,-3.5,HOU,7.0,@IND,3.5,NYJ,1.0,@GB,10.5,JAX,-6.0,0.14222634587069
0.95,55.9,0.1,NYG,W,GB,-1.0,@WAS,-2.5,NO,-4.0,@ATL,1.0,@BAL,-1.0,PHI,-6.5,0.33335767731336
0.94,55.0,0.1,SF,W,@NO,-1.0,@STL,-7.5,MIA,-10.0,@NE,4.0,@SEA,2.5,ARI,-16.0,0.70278655224491
0.88,52.2,0.6,BAL,W,@SD,-1.0,PIT,-7.0,@WAS,1.0,DEN,3.0,NYG,1.0,@CIN,4.5,0.1616493284168
0.87,52.0,0.6,ARI,L,STL,-1.0,@NYJ,6.0,@SEA,10.5,DET,6.0,CHI,7.0,@SF,16.0,0.0
0.87,51.7,0.4,PIT,L,@CLE,-1.0,@BAL,7.0,SD,-7.0,@DAL,-1.0,CIN,-3.0,CLE,-10.0,0.47592429482555
0.87,51.4,0.2,ATL,W,@TB,-1.0,NO,-3.5,@CAR,-3.0,NYG,-1.0,@DET,-3.5,TB,-3.0,0.34712200559159
0.85,44.8,0.0,BUF,L,@IND,2.0,JAX,-6.0,STL,-3.5,SEA,4.5,@MIA,5.0,NYJ,-3.5,0.33080214542267
0.85,55.2,6.7,IND,W,BUF,-2.0,@DET,7.0,TEN,-3.5,@HOU,10.5,@KC,-4.5,HOU,6.5,0.22049946918919
0.83,48.6,0.1,TB,L,ATL,1.0,@DEN,9.5,PHI,-8.0,@NO,3.5,STL,-3.0,@ATL,3.0,0.23670275749645
0.82,48.3,0.1,CLE,W,PIT,1.0,@OAK,-2.5,KC,-7.0,WAS,-4.0,@DEN,11.0,@PIT,10.0,0.32431629722167
0.82,48.0,0.1,STL,W,@ARI,1.0,SF,7.5,@BUF,3.5,MIN,-1.0,@TB,3.0,@SEA,11.0,0.040040410906406
0.82,47.8,0.1,SD,L,BAL,1.0,CIN,-1.0,@PIT,7.0,CAR,-3.0,@NYJ,3.0,OAK,-9.5,0.2628213553927
0.76,45.0,0.2,NO,L,SF,1.0,@ATL,3.5,@NYG,4.0,TB,-3.5,@DAL,1.0,CAR,-4.0,0.20541678691619
0.75,44.1,0.1,GB,L,@NYG,1.0,MIN,-7.0,DET,-6.5,@CHI,-3.0,TEN,-10.5,@MIN,-3.0,0.69856404401189
0.7,40.0,0.0,JAX,W,TEN,3.5,@BUF,6.0,NYJ,3.0,@MIA,8.0,NE,14.0,@TEN,6.0,0.0
0.69,22.7,0.0,OAK,L,@CIN,9.5,CLE,2.5,DEN,10.0,KC,-4.5,@CAR,9.5,@SD,9.5,0.11379127032325
0.69,18.2,0.0,KC,L,DEN,10.5,CAR,5.0,@CLE,7.0,@OAK,4.5,IND,4.5,@DEN,17.0,0.0
0.68,40.0,0.2,PHI,L,CAR,3.0,@DAL,10.5,@TB,8.0,CIN,4.5,WAS,4.5,@NYG,6.5,0.0
0.67,37.9,0.0,MIA,W,SEA,3.0,NE,7.0,@SF,10.0,JAX,-8.0,BUF,-5.0,@NE,11.0,0.3078245315145
0.66,38.3,0.0,DET,L,HOU,3.5,IND,-7.0,@GB,6.5,@ARI,-6.0,ATL,3.5,CHI,3.0,0.30532663417706
0.64,37.3,0.1,WAS,W,@DAL,3.5,NYG,2.5,BAL,-1.0,@CLE,4.0,@PHI,-4.5,DAL,-3.0,0.22833122769352
0.54,30.5,0.0,MIN,L,@CHI,6.0,@GB,7.0,CHI,1.0,@STL,1.0,@HOU,9.5,GB,3.0,0.0
0.52,27.4,0.0,NYJ,L,NE,7.0,ARI,-6.0,@JAX,-3.0,@TEN,-1.0,SD,-3.0,@BUF,3.5,0.25512418989401
