EV,W_pct,P_pct,Team,Team_Result,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.23,88.9,11.5,BAL,W,NYJ,-17.0,@CLE,-10.0,PIT,-8.0,0.82881626473692
1.09,79.2,9.3,SF,L,ATL,-10.5,LAR,-6.5,@SEA,2.5,0.30261744646789
1.07,79.4,14.0,NE,W,@CIN,-10.5,BUF,-6.0,MIA,-18.5,1.0
1.05,76.6,8.3,NO,W,IND,-8.5,@TEN,-3.0,@CAR,-5.0,0.36669809842562
1.03,78.3,19.8,KC,W,DEN,-10.0,@CHI,-5.0,LAC,-7.0,0.58114702768242
1.02,72.1,1.7,PHI,W,@WAS,-6.5,DAL,2.5,@NYG,-3.0,0.13814997567189
1.01,72.3,4.3,OAK,L,JAX,-7.0,@LAC,6.0,@DEN,1.5,0.0
0.96,68.7,4.7,TB,W,@DET,-5.5,HOU,3.0,ATL,-4.0,0.21391520831228
0.96,69.0,5.1,SEA,W,@CAR,-6.0,ARI,-10.0,SF,-2.5,0.52080127815667
0.93,65.6,1.1,GB,W,CHI,-4.0,@MIN,4.0,@DET,-6.0,0.27763179796287
0.86,61.1,1.3,TEN,L,HOU,-3.0,NO,3.0,@HOU,3.0,0.0
0.85,59.9,0.9,CLE,L,@ARI,-3.0,BAL,10.0,@CIN,-4.0,0.21333780060153
0.84,63.2,10.7,NYG,W,MIA,-3.5,@WAS,2.5,PHI,3.0,0.0
0.74,52.6,0.7,MIN,W,@LAC,-1.0,GB,-4.0,CHI,-4.0,0.48022046393746
0.72,50.9,0.7,PIT,L,BUF,-1.0,@NYJ,-3.0,@BAL,8.0,0.14634227112216
0.71,50.5,1.2,LAR,L,@DAL,1.0,@SF,6.5,ARI,-9.5,0.43907242857606
0.71,49.5,0.2,DAL,W,LAR,-1.0,@PHI,-2.5,WAS,-10.5,0.58144952681315
0.7,49.1,0.2,BUF,W,@PIT,1.0,@NE,6.0,NYJ,-7.0,0.33785614305362
0.67,47.4,0.2,LAC,L,MIN,1.0,OAK,-6.0,@KC,7.0,0.32272233476512
0.57,36.8,0.2,MIA,L,@NYG,3.5,CIN,-1.0,@NE,18.5,0.0
0.57,40.1,0.5,ARI,W,CLE,3.0,@SEA,10.0,@LAR,9.5,0.0
0.55,38.9,0.8,HOU,W,@TEN,3.0,@TB,-3.0,TEN,-3.0,0.29222726172861
0.49,34.4,0.1,CHI,L,@GB,4.0,KC,5.0,@MIN,4.0,0.0
0.46,31.0,0.1,CAR,L,SEA,6.0,@IND,6.5,NO,5.0,0.0
0.46,31.3,1.3,DET,L,TB,5.5,@DEN,6.0,GB,6.0,0.0
0.41,27.7,0.3,JAX,W,@OAK,7.0,@ATL,7.5,IND,1.5,0.0
0.4,27.9,0.1,WAS,L,PHI,6.5,NYG,-2.5,@DAL,10.5,0.075409992458368
0.39,21.7,0.1,DEN,L,@KC,10.0,DET,-6.0,OAK,-1.5,0.40169161407139
0.37,23.4,0.1,IND,L,@NO,8.5,CAR,-6.5,@JAX,-1.5,0.40608729625278
0.35,20.6,0.1,CIN,L,NE,10.5,@MIA,1.0,CLE,4.0,0.0
0.33,20.8,0.3,ATL,W,@SF,10.5,JAX,-7.5,@TB,4.0,0.35804657271115
0.18,11.1,0.1,NYJ,L,@BAL,17.0,PIT,3.0,@BUF,7.0,0.0
