EV,W_pct,P_pct,Team,Team_Result,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.13,72.4,6.1,NYJ,W,NE,-6.5,DEN,-7.5,MIN,-4.0,BUF,-1.5,@PIT,-1.0,@NE,-4.5,HOU,-2.0,@ARI,-3.0,IND,-4.0,BYE,,SEA,-4.5,@MIA,2.5,@JAX,-1.0,LAR,-3.0,@BUF,2.5,MIA,-3.0,0.47976957311935
1.12,74.7,13.5,CIN,L,WSH,-7.5,@CAR,-4.5,BAL,-1.5,@NYG,-5.5,@CLE,-1.0,PHI,-2.5,LV,-7.0,@BAL,3.0,@LAC,-2.0,BYE,,PIT,-5.5,@DAL,1.5,@TEN,-4.0,CLE,-4.0,DEN,-8.5,@PIT,-1.0,0.57500015494921
1.11,70.2,3.4,SF,L,@LAR,-6.0,NE,-10.0,ARI,-7.5,@SEA,-5.5,KC,-1.5,DAL,-5.5,BYE,,@TB,-7.0,SEA,-9.0,@GB,-2.5,@BUF,-2.0,CHI,-6.0,LAR,-7.0,@MIA,-1.5,DET,-5.0,@ARI,-4.0,0.91206141956553
1.06,71.6,14.3,CLE,L,NYG,-6.5,@LV,1.0,@WSH,-3.0,@PHI,3.0,CIN,1.0,BAL,1.0,LAC,-4.0,BYE,,@NO,-2.5,PIT,-3.0,@DEN,-3.5,@PIT,0.0,KC,2.5,@CIN,4.0,MIA,-2.0,@BAL,4.5,0.19879843157358
1.03,66.2,4.8,BUF,W,JAX,-4.5,@BAL,2.5,@HOU,1.5,@NYJ,1.5,TEN,-7.5,@SEA,-3.0,MIA,-3.0,@IND,-2.5,KC,1.0,BYE,,SF,2.0,@LAR,-1.0,@DET,2.5,NE,-9.0,NYJ,-2.5,@NE,-3.5,0.36795601207743
1.02,64.7,3.4,SEA,W,MIA,-4.0,@DET,4.0,NYG,-6.5,SF,5.5,@ATL,3.5,BUF,3.0,LAR,1.5,BYE,,@SF,9.0,ARI,-3.0,@NYJ,4.5,@ARI,1.0,GB,1.0,MIN,-3.0,@CHI,3.5,@LAR,5.5,0.1123211438552
0.97,60.6,1.2,KC,W,@ATL,-3.0,@LAC,-8.0,NO,-5.5,BYE,,@SF,1.5,@LV,-5.5,TB,-7.5,DEN,-9.5,@BUF,-1.0,@CAR,-7.5,LV,-7.5,LAC,-6.5,@CLE,-2.5,HOU,-4.0,@PIT,-5.5,@DEN,-4.0,1.0
0.96,68.5,20.7,LV,L,CAR,-5.5,CLE,-1.0,@DEN,1.5,PIT,1.0,@LAR,5.0,KC,5.5,@CIN,7.0,BYE,,@MIA,6.5,DEN,-2.5,@KC,7.5,@TB,3.0,ATL,1.0,JAX,1.0,@NO,3.0,LAC,1.0,0.03778126064173
0.96,59.4,0.5,TEN,L,GB,-3.0,@MIA,-1.0,BYE,,IND,1.5,@BUF,7.5,@DET,7.5,NE,-3.5,@LAC,4.0,MIN,0.0,@HOU,6.5,@WSH,1.5,JAX,1.5,CIN,4.0,@IND,4.0,@JAX,4.0,HOU,3.0,0.03559656779189
0.94,58.4,0.5,DET,W,@ARI,-3.0,SEA,-4.0,BYE,,@DAL,1.0,@MIN,-3.5,TEN,-7.5,@GB,1.5,@HOU,1.5,JAX,-4.0,@IND,-2.5,CHI,-4.5,GB,-3.0,BUF,-2.5,@CHI,-1.5,@SF,5.0,MIN,-5.5,0.46810656892009
