EV,W_pct,P_pct,Team,Team_Result,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.15,82.7,18.2,NE,W,NYJ,-11.0,TB,-7.5,@ATL,2.5,@CIN,-1.0,NO,-1.0,@NYJ,-3.5,MIA,-6.5,PIT,-6.0,BYE,,@CAR,3.0,DEN,1.0,@HOU,-7.0,CLE,-10.0,@MIA,2.5,@BAL,-1.0,BUF,-7.5,0.42603086818727
1.11,76.4,4.7,GB,W,WAS,-9.0,@CIN,-3.0,BYE,,DET,-10.0,@BAL,-1.0,CLE,-9.5,@MIN,-7.5,CHI,-10.0,PHI,1.0,@NYG,3.5,MIN,-5.5,@DET,6.5,ATL,-3.5,@DAL,5.0,PIT,1.0,@CHI,-3.0,0.42151177672287
1.06,72.6,3.6,CIN,W,PIT,-6.5,GB,3.0,@CLE,-3.5,NE,1.0,@BUF,-6.0,@DET,2.5,NYJ,-6.0,@MIA,-3.0,@BAL,1.0,CLE,-4.5,BYE,,@SD,-2.5,IND,-7.0,@PIT,-2.0,MIN,-7.5,BAL,-6.5,0.40789344189037
1.05,73.5,7.7,PHI,L,SD,-7.5,KC,-3.5,@DEN,10.5,@NYG,-1.0,@TB,-2.5,DAL,-3.0,NYG,-5.5,@OAK,1.0,@GB,-1.0,WAS,-5.0,BYE,,ARI,-3.5,DET,-2.5,@MIN,-6.5,CHI,-2.5,@DAL,-7.0,0.36804768822761
1.03,70.1,1.9,CHI,W,MIN,-6.0,@PIT,-1.0,@DET,3.0,NO,-1.0,NYG,-9.5,@WAS,-1.0,BYE,,@GB,10.0,DET,1.0,BAL,-3.0,@STL,1.0,@MIN,1.0,DAL,-2.0,@CLE,1.0,@PHI,2.5,GB,3.0,0.13307550544396
1.01,74.4,17.5,HOU,W,TEN,-7.5,@BAL,1.0,SEA,1.0,@SF,4.0,STL,-9.5,@KC,7.0,BYE,,IND,-1.0,@ARI,3.5,OAK,-10.0,JAX,-10.5,NE,7.0,@JAX,-3.0,@IND,6.0,DEN,10.0,@TEN,7.0,0.25781802252562
0.95,70.5,18.0,BAL,W,CLE,-6.0,HOU,-1.0,@BUF,-3.5,@MIA,2.5,GB,1.0,@PIT,1.0,BYE,,@CLE,-1.0,CIN,-1.0,@CHI,3.0,NYJ,-4.0,PIT,-3.0,MIN,-6.0,@DET,4.5,NE,1.0,@CIN,6.5,0.17486521395907
0.94,63.3,0.6,CAR,L,@BUF,-3.5,NYG,1.0,BYE,,@ARI,-3.0,@MIN,2.5,STL,-7.5,@TB,-6.5,ATL,-10.0,@SF,5.5,NE,-3.0,@MIA,-4.5,TB,-7.5,@NO,3.0,NYJ,-10.0,NO,-3.5,@ATL,-4.5,0.49872286695263
0.94,66.6,9.2,ATL,W,STL,-4.5,@MIA,3.0,NE,-2.5,NYJ,-10.0,BYE,,TB,-6.5,@ARI,2.5,@CAR,10.0,SEA,3.5,@TB,1.0,NO,7.5,@BUF,4.5,@GB,3.5,WAS,-5.5,@SF,14.0,CAR,4.5,0.20786933978776
0.94,63.3,0.8,DEN,W,@NYG,-3.5,OAK,-16.0,PHI,-10.5,@DAL,-7.5,JAX,-26.5,@IND,-6.0,WAS,-11.0,BYE,,@SD,-7.0,KC,-7.5,@NE,-1.0,@KC,-5.5,TEN,-13.0,SD,-10.0,@HOU,-10.0,@OAK,-10.0,1.0
