EV,W_pct,P_pct,Team,Team_Result,17,17_spread,18,18_spread,Future_Val
1.14,86.6,4.6,BUF,W,ATL,-14.5,NYJ,-16.5,1.0
1.13,86.7,6.5,TB,W,@NYJ,-14.5,CAR,-8.0,0.6622822200053
1.11,88.3,23.4,NE,W,JAX,-17.5,@MIA,-7.0,0.56111318271887
1.1,83.8,3.7,GB,W,MIN,-13.0,@DET,-2.0,0.13564737093707
1.05,82.9,15.9,SF,W,HOU,-14.0,@LAR,4.0,0.0
1.03,77.6,0.9,IND,L,LV,-8.5,@JAX,-15.5,0.98887975266162
0.98,74.8,3.7,LAC,W,DEN,-8.0,@LV,-2.5,0.15204818836274
0.97,77.6,15.8,SEA,W,DET,-8.5,@ARI,6.5,0.0
0.96,72.6,0.4,LAR,W,@BAL,-7.0,SF,-4.0,0.38874168098805
0.93,72.0,6.6,CHI,W,NYG,-7.0,@MIN,2.5,0.0
0.92,69.4,0.3,DAL,L,ARI,-6.0,@PHI,-7.5,0.58518009426004
0.92,71.4,7.7,NO,W,CAR,-6.5,@ATL,-4.0,0.39771128239561
0.9,68.4,1.5,PHI,W,@WAS,-6.5,DAL,7.5,0.0
0.82,62.9,2.0,KC,L,@CIN,-3.5,@DEN,-10.0,0.76025848621816
0.78,59.6,2.5,TEN,W,MIA,-3.0,@HOU,-11.0,0.79599455991833
0.69,51.8,0.6,PIT,W,CLE,-1.0,@BAL,5.5,0.0
0.64,48.2,0.6,CLE,L,@PIT,1.0,CIN,3.0,0.0
0.55,40.4,0.2,MIA,L,@TEN,3.0,NE,7.0,0.0
0.5,37.1,0.1,CIN,W,KC,3.5,@CLE,-3.0,0.2569824710845
0.42,31.6,0.8,WAS,L,PHI,6.5,@NYG,-6.5,0.5735761576575
0.41,28.6,0.2,CAR,L,@NO,6.5,@TB,8.0,0.0
0.41,30.6,0.1,ARI,W,@DAL,6.0,SEA,-6.5,0.57123624458229
0.39,28.0,0.5,NYG,L,@CHI,7.0,WAS,6.5,0.0
0.36,27.4,0.2,BAL,L,LAR,7.0,PIT,-5.5,0.4602658186528
0.35,22.4,0.1,DET,L,@SEA,8.5,GB,2.0,0.0
0.35,25.2,0.1,DEN,L,@LAC,8.0,KC,10.0,0.0
0.3,22.4,0.7,LV,W,@IND,8.5,LAC,2.5,0.0
0.27,17.1,0.1,HOU,L,@SF,14.0,TEN,11.0,0.0
0.22,16.2,0.1,MIN,L,@GB,13.0,CHI,-2.5,0.16375171464692
0.21,11.7,0.1,JAX,L,@NE,17.5,IND,15.5,0.0
0.19,13.3,0.1,NYJ,L,TB,14.5,@BUF,16.5,0.0
0.19,13.4,0.2,ATL,L,@BUF,14.5,NO,4.0,0.0
