EV,W_pct,P_pct,Team,Team_Result,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.08,75.9,2.0,GB,W,@DET,-9.5,CAR,-8.5,TEN,-4.0,@CHI,-6.0,0.75875738246633
1.06,74.7,2.0,KC,W,@MIA,-7.5,@NO,-3.0,ATL,-10.5,LAC,-10.5,0.91730781486505
1.05,88.5,51.4,SEA,W,NYJ,-16.5,@WAS,-5.5,LAR,-3.0,@SF,-3.0,0.41920030956496
1.04,74.8,5.7,NO,L,@PHI,-7.5,KC,3.0,MIN,-6.5,@CAR,-4.0,0.46257860879083
1.04,73.7,3.3,TB,W,MIN,-7.5,@ATL,-6.0,@DET,-6.0,ATL,-7.0,0.74663708395576
0.97,68.2,1.2,LAR,W,NE,-5.0,NYJ,-17.0,@SEA,3.0,ARI,-4.0,0.674433996195
0.96,76.0,21.9,TEN,W,@JAX,-7.5,DET,-7.0,@GB,4.0,@HOU,-2.0,0.36008420475853
0.92,65.1,3.1,CAR,L,DEN,-4.5,@GB,8.5,@WAS,1.5,NO,4.0,0.0
0.88,61.4,0.3,BAL,W,@CLE,-3.0,JAX,-14.0,NYG,-7.5,@CIN,-6.5,1.0
0.85,60.0,2.0,DAL,W,@CIN,-3.0,SF,3.0,PHI,-1.5,@NYG,1.5,0.035728293670019
0.84,59.2,1.9,ARI,W,@NYG,-3.0,PHI,-6.5,SF,-4.0,@LAR,4.0,0.42940342709707
0.82,57.9,2.4,SF,L,WAS,-3.0,@DAL,-3.0,@ARI,4.0,SEA,3.0,0.11685164170362
0.8,56.1,0.3,IND,W,@LV,-2.5,HOU,-7.5,@PIT,3.5,JAX,-13.0,0.73340956449618
0.78,54.4,0.1,BUF,W,PIT,-2.0,@DEN,-7.0,@NE,-1.5,MIA,-4.0,0.52067900095458
0.75,51.7,0.1,LAC,W,ATL,-1.0,@LV,3.5,DEN,-5.5,@KC,10.5,0.22247505667051
0.74,51.5,0.5,HOU,L,@CHI,-1.0,@IND,7.5,CIN,-7.5,TEN,2.0,0.30415704752312
0.7,48.5,0.3,CHI,W,HOU,1.0,@MIN,3.5,@JAX,-2.5,GB,6.0,0.078533595506109
0.69,48.3,0.4,ATL,L,@LAC,1.0,TB,6.0,@KC,10.5,@TB,7.0,0.0
0.66,45.6,0.0,PIT,L,@BUF,2.0,@CIN,-13.0,IND,-3.5,@CLE,-2.5,0.66585137291401
0.63,43.9,0.1,LV,L,IND,2.5,LAC,-3.5,MIA,-3.0,@DEN,-3.0,0.40194056981549
0.62,42.1,0.1,WAS,W,@SF,3.0,SEA,5.5,CAR,-1.5,@PHI,3.5,0.036525487937937
0.6,40.8,0.1,NYG,L,ARI,3.0,CLE,3.5,@BAL,7.5,DAL,-1.5,0.031380017845579
0.59,40.0,0.2,CIN,L,DAL,3.0,PIT,13.0,@HOU,7.5,BAL,6.5,0.0
0.56,38.6,0.1,CLE,L,BAL,3.0,@NYG,-3.5,@NYJ,-7.0,PIT,2.5,0.4494416366636
0.52,34.9,0.1,DEN,W,@CAR,4.5,BUF,7.0,@LAC,5.5,LV,3.0,0.0
0.48,24.0,0.0,JAX,L,TEN,7.5,@BAL,14.0,CHI,2.5,@IND,13.0,0.0
0.46,31.8,0.1,NE,L,@LAR,5.0,@MIA,2.5,BUF,1.5,NYJ,-10.0,0.38399079947463
0.4,26.3,0.0,MIN,L,@TB,7.5,CHI,-3.5,@NO,6.5,@DET,-2.0,0.21497289428877
0.4,25.2,0.0,PHI,W,NO,7.5,@ARI,6.5,@DAL,1.5,WAS,-3.5,0.13687292307183
0.39,11.5,0.0,NYJ,L,@SEA,16.5,@LAR,17.0,CLE,7.0,@NE,10.0,0.0
0.38,25.3,0.0,MIA,L,KC,7.5,NE,-2.5,@LV,3.0,@BUF,4.0,0.06859556813288
0.36,24.1,0.0,DET,L,GB,9.5,@TEN,7.0,TB,6.0,MIN,2.0,0.0
