EV,W_pct,P_pct,Team,Team_Result,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.17,79.5,5.4,ARI,W,MIN,-10.0,@PHI,-3.5,GB,-3.5,SEA,-3.0,0.40039179217522
1.17,83.1,19.0,KC,W,SD,-11.5,@BAL,-7.5,CLE,-9.5,OAK,-6.5,1.0
1.16,78.8,5.5,SEA,W,@BAL,-10.5,CLE,-14.5,STL,-10.0,@ARI,3.0,0.95318513848939
1.13,76.4,4.0,CAR,W,ATL,-8.0,@NYG,-4.5,@ATL,-3.5,TB,-8.0,0.72912519000093
1.07,75.9,15.3,NYJ,W,TEN,-8.0,@DAL,-3.0,NE,2.0,@BUF,1.5,0.13343824548516
1.04,71.2,5.9,GB,W,DAL,-6.0,@OAK,-3.0,@ARI,3.5,MIN,-5.5,0.37400605136051
1.03,69.1,2.6,TB,L,NO,-6.0,@STL,1.5,CHI,-3.0,@CAR,8.0,0.10821723547357
0.99,66.7,2.4,NE,W,@HOU,-4.5,TEN,-14.0,@NYJ,-2.0,@MIA,-6.5,0.88587021993207
0.97,65.3,3.1,CHI,L,WAS,-4.0,@MIN,5.5,@TB,3.0,DET,-1.5,0.043388225260483
0.96,70.1,17.0,DEN,L,OAK,-6.0,@PIT,6.0,CIN,-1.0,SD,-9.5,0.41676985705838
0.89,59.3,1.4,DET,L,@STL,-3.0,@NO,3.0,SF,-6.0,@CHI,1.5,0.2444861331033
0.85,55.9,1.3,CLE,W,SF,-2.5,@SEA,14.5,@KC,9.5,PIT,6.0,0.0
0.81,54.2,2.1,PHI,W,BUF,-2.0,ARI,3.5,WAS,-5.0,@NYG,1.5,0.22081201775889
0.8,53.8,1.5,NYG,W,@MIA,-2.5,CAR,4.5,@MIN,3.5,PHI,-1.5,0.040145848548068
0.79,52.2,1.3,JAX,W,IND,-1.0,ATL,-3.0,@NO,3.0,@HOU,5.0,0.14244470464016
0.77,51.2,0.4,CIN,L,PIT,-1.0,@SF,-4.5,@DEN,1.0,BAL,-10.0,0.63113634908867
0.73,48.8,0.3,PIT,W,@CIN,1.0,DEN,-6.0,@BAL,-3.5,@CLE,-6.0,0.68344641854221
0.71,47.8,2.6,IND,L,@JAX,1.0,HOU,-3.0,@MIA,1.0,TEN,-5.0,0.31867828467932
0.7,46.2,0.8,MIA,L,NYG,2.5,@SD,2.0,IND,-1.0,NE,6.5,0.01967846119119
0.7,45.8,0.7,BUF,L,@PHI,2.0,@WAS,-1.0,DAL,-4.0,NYJ,-1.5,0.27107760067901
0.65,44.1,3.3,SF,L,@CLE,2.5,CIN,4.5,@DET,6.0,STL,0.5,0.0
0.61,40.7,1.3,STL,W,DET,3.0,TB,-1.5,@SEA,10.0,@SF,-0.5,0.035879699536266
0.54,29.9,0.0,OAK,W,@DEN,6.0,GB,3.0,SD,-4.5,@KC,6.5,0.21996735482948
0.54,34.7,0.4,WAS,W,@CHI,4.0,BUF,1.0,@PHI,5.0,@DAL,3.5,0.0
0.51,33.3,0.1,HOU,L,NE,4.5,@IND,3.0,@TEN,-2.0,JAX,-5.0,0.27845778476438
0.47,30.9,1.6,NO,W,@TB,6.0,DET,-3.0,JAX,-3.0,@ATL,4.0,0.23902623954439
0.46,28.8,0.1,DAL,L,@GB,6.0,NYJ,3.0,@BUF,4.0,WAS,-3.5,0.15072644690375
0.44,24.1,0.1,TEN,L,@NYJ,8.0,@NE,14.0,HOU,2.0,@IND,5.0,0.0
0.37,23.6,0.2,ATL,L,@CAR,8.0,@JAX,3.0,CAR,3.5,NO,-4.0,0.17724361071912
0.34,21.2,0.1,BAL,L,SEA,10.5,KC,7.5,PIT,3.5,@CIN,10.0,0.0
0.33,16.9,0.2,SD,L,@KC,11.5,MIA,-2.0,@OAK,4.5,@DEN,9.5,0.070936079038141
0.33,20.5,0.3,MIN,L,@ARI,10.0,CHI,-5.5,NYG,-3.5,@GB,5.5,0.384516982086
