EV,W_pct,P_pct,Team,Team_Result,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.08,88.0,24.0,MIA,W,CAR,-14.0,@PHI,1.0,NE,-11.0,@KC,3.5,BYE,,LV,-7.5,@NYJ,-7.5,@WAS,-6.5,TEN,-7.0,NYJ,-12.0,DAL,-3.0,@BAL,3.0,BUF,-3.0,0.5687315785934
1.06,88.2,30.2,BUF,W,NYG,-15.5,@NE,-8.5,TB,-10.5,@CIN,-0.5,DEN,-9.5,NYJ,-13.0,@PHI,1.5,BYE,,@KC,3.5,DAL,-3.0,@LAC,1.5,NE,-11.0,@MIA,3.0,0.53207756923306
1.02,81.5,11.2,KC,W,DEN,-10.5,LAC,-5.5,@DEN,-7.0,MIA,-3.5,BYE,,PHI,-4.0,@LV,-5.5,@GB,-9.5,BUF,-3.5,@NE,-9.5,LV,-9.5,CIN,-6.0,@LAC,-1.0,0.65879238826341
1.02,78.8,2.8,SF,L,@CLE,-10.0,@MIN,-6.5,CIN,-9.0,BYE,,@JAX,-6.5,TB,-17.5,@SEA,-7.0,@PHI,-3.5,SEA,-11.0,@ARI,-13.5,BAL,-6.5,@WAS,-14.5,LAR,-10.0,1.0
0.89,74.3,18.2,LAR,W,ARI,-7.0,PIT,-3.0,@DAL,4.5,@GB,-3.5,BYE,,SEA,-3.0,@ARI,-3.5,CLE,-2.5,@BAL,6.0,WAS,-7.0,NO,-3.5,@NYG,-5.5,@SF,10.0,0.31185947868239
0.88,68.2,0.6,BAL,W,@TEN,-5.5,DET,-3.0,@ARI,-6.5,SEA,-6.5,CLE,-5.5,CIN,-4.0,@LAC,1.5,BYE,,LAR,-6.0,@JAX,-2.0,@SF,6.5,MIA,-3.0,PIT,-8.0,0.44270737259607
0.88,70.4,7.7,PHI,L,@NYJ,-6.5,MIA,-1.0,@WAS,-5.0,DAL,-2.5,BYE,,@KC,4.0,BUF,-1.5,SF,3.5,@DAL,3.0,@SEA,-1.5,NYG,-12.0,ARI,-9.0,@NYG,-7.5,0.39514557824674
0.84,64.9,1.3,JAX,W,IND,-4.0,@NO,3.0,@PIT,-1.0,BYE,,SF,6.5,TEN,-4.0,@HOU,-3.0,CIN,-1.0,@CLE,3.0,BAL,2.0,@TB,-3.0,CAR,-9.5,@TEN,0.5,0.20704470609342
0.77,59.6,0.4,DET,W,@TB,-3.0,@BAL,3.0,LV,-4.0,BYE,,@LAC,4.0,CHI,-9.5,GB,-7.5,@NO,-0.5,@CHI,-6.0,DEN,-6.0,@MIN,-1.0,@DAL,4.0,MIN,-4.0,0.39510998863474
0.77,59.1,0.4,MIN,W,@CHI,-3.0,SF,6.5,@GB,-1.5,@ATL,1.0,NO,-2.0,@DEN,-0.5,CHI,-7.0,BYE,,@LV,3.0,@CIN,6.0,DET,1.0,GB,-4.5,@DET,4.0,0.15159664080094
