EV,W_pct,P_pct,Team,Team_Result,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.11,87.0,20.6,SEA,W,SF,-13.5,@TEN,2.5,IND,-9.5,@LAR,-4.5,BYE,,@NYG,-0.5,HOU,-7.0,WAS,-8.0,@ARI,-3.0,ATL,-3.0,@SF,-8.5,PHI,-6.0,@JAX,-3.5,LAR,-10.0,@DAL,3.0,ARI,-6.5,0.71585712299778
1.05,77.3,0.9,PIT,W,MIN,-10.0,@CHI,-7.5,@BAL,-2.0,JAX,-8.0,@KC,2.0,CIN,-8.0,@DET,-2.0,BYE,,@IND,-4.5,TEN,-6.0,GB,-3.0,@CIN,-3.0,BAL,-6.0,NE,0.5,@HOU,-3.0,CLE,-13.5,0.64271102028582
1.0,86.8,47.6,OAK,W,NYJ,-13.5,@WAS,-3.0,@DEN,1.0,BAL,-4.0,LAC,-7.0,KC,-3.0,@BUF,-3.5,@MIA,-2.5,BYE,,NE,1.5,DEN,-3.5,NYG,-3.5,@KC,3.0,DAL,-1.5,@PHI,-1.0,@LAC,-2.0,0.33895448147664
0.98,73.2,3.4,TB,W,CHI,-7.0,@MIN,3.5,NYG,-2.5,NE,3.5,@ARI,2.5,@BUF,-1.0,CAR,-2.0,@NO,1.0,NYJ,-10.0,@MIA,0.5,@ATL,6.5,@GB,7.0,DET,-3.0,ATL,2.0,@CAR,3.5,NO,-4.0,0.20802341240893
0.96,74.6,10.9,BAL,W,CLE,-7.5,@JAX,-4.0,PIT,2.0,@OAK,4.0,CHI,-8.0,@MIN,3.5,MIA,-4.0,@TEN,2.5,BYE,,@GB,6.5,HOU,-3.5,DET,-3.0,@PIT,6.0,@CLE,-5.0,IND,-6.5,CIN,-5.0,0.43115519834539
0.95,72.3,7.3,ARI,W,@IND,-7.0,DAL,3.0,SF,-9.5,@PHI,3.0,TB,-2.5,@LAR,-1.5,BYE,,@SF,-4.5,SEA,3.0,@HOU,2.5,JAX,-4.0,LAR,-6.0,TEN,-2.5,@WAS,1.0,NYG,-1.5,@SEA,6.5,0.30851655421606
0.94,70.5,2.9,CAR,W,BUF,-6.0,NO,-5.5,@NE,7.0,@DET,1.5,PHI,-3.5,@CHI,-3.5,@TB,2.0,ATL,0.5,MIA,-4.5,BYE,,@NYJ,-6.5,@NO,-0.5,MIN,-3.0,GB,1.5,TB,-3.5,@ATL,3.5,0.31674420285519
0.94,69.7,1.1,NE,W,@NO,-6.0,HOU,-13.0,CAR,-7.0,@TB,-3.5,@NYJ,-11.0,ATL,-5.5,LAC,-9.5,BYE,,@DEN,-3.5,@OAK,-1.5,MIA,-9.5,@BUF,-7.5,@MIA,-5.5,@PIT,-0.5,BUF,-11.5,NYJ,-16.0,1.0
0.92,68.1,1.2,CIN,L,HOU,-5.0,@GB,8.0,@CLE,-3.5,BUF,-3.5,BYE,,@PIT,8.0,IND,-4.5,@JAX,2.5,@TEN,4.0,@DEN,4.0,CLE,-7.0,PIT,3.0,CHI,-6.0,@MIN,4.5,DET,-1.0,@BAL,5.0,0.26952567265951
0.88,65.0,1.0,KC,W,PHI,-4.5,@LAC,-3.0,WAS,-7.0,@HOU,-2.5,PIT,-2.0,@OAK,3.0,DEN,-4.0,@DAL,4.0,BYE,,@NYG,0.5,BUF,-8.0,@NYJ,-8.0,OAK,-3.0,LAC,-6.5,MIA,-7.0,@DEN,-2.0,0.53419351112195
0.84,62.0,0.5,LAC,L,MIA,-3.5,KC,3.0,PHI,-1.5,@NYG,5.0,@OAK,7.0,DEN,-1.0,@NE,9.5,BYE,,@JAX,2.5,BUF,-3.5,@DAL,8.0,CLE,-8.0,WAS,-3.5,@KC,6.5,@NYJ,-4.0,OAK,2.0,0.22646315549738
0.84,61.4,0.1,ATL,W,GB,-3.0,@DET,-3.0,BUF,-8.5,BYE,,MIA,-7.0,@NE,5.5,@NYJ,-9.5,@CAR,-0.5,DAL,-1.5,@SEA,3.0,TB,-6.5,MIN,-4.0,NO,-7.0,@TB,-2.0,@NO,-3.0,CAR,-3.5,0.55714227375738
0.82,60.5,0.2,NYG,L,DET,-3.0,@PHI,6.0,@TB,2.5,LAC,-5.0,@DEN,3.0,SEA,0.5,BYE,,LAR,-7.0,@SF,-6.5,KC,-0.5,@WAS,-1.5,@OAK,3.5,DAL,1.5,PHI,-3.0,@ARI,1.5,WAS,-6.5,0.30697261841832
0.82,60.3,0.4,LAR,L,WAS,-3.0,@SF,-2.0,@DAL,10.0,SEA,4.5,@JAX,3.5,ARI,1.5,BYE,,@NYG,7.0,HOU,1.5,@MIN,7.0,NO,-0.5,@ARI,6.0,PHI,2.5,@SEA,10.0,@TEN,6.5,SF,-8.0,0.095214808131678
0.75,55.2,0.2,DAL,L,@DEN,-2.5,@ARI,-3.0,LAR,-10.0,GB,-3.0,BYE,,@SF,-9.5,@WAS,-3.5,KC,-4.0,@ATL,1.5,PHI,-6.5,LAC,-8.0,WAS,-8.0,@NYG,-1.5,@OAK,1.5,SEA,-3.0,@PHI,-2.0,0.62582154118129
0.7,51.7,0.5,TEN,W,@JAX,-1.0,SEA,-2.5,@HOU,1.5,@MIA,1.0,IND,-6.5,@CLE,-5.5,BYE,,BAL,-2.5,CIN,-4.0,@PIT,6.0,@IND,-2.5,HOU,-3.5,@ARI,2.5,@SF,-5.5,LAR,-6.5,JAX,-4.0,0.4387407806857
0.66,48.3,0.2,JAX,L,TEN,1.0,BAL,4.0,@NYJ,-3.5,@PIT,8.0,LAR,-3.5,@IND,1.5,BYE,,CIN,-2.5,LAC,-2.5,@CLE,-3.5,@ARI,4.0,IND,-3.5,SEA,3.5,HOU,-1.0,@SF,-3.5,@TEN,4.0,0.22927292868815
0.61,44.8,0.0,DEN,W,DAL,2.5,@BUF,-3.0,OAK,-1.0,BYE,,NYG,-3.0,@LAC,1.0,@KC,4.0,@PHI,2.0,NE,3.5,CIN,-4.0,@OAK,3.5,@MIA,-0.5,NYJ,-10.5,@IND,-3.0,@WAS,-1.5,KC,2.0,0.25945976922147
0.54,39.7,0.1,WAS,W,@LAR,3.0,OAK,3.0,@KC,7.0,BYE,,SF,-8.0,@PHI,4.0,DAL,3.5,@SEA,8.0,MIN,2.0,@NO,3.0,NYG,1.5,@DAL,8.0,@LAC,3.5,ARI,-1.0,DEN,1.5,@NYG,6.5,0.089441549950006
0.54,39.5,0.2,DET,W,@NYG,3.0,ATL,3.0,@MIN,3.5,CAR,-1.5,@NO,1.0,BYE,,PIT,2.0,@GB,6.5,CLE,-2.0,@CHI,-3.0,MIN,-1.5,@BAL,3.0,@TB,3.0,CHI,-7.0,@CIN,1.0,GB,2.0,0.14278699693848
0.52,38.6,0.1,GB,L,@ATL,3.0,CIN,-8.0,CHI,-10.5,@DAL,3.0,@MIN,-1.0,NO,-8.0,BYE,,DET,-6.5,@CHI,-7.0,BAL,-6.5,@PIT,3.0,TB,-7.0,@CLE,-9.5,@CAR,-1.5,MIN,-5.0,@DET,-2.0,0.72393191557649
