EV,W_pct,P_pct,Team,Team_Result,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.14,91.4,24.3,LAR,L,NYJ,-17.5,@SEA,1.5,ARI,-4.0,0.21926972362274
1.13,88.2,6.8,PIT,L,@CIN,-14.5,IND,2.0,@CLE,-0.5,0.0047683710083628
1.07,85.5,17.1,BAL,W,JAX,-13.0,NYG,-11.5,@CIN,-10.0,1.0
1.0,77.3,2.5,GB,W,CAR,-8.5,TEN,-3.5,@CHI,-5.0,0.4502631170711
0.98,75.9,3.3,IND,W,HOU,-7.5,@PIT,-2.0,JAX,-13.5,0.63037042358102
0.93,76.8,19.5,TEN,W,DET,-9.5,@GB,3.5,@HOU,-3.0,0.13184837393132
0.91,71.1,3.0,TB,W,@ATL,-6.5,@DET,-10.0,ATL,-8.0,0.84478981481018
0.9,69.7,1.4,SEA,W,@WAS,-6.0,LAR,-1.5,@SF,-3.0,0.16393092210161
0.89,70.3,5.0,CLE,W,@NYG,-6.5,@NYJ,-10.0,PIT,0.5,0.44335471805225
0.89,69.0,2.2,BUF,W,@DEN,-6.0,@NE,-7.5,MIA,-5.5,0.6384432368293
0.88,70.0,9.0,ARI,W,PHI,-6.5,SF,-4.0,@LAR,4.0,0.25908423869078
0.83,64.4,1.7,SF,L,@DAL,-4.0,@ARI,4.0,SEA,3.0,0.0
0.8,61.8,1.5,LV,L,LAC,-3.5,MIA,3.0,@DEN,-2.0,0.074354268575528
0.76,58.3,0.7,MIN,L,CHI,-2.5,@NO,7.5,@DET,-2.0,0.074180131166543
0.74,56.6,0.2,KC,W,@NO,-2.5,ATL,-10.5,LAC,-11.5,0.99772202292478
0.68,52.6,0.4,NE,L,@MIA,-1.0,BUF,7.5,NYJ,-10.5,0.48426497940499
0.62,47.4,0.2,MIA,W,NE,1.0,@LV,-3.0,@BUF,5.5,0.13131720313811
0.57,43.4,0.0,NO,L,KC,2.5,MIN,-7.5,@CAR,-4.0,0.60528439242553
0.54,41.7,0.2,CHI,W,@MIN,2.5,@JAX,-7.5,GB,5.0,0.41054826080568
0.5,38.2,0.1,LAC,W,@LV,3.5,DEN,-3.5,@KC,11.5,0.18830881134688
0.47,35.6,0.1,DAL,W,SF,4.0,PHI,2.0,@NYG,3.0,0.0
0.43,30.0,0.1,PHI,L,@ARI,6.5,@DAL,-2.0,WAS,-3.0,0.23561876828804
0.41,31.0,0.1,DEN,L,BUF,6.0,@LAC,3.5,LV,2.0,0.0
0.41,29.7,0.1,NYG,L,CLE,6.5,@BAL,11.5,DAL,-3.0,0.14144961768825
0.4,30.3,0.0,WAS,L,SEA,6.0,CAR,-2.0,@PHI,3.0,0.10732972407849
0.39,28.9,0.1,ATL,L,TB,6.5,@KC,10.5,@TB,8.0,0.0
0.37,23.2,0.0,DET,L,@TEN,9.5,TB,10.0,MIN,2.0,0.0
0.32,24.1,0.1,HOU,L,@IND,7.5,CIN,-7.5,TEN,3.0,0.39099254844475
0.3,22.7,0.0,CAR,L,@GB,8.5,@WAS,2.0,NO,4.0,0.0
0.23,14.5,0.0,JAX,L,@BAL,13.0,CHI,7.5,@IND,13.5,0.0
0.17,11.8,0.1,CIN,W,PIT,14.5,@HOU,7.5,BAL,10.0,0.0
0.16,8.6,0.0,NYJ,W,@LAR,17.5,CLE,10.0,@NE,10.5,0.0
