EV,W_pct,P_pct,Team,Team_Result,16,16_spread,17,17_spread,Future_Val
1.25,86.1,11.2,NE,W,@JAX,-14.0,MIA,-11.0,0.79754485024595
1.22,82.9,5.3,GB,W,TEN,-10.5,@MIN,-3.0,0.24037703165021
1.22,83.3,7.7,DEN,W,CLE,-11.0,KC,-17.0,1.0
1.14,75.9,0.6,HOU,L,MIN,-9.5,@IND,-6.5,0.49171492287234
1.07,71.9,1.9,CHI,W,@ARI,-7.0,@DET,-3.0,0.25147371525895
1.02,68.0,0.8,MIA,W,BUF,-5.0,@NE,11.0,0.0
0.97,66.7,5.0,WAS,W,@PHI,-4.5,DAL,-3.0,0.30237301249549
0.96,78.8,40.0,CAR,W,OAK,-9.5,@NO,4.0,0.0
0.95,64.0,1.2,ATL,W,@DET,-3.5,TB,-3.0,0.18595442784109
0.91,60.9,0.5,PIT,L,CIN,-3.0,CLE,-10.0,0.71629006648976
0.87,58.1,0.5,TB,L,STL,-3.0,@ATL,3.0,0.0
0.85,67.1,24.1,IND,W,@KC,-4.5,HOU,6.5,0.0
0.85,56.8,0.2,NYJ,L,SD,-3.0,@BUF,3.5,0.0
0.85,56.6,0.1,SEA,W,SF,-2.5,STL,-11.0,0.75143251317009
0.84,55.9,0.1,DAL,L,NO,-1.0,@WAS,3.0,0.0
0.82,54.8,0.2,NYG,L,@BAL,-1.0,PHI,-6.5,0.51823793446941
0.68,45.2,0.0,BAL,W,NYG,1.0,@CIN,4.5,0.0
0.66,44.1,0.2,NO,W,@DAL,1.0,CAR,-4.0,0.36246894671295
0.65,43.4,0.2,SF,L,@SEA,2.5,ARI,-16.0,0.9709434117861
0.65,43.2,0.2,SD,W,@NYJ,3.0,OAK,-9.5,0.60311282698629
0.65,32.9,0.1,KC,L,IND,4.5,@DEN,17.0,0.0
0.63,41.9,0.0,STL,W,@TB,3.0,@SEA,11.0,0.0
0.59,39.1,0.0,CIN,W,@PIT,3.0,BAL,-4.5,0.39435851676802
0.55,36.0,0.0,DET,L,ATL,3.5,CHI,3.0,0.0
0.54,21.2,0.0,OAK,L,@CAR,9.5,@SD,9.5,0.0
0.53,33.3,0.0,PHI,L,WAS,4.5,@NYG,6.5,0.0
0.49,32.0,0.0,BUF,L,@MIA,5.0,NYJ,-3.5,0.28790550574648
0.43,28.1,0.0,ARI,L,CHI,7.0,@SF,16.0,0.0
0.37,24.1,0.0,MIN,W,@HOU,9.5,GB,3.0,0.0
0.29,16.7,0.0,CLE,L,@DEN,11.0,@PIT,10.0,0.0
0.28,17.1,0.0,TEN,L,@GB,10.5,JAX,-6.0,0.4829123794967
0.26,13.9,0.0,JAX,L,NE,14.0,@TEN,6.0,0.0
