EV,W_pct,P_pct,Team,Team_Result,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.14,85.3,8.4,LAC,W,ARI,-14.0,@PIT,3.5,CIN,-6.0,@KC,6.0,BAL,-2.5,@DEN,-1.5,0.21979320132615
1.13,83.7,6.8,NO,W,ATL,-13.0,@DAL,-7.5,@TB,-8.0,@CAR,-4.0,PIT,-5.5,CAR,-8.0,0.84330418685871
1.11,82.9,8.5,NE,W,@NYJ,-13.0,MIN,-6.0,@MIA,-10.0,@PIT,1.5,BUF,-16.0,NYJ,-13.5,1.0
1.04,83.9,31.3,BAL,W,OAK,-13.0,@ATL,-1.0,@KC,5.0,TB,-7.0,@LAC,2.5,CLE,-7.0,0.35767622407043
1.0,77.2,13.5,IND,W,MIA,-9.0,@JAX,-4.0,@HOU,3.5,DAL,-2.5,NYG,-4.0,@TEN,2.0,0.28374158852936
0.96,74.8,15.5,DAL,W,WAS,-7.0,NO,7.5,PHI,-1.0,@IND,2.5,TB,-4.5,@NYG,-1.5,0.17157196539783
0.89,66.6,4.4,PHI,W,NYG,-4.5,WAS,-6.5,@DAL,1.0,@LAR,6.5,HOU,-3.0,@WAS,-2.0,0.25435497397201
0.87,63.6,0.1,MIN,W,GB,-3.5,@NE,6.0,@SEA,-0.5,MIA,-10.0,@DET,-3.0,CHI,-2.5,0.36762155209912
0.86,63.8,2.2,HOU,W,TEN,-3.5,CLE,-6.0,IND,-3.5,@NYJ,-4.0,@PHI,3.0,JAX,-4.0,0.48237155035353
0.84,61.2,0.6,CHI,W,@DET,-3.0,@NYG,-4.5,LAR,1.0,GB,-3.5,@SF,-4.0,@MIN,2.5,0.32637839111567
0.83,60.6,0.8,PIT,L,@DEN,-3.0,LAC,-3.5,@OAK,-8.0,NE,-1.5,@NO,5.5,CIN,-8.0,0.54036238281957
0.83,60.5,0.4,CAR,L,SEA,-3.0,@TB,-3.5,@CLE,-3.0,NO,4.0,ATL,-3.5,@NO,8.0,0.25260963391626
0.8,59.3,2.4,JAX,L,@BUF,-3.0,IND,4.0,@TEN,3.0,WAS,-3.5,@MIA,-2.5,@HOU,4.0,0.12348378430204
0.73,53.5,1.1,TB,W,SF,-1.5,CAR,3.5,NO,8.0,@BAL,7.0,@DAL,4.5,ATL,1.5,0.0
0.71,51.2,0.1,CLE,W,@CIN,-1.0,@HOU,6.0,CAR,3.0,@DEN,3.0,CIN,-2.0,@BAL,7.0,0.033169470989077
0.66,48.8,2.5,CIN,L,CLE,1.0,DEN,4.5,@LAC,6.0,OAK,-6.0,@CLE,2.0,@PIT,8.0,0.14943046901607
0.64,46.5,0.2,SF,L,@TB,1.5,@SEA,10.0,DEN,-1.5,SEA,2.5,CHI,4.0,@LAR,12.0,0.022344154086746
0.57,40.7,0.2,BUF,W,JAX,3.0,@MIA,5.0,NYJ,-1.5,DET,2.0,@NE,16.0,MIA,-1.5,0.05366474925794
0.54,39.5,0.1,SEA,W,@CAR,3.0,SF,-10.0,MIN,0.5,@SF,-2.5,KC,3.0,ARI,-8.0,0.47697465062198
0.54,39.4,0.1,DEN,W,PIT,3.0,@CIN,-4.5,@SF,1.5,CLE,-3.0,@OAK,-3.0,LAC,1.5,0.25961897950441
0.53,38.8,0.5,DET,L,CHI,3.0,LAR,10.0,@ARI,-2.0,@BUF,-2.0,MIN,3.0,@GB,6.5,0.075463763070694
0.51,36.2,0.1,TEN,L,@HOU,3.5,NYJ,-8.5,JAX,-3.0,@NYG,0.5,WAS,-3.5,IND,-2.0,0.39079653888768
0.5,36.4,0.0,GB,L,@MIN,3.5,ARI,-14.5,ATL,-4.0,@CHI,3.5,@NYJ,-5.0,DET,-6.5,0.67683592562633
0.48,33.4,0.0,NYG,L,@PHI,4.5,CHI,4.5,@WAS,3.0,TEN,-0.5,@IND,4.0,DAL,1.5,0.0059817867257408
0.41,25.2,0.1,WAS,L,@DAL,7.0,@PHI,6.5,NYG,-3.0,@JAX,3.5,@TEN,3.5,PHI,2.0,0.0632953769175
0.37,22.8,0.1,MIA,L,@IND,9.0,BUF,-5.0,NE,10.0,@MIN,10.0,JAX,2.5,@BUF,1.5,0.13772636874128
0.33,16.1,0.0,OAK,L,@BAL,13.0,KC,15.5,PIT,8.0,@CIN,6.0,DEN,3.0,@KC,13.5,0.0
0.26,17.1,0.0,NYJ,L,NE,13.0,@TEN,8.5,@BUF,1.5,HOU,4.0,GB,5.0,@NE,13.5,0.0
0.24,16.3,0.0,ATL,L,@NO,13.0,BAL,1.0,@GB,4.0,ARI,-7.5,@CAR,3.5,@TB,-1.5,0.22002934782955
0.22,14.7,0.0,ARI,L,@LAC,14.0,@GB,14.5,DET,2.0,@ATL,7.5,LAR,10.5,@SEA,8.0,0.0
,,,KC,,BYE,,@OAK,-15.5,BAL,-5.0,LAC,-6.0,@SEA,-3.0,OAK,-13.5,0.94061166235595
,,,LAR,,BYE,,@DET,-10.0,@CHI,-1.0,PHI,-6.5,@ARI,-10.5,SF,-12.0,0.93036137733535
