EV,W_pct,P_pct,Team,Team_Result,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.09,81.3,17.7,DAL,W,PHI,-10.5,@CIN,3.5,PIT,1.0,NO,-1.0,@WAS,3.0,0.051463221762258
1.09,77.7,5.1,DEN,W,TB,-9.5,@OAK,-10.0,@BAL,-3.0,CLE,-11.0,KC,-17.0,1.0
1.07,75.9,4.3,GB,W,MIN,-7.0,DET,-6.5,@CHI,-3.0,TEN,-10.5,@MIN,-3.0,0.64112930214815
1.04,73.5,2.7,DET,L,IND,-7.0,@GB,6.5,@ARI,-6.0,ATL,3.5,CHI,3.0,0.17296001258428
1.04,73.2,1.9,HOU,W,@TEN,-7.0,@NE,5.5,IND,-10.5,MIN,-9.5,@IND,-6.5,0.67646904455803
1.02,76.6,17.3,SF,L,@STL,-7.5,MIA,-10.0,@NE,4.0,@SEA,2.5,ARI,-16.0,0.63990116734205
1.02,74.1,9.2,NE,W,@MIA,-7.0,HOU,-5.5,SF,-4.0,@JAX,-14.0,MIA,-11.0,0.90033993413798
1.0,72.9,8.8,BAL,L,PIT,-7.0,@WAS,1.0,DEN,3.0,NYG,1.0,@CIN,4.5,0.0
0.96,69.3,5.3,NYJ,W,ARI,-6.0,@JAX,-3.0,@TEN,-1.0,SD,-3.0,@BUF,3.5,0.14766851442825
0.93,66.1,3.1,CAR,L,@KC,-5.0,ATL,3.0,@SD,3.0,OAK,-9.5,@NO,4.0,0.25314954946418
0.93,70.9,17.3,BUF,W,JAX,-6.0,STL,-3.5,SEA,4.5,@MIA,5.0,NYJ,-3.5,0.22810868426293
0.92,64.3,0.3,ATL,W,NO,-3.5,@CAR,-3.0,NYG,-1.0,@DET,-3.5,TB,-3.0,0.30636087547638
0.82,59.5,5.2,CHI,L,SEA,-3.0,@MIN,-1.0,GB,3.0,@ARI,-7.0,@DET,-3.0,0.30391539889218
0.8,56.1,0.2,CLE,W,@OAK,-2.5,KC,-7.0,WAS,-4.0,@DEN,11.0,@PIT,10.0,0.35012645017226
0.79,55.7,0.5,NYG,L,@WAS,-2.5,NO,-4.0,@ATL,1.0,@BAL,-1.0,PHI,-6.5,0.36470885015086
0.74,51.7,0.0,SD,L,CIN,-1.0,@PIT,7.0,CAR,-3.0,@NYJ,3.0,OAK,-9.5,0.31160677262948
0.69,48.3,0.4,CIN,W,@SD,1.0,DAL,-3.5,@PHI,-4.5,@PIT,3.0,BAL,-4.5,0.40214905095536
0.64,44.3,0.1,WAS,W,NYG,2.5,BAL,-1.0,@CLE,4.0,@PHI,-4.5,DAL,-3.0,0.28390561703279
0.63,43.9,0.3,OAK,L,CLE,2.5,DEN,10.0,KC,-4.5,@CAR,9.5,@SD,9.5,0.14148735212614
0.61,40.5,0.0,SEA,W,@CHI,3.0,ARI,-10.5,@BUF,-4.5,SF,-2.5,STL,-11.0,0.75590348998907
0.51,35.7,0.0,NO,L,@ATL,3.5,@NYG,4.0,TB,-3.5,@DAL,1.0,CAR,-4.0,0.25541394502819
0.5,29.1,0.0,JAX,L,@BUF,6.0,NYJ,3.0,@MIA,8.0,NE,14.0,@TEN,6.0,0.0
0.5,33.9,0.0,KC,W,CAR,5.0,@CLE,7.0,@OAK,4.5,IND,4.5,@DEN,17.0,0.0
0.46,30.7,0.0,ARI,L,@NYJ,6.0,@SEA,10.5,DET,6.0,CHI,7.0,@SF,16.0,0.0
0.43,27.1,0.0,PIT,W,@BAL,7.0,SD,-7.0,@DAL,-1.0,CIN,-3.0,CLE,-10.0,0.59176128446481
0.41,25.9,0.0,MIA,L,NE,7.0,@SF,10.0,JAX,-8.0,BUF,-5.0,@NE,11.0,0.38274709263491
0.41,23.4,0.0,STL,W,SF,7.5,@BUF,3.5,MIN,-1.0,@TB,3.0,@SEA,11.0,0.049785995894912
0.39,26.8,0.0,TEN,L,HOU,7.0,@IND,3.5,NYJ,1.0,@GB,10.5,JAX,-6.0,0.17684334679327
0.39,26.5,0.1,IND,W,@DET,7.0,TEN,-3.5,@HOU,10.5,@KC,-4.5,HOU,6.5,0.27416765760829
0.36,24.1,0.0,MIN,L,@GB,7.0,CHI,1.0,@STL,1.0,@HOU,9.5,GB,3.0,0.0
0.34,22.3,0.0,TB,L,@DEN,9.5,PHI,-8.0,@NO,3.5,STL,-3.0,@ATL,3.0,0.29431472470596
0.34,18.7,0.0,PHI,L,@DAL,10.5,@TB,8.0,CIN,4.5,WAS,4.5,@NYG,6.5,0.0
