EV,W_pct,P_pct,Team,Team_Result,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.23,76.9,6.2,NO,W,WAS,-9.5,@LAR,2.5,CAR,-3.5,@ATL,3.0,NYJ,-9.5,ATL,-2.5,@TB,-3.5,0.34405372330183
1.2,73.8,3.5,PIT,W,TEN,-7.0,GB,-14.0,@CIN,-3.5,BAL,-7.0,NE,1.5,@HOU,-6.5,CLE,-15.0,0.81004083576327
1.19,72.9,2.6,NE,W,@OAK,-7.0,MIA,-17.0,@BUF,-7.0,@MIA,-9.5,@PIT,-1.5,BUF,-10.5,NYJ,-14.5,1.0
1.18,73.2,4.4,LAC,W,BUF,-7.0,@DAL,0.0,CLE,-9.5,WAS,-3.5,@KC,7.0,@NYJ,-1.5,OAK,-2.5,0.29769154292081
1.15,68.8,0.4,PHI,W,@DAL,-6.0,CHI,-13.5,@SEA,1.5,@LAR,1.5,@NYG,-7.0,OAK,-6.5,DAL,-4.5,0.58419952417674
1.0,73.2,25.2,JAX,W,@CLE,-7.5,@ARI,-4.5,IND,-8.0,SEA,0.5,HOU,-7.0,@SF,-5.0,@TEN,3.0,0.49982836333289
0.97,59.3,1.6,DET,W,@CHI,-3.0,MIN,3.0,@BAL,-1.0,@TB,-2.0,CHI,-7.0,@CIN,-1.5,GB,-5.5,0.30000972513987
0.96,59.3,2.9,DEN,L,CIN,-2.5,@OAK,5.0,@MIA,0.5,NYJ,-4.0,@IND,-3.0,@WAS,3.0,KC,3.5,0.12096153114831
0.95,78.1,47.9,KC,L,@NYG,-10.0,BUF,-10.0,@NYJ,-6.5,OAK,-6.5,LAC,-7.0,MIA,-10.0,@DEN,-3.5,0.83248875688165
0.93,55.4,0.3,HOU,W,ARI,-2.5,@BAL,7.5,@TEN,7.0,SF,-4.0,@JAX,7.0,PIT,6.5,@IND,1.0,0.080049654059078
0.92,54.8,0.2,BAL,W,@GB,-2.5,HOU,-7.5,DET,1.0,@PIT,7.0,@CLE,-4.0,IND,-6.5,CIN,-3.0,0.4124499664234
0.88,52.6,0.3,TB,W,@MIA,-1.5,@ATL,10.0,@GB,3.0,DET,2.0,ATL,4.0,@CAR,6.5,NO,3.5,0.0
0.87,53.1,1.9,MIN,W,LAR,-1.0,@DET,-3.0,@ATL,4.0,@CAR,3.0,CIN,-5.0,@GB,-3.0,CHI,-7.0,0.33394920516808
0.83,50.0,0.1,ATL,W,@SEA,-1.0,TB,-10.0,MIN,-4.0,NO,-3.0,@TB,-4.0,@NO,2.5,CAR,-3.5,0.44870344495106
0.83,50.0,0.2,SEA,L,ATL,1.0,@SF,-7.0,PHI,-1.5,@JAX,-0.5,LAR,-3.0,@DAL,1.5,ARI,-8.0,0.35139547501957
0.8,46.9,0.1,LAR,L,@MIN,1.0,NO,-2.5,@ARI,-4.0,PHI,-1.5,@SEA,3.0,@TEN,-0.5,SF,-11.5,0.3494692762843
0.79,47.4,0.3,MIA,L,TB,1.5,@NE,17.0,DEN,-0.5,NE,9.5,@BUF,4.0,@KC,10.0,BUF,1.0,0.002876649365247
0.75,45.2,0.9,GB,L,BAL,2.5,@PIT,14.0,TB,-3.0,@CLE,-3.0,@CAR,6.5,MIN,3.0,@DET,5.5,0.094777343428401
0.74,44.6,0.4,ARI,L,@HOU,2.5,JAX,4.5,LAR,4.0,TEN,2.5,@WAS,3.5,NYG,-3.5,@SEA,8.0,0.078071541615063
0.72,21.9,0.1,NYG,W,KC,10.0,@WAS,7.5,@OAK,7.0,DAL,4.0,PHI,7.0,@ARI,3.5,WAS,2.0,0.0
0.71,40.7,0.0,CIN,W,@DEN,2.5,CLE,-8.0,PIT,3.5,CHI,-4.0,@MIN,5.0,DET,1.5,@BAL,3.0,0.24209026955636
0.69,40.7,0.1,CHI,L,DET,3.0,@PHI,13.5,SF,-4.0,@CIN,4.0,@DET,7.0,CLE,-5.0,@MIN,7.0,0.18486015378442
0.66,26.8,0.1,CLE,L,JAX,7.5,@CIN,8.0,@LAC,9.5,GB,3.0,BAL,4.0,@CHI,5.0,@PIT,15.0,0.0
0.52,31.2,0.4,DAL,L,PHI,6.0,LAC,0.0,WAS,-4.0,@NYG,-4.0,@OAK,1.5,SEA,-1.5,@PHI,4.5,0.19695594996317
0.49,26.8,0.1,BUF,L,@LAC,7.0,@KC,10.0,NE,7.0,IND,-6.5,MIA,-4.0,@NE,10.5,@MIA,-1.0,0.23385317011274
0.47,27.1,0.0,OAK,L,NE,7.0,DEN,-5.0,NYG,-7.0,@KC,6.5,DAL,-1.5,@PHI,6.5,@LAC,2.5,0.25312970041741
0.47,26.2,0.0,TEN,L,@PIT,7.0,@IND,-3.5,HOU,-7.0,@ARI,-2.5,@SF,-5.5,LAR,0.5,JAX,-3.0,0.38757627887967
0.44,23.1,0.1,WAS,L,@NO,9.5,NYG,-7.5,@DAL,4.0,@LAC,3.5,ARI,-3.5,DEN,-3.0,@NYG,-2.0,0.30862824173183
,,,CAR,,BYE,,@NYJ,-4.0,@NO,3.5,MIN,-3.0,GB,-6.5,TB,-6.5,@ATL,3.5,0.41094579405395
,,,IND,,BYE,,TEN,3.5,@JAX,8.0,@BUF,6.5,DEN,3.0,@BAL,6.5,HOU,-1.0,0.0086198204224098
,,,NYJ,,BYE,,CAR,4.0,KC,6.5,@DEN,4.0,@NO,9.5,LAC,1.5,@NE,14.5,0.0
,,,SF,,BYE,,SEA,7.0,@CHI,4.0,@HOU,4.0,TEN,5.5,JAX,5.0,@LAR,11.5,0.0
