EV,W_pct,P_pct,Team,Team_Result,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.07,76.5,3.2,CLE,W,CHI,-7.5,@MIN,-2.0,@LAC,0.5,ARI,-3.5,DEN,-4.0,PIT,-4.0,@CIN,-4.0,@NE,-0.5,DET,-11.0,@BAL,3.5,BYE,,BAL,-3.0,LV,-5.0,@GB,3.0,@PIT,0.5,CIN,-8.0,0.49578480285315
1.03,76.0,10.0,BAL,W,@DET,-8.0,@DEN,1.0,IND,-6.0,LAC,-4.5,CIN,-9.5,BYE,,MIN,-6.5,@MIA,-3.0,@CHI,-3.0,CLE,-3.5,@PIT,-1.5,@CLE,3.0,GB,-3.5,@CIN,-5.5,LAR,-3.0,PIT,-5.0,0.57808732800921
1.03,77.3,14.9,CAR,W,@HOU,-8.0,@DAL,5.0,PHI,-3.5,MIN,-3.0,@NYG,-0.5,@ATL,-0.5,NE,-1.5,@ARI,4.0,WAS,-3.0,@MIA,3.0,BYE,,ATL,-6.0,@BUF,7.0,TB,4.0,@NO,4.0,@TB,7.5,0.18361172470283
1.02,76.3,14.5,ARI,W,@JAX,-8.0,@LAR,4.5,SF,-0.5,@CLE,3.5,HOU,-13.0,GB,-2.5,@SF,4.0,CAR,-4.0,@SEA,3.5,BYE,,@CHI,-3.0,LAR,1.0,@DET,-6.5,IND,-3.5,@DAL,2.5,SEA,-2.0,0.34010149946271
1.01,82.4,36.8,DEN,W,NYJ,-10.0,BAL,-1.0,@PIT,3.0,LV,-3.5,@CLE,4.0,WAS,-6.0,@DAL,3.0,PHI,-5.5,BYE,,LAC,-3.0,@KC,8.0,DET,-9.5,CIN,-7.0,@LV,2.0,@LAC,3.0,KC,3.0,0.3792771625014
1.01,71.4,1.6,KC,L,LAC,-7.0,@PHI,-7.5,BUF,-4.0,@WAS,-7.0,@TEN,-3.5,NYG,-11.0,GB,-6.5,@LV,-4.0,DAL,-7.0,BYE,,DEN,-8.0,LV,-8.0,@LAC,-3.5,PIT,-8.0,@CIN,-7.5,@DEN,-3.0,0.96326600547987
1.0,73.8,9.3,BUF,W,WAS,-7.5,HOU,-15.5,@KC,4.0,@TEN,-2.0,BYE,,MIA,-7.5,@JAX,-8.0,@NYJ,-8.0,IND,-6.5,@NO,-1.0,NE,-6.5,@TB,4.0,CAR,-7.0,@NE,-2.5,ATL,-9.5,NYJ,-11.0,0.8656402411009
0.92,65.3,1.8,TEN,W,IND,-4.5,@NYJ,-7.5,@JAX,-5.5,BUF,2.0,KC,3.5,@IND,2.0,@LAR,5.5,NO,-2.5,HOU,-10.5,@NE,3.0,BYE,,JAX,-9.5,@PIT,3.0,SF,1.5,MIA,-3.5,@HOU,-6.5,0.48520735065442
0.9,63.2,0.6,DAL,W,PHI,-3.5,CAR,-5.0,NYG,-7.0,@NE,2.5,BYE,,@MIN,1.5,DEN,-3.0,ATL,-7.0,@KC,7.0,LV,-3.5,@NO,3.0,@WAS,0.5,@NYG,-3.0,WAS,-4.5,ARI,-2.5,@PHI,-1.5,0.38592143617404
0.88,62.2,0.1,SF,L,GB,-3.0,SEA,-2.5,@ARI,0.5,BYE,,IND,-6.5,@CHI,-3.5,ARI,-4.0,LAR,-3.0,@JAX,-7.0,MIN,-6.5,@SEA,2.0,@CIN,-4.5,ATL,-9.5,@TEN,-1.5,HOU,-14.0,@LAR,3.0,0.64994968759759
