EV,W_pct,P_pct,Team,Team_Result,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.12,85.4,11.7,PHI,W,TEN,-12.5,@DAL,3.0,SEA,1.5,DAL,-3.5,@WAS,-7.5,@NYG,-1.0,0.29275372737587
1.03,75.7,0.4,SEA,W,ARI,-7.5,@SF,1.0,@PHI,-1.5,SF,-10.0,@ARI,-9.5,STL,-11.0,0.76162196343175
1.01,74.9,1.2,NE,W,DET,-7.5,@GB,2.5,@SD,-4.0,MIA,-8.5,@NYJ,-10.0,BUF,-5.5,0.75875015969312
1.01,80.0,18.0,SF,W,WAS,-10.0,SEA,-1.0,@OAK,-8.0,@SEA,10.0,SD,-2.0,ARI,-6.5,0.44663998485342
1.01,85.7,42.0,IND,W,JAX,-13.5,WAS,-7.5,@CLE,-3.0,HOU,-7.0,@DAL,3.5,@TEN,-7.5,0.6860712769643
1.01,75.7,4.7,GB,W,@MIN,-7.5,NE,-2.5,ATL,-13.5,@BUF,-3.0,@TB,-11.5,DET,-8.0,0.98311364287619
0.98,72.3,1.4,DEN,W,MIA,-6.5,@KC,1.0,BUF,-8.5,@SD,-4.5,@CIN,-3.5,OAK,-15.5,0.8167885108004
0.97,74.9,11.7,KC,L,@OAK,-7.5,DEN,-1.0,@ARI,-2.5,OAK,-11.0,@PIT,2.5,SD,-3.0,0.40994678347962
0.9,66.3,0.6,SD,W,STL,-5.0,@BAL,6.5,NE,4.0,DEN,4.5,@SF,2.0,@KC,3.0,0.0
0.88,65.0,0.5,DAL,W,@NYG,-4.0,PHI,-3.0,@CHI,-4.0,@PHI,3.5,IND,-3.5,@WAS,-6.0,0.47977922671357
0.86,64.5,3.6,CHI,W,TB,-4.0,@DET,7.5,DAL,4.0,NO,3.0,DET,10.0,@MIN,7.0,0.0
0.78,57.4,0.5,HOU,L,CIN,-2.5,TEN,-7.0,@JAX,-6.5,@IND,7.0,BAL,6.5,JAX,-8.0,0.59553540989508
0.77,56.8,0.8,BUF,W,NYJ,-2.5,CLE,-3.0,@DEN,8.5,GB,3.0,@OAK,-7.0,@NE,5.5,0.26177633619337
0.76,56.8,1.6,ATL,L,CLE,-3.0,ARI,1.5,@GB,13.5,PIT,3.0,@NO,5.5,CAR,-3.0,0.06204305229901
0.76,56.2,0.3,NO,L,BAL,-2.5,@PIT,3.5,CAR,-8.5,@CHI,-3.0,ATL,-5.5,@TB,-5.5,0.64385291645641
0.6,43.8,0.0,BAL,W,@NO,2.5,SD,-6.5,@MIA,3.0,JAX,-14.0,@HOU,-6.5,CLE,-14.0,1.0
0.6,43.2,0.1,CLE,W,@ATL,3.0,@BUF,3.0,IND,3.0,CIN,-2.5,@CAR,5.5,@BAL,14.0,0.040266337522097
0.59,43.2,0.1,NYJ,L,@BUF,2.5,MIA,6.5,@MIN,3.5,@TEN,-3.5,NE,10.0,@MIA,7.0,0.099431844246599
0.58,42.6,0.2,CIN,W,@HOU,2.5,@TB,-5.5,PIT,-3.0,@CLE,2.5,DEN,3.5,@PIT,3.0,0.21800278170121
0.5,35.5,0.0,TB,L,@CHI,4.0,CIN,5.5,@DET,10.5,@CAR,3.5,GB,11.5,NO,5.5,0.0
0.48,35.0,0.1,NYG,L,DAL,4.0,@JAX,-2.5,@TEN,-2.5,WAS,-7.0,@STL,6.5,PHI,1.0,0.31093700734072
0.46,33.7,0.1,STL,L,@SD,5.0,OAK,-6.0,@WAS,-2.5,ARI,-6.0,NYG,-6.5,@SEA,11.0,0.57995532769477
0.39,25.1,0.1,OAK,W,KC,7.5,@STL,6.0,SF,8.0,@KC,11.0,BUF,7.0,@DEN,15.5,0.0
0.38,27.7,0.0,MIA,L,@DEN,6.5,@NYJ,-6.5,BAL,-3.0,@NE,8.5,MIN,-4.5,NYJ,-7.0,0.60682837396342
0.35,24.3,0.0,MIN,L,GB,7.5,CAR,-2.5,NYJ,-3.5,@DET,8.0,@MIA,4.5,CHI,-7.0,0.37184000850008
0.35,14.3,0.0,JAX,L,@IND,13.5,NYG,2.5,HOU,6.5,@BAL,14.0,TEN,-4.5,@HOU,8.0,0.1309167346814
0.35,20.0,0.0,WAS,L,@SF,10.0,@IND,7.5,STL,2.5,@NYG,7.0,PHI,7.5,DAL,6.0,0.0
0.35,25.1,0.0,DET,L,@NE,7.5,CHI,-7.5,TB,-10.5,MIN,-8.0,@CHI,-10.0,@GB,8.0,0.94281208433142
0.33,24.3,0.0,ARI,L,@SEA,7.5,@ATL,-1.5,KC,2.5,@STL,6.0,SEA,9.5,@SF,6.5,0.021974147353851
0.24,14.6,0.0,TEN,L,@PHI,12.5,@HOU,7.0,NYG,2.5,NYJ,3.5,@JAX,4.5,IND,7.5,0.0
,,,CAR,,BYE,,@MIN,2.5,@NO,8.5,TB,-3.5,CLE,-5.5,@ATL,3.0,0.262660879693
,,,PIT,,BYE,,NO,-3.5,@CIN,3.0,@ATL,-3.0,KC,-2.5,CIN,-3.0,0.30275846017488
