EV,W_pct,P_pct,Team,Team_Result,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.12,76.2,10.2,DAL,W,TB,-9.0,CHI,-3.0,BYE,,@BAL,3.5,@CAR,-2.5,NYG,1.5,@ATL,4.5,@PHI,-1.0,CLE,-7.0,WAS,-3.5,PHI,-10.5,@CIN,3.5,PIT,1.0,NO,-1.0,@WAS,3.0,0.294297980112
1.04,73.2,14.0,CHI,W,STL,-7.0,@DAL,3.0,@JAX,-6.5,BYE,,DET,-6.5,CAR,-7.0,@TEN,-4.5,HOU,-1.0,@SF,3.5,MIN,-6.0,SEA,-3.0,@MIN,-1.0,GB,3.0,@ARI,-7.0,@DET,-3.0,0.45988738234103
1.0,77.0,32.3,NO,L,KC,-9.0,@GB,8.0,SD,-3.5,BYE,,@TB,-1.0,@DEN,6.0,PHI,-2.5,ATL,1.0,@OAK,-6.0,SF,1.0,@ATL,3.5,@NYG,4.0,TB,-3.5,@DAL,1.0,CAR,-4.0,0.22181440955539
0.99,72.6,20.6,SF,L,@MIN,-6.5,@NYJ,-3.5,BUF,-10.0,NYG,-7.0,SEA,-8.0,@ARI,-7.5,BYE,,STL,-13.0,CHI,-3.5,@NO,-1.0,@STL,-7.5,MIA,-10.0,@NE,4.0,@SEA,2.5,ARI,-16.0,0.85468704482842
0.97,64.5,3.6,DET,L,@TEN,-3.5,MIN,-3.5,BYE,,@PHI,3.5,@CHI,6.5,SEA,-1.5,@JAX,-6.0,@MIN,-3.0,GB,3.0,HOU,3.5,IND,-7.0,@GB,6.5,@ARI,-6.0,ATL,3.5,CHI,3.0,0.29273505424245
0.97,63.3,1.4,WAS,L,CIN,-3.0,@TB,1.5,ATL,3.0,MIN,2.0,@NYG,6.5,@PIT,4.5,CAR,-3.0,BYE,,PHI,-3.5,@DAL,3.5,NYG,2.5,BAL,-1.0,@CLE,4.0,@PHI,-4.5,DAL,-3.0,0.1780191254787
0.96,62.3,0.6,PHI,L,@ARI,-3.0,NYG,-2.5,@PIT,4.0,DET,-3.5,BYE,,ATL,-1.5,@NO,2.5,DAL,1.0,@WAS,3.5,CAR,3.0,@DAL,10.5,@TB,8.0,CIN,4.5,WAS,4.5,@NYG,6.5,0.077486672022827
0.96,63.1,2.9,IND,L,JAX,-3.0,BYE,,GB,6.5,@NYJ,3.5,CLE,-1.0,@TEN,3.5,MIA,1.0,@JAX,-3.0,@NE,9.5,BUF,-2.0,@DET,7.0,TEN,-3.5,@HOU,10.5,@KC,-4.5,HOU,6.5,0.15120135901484
0.96,65.1,7.4,PIT,L,@OAK,-3.5,BYE,,PHI,-4.0,@TEN,-6.0,@CIN,-1.0,WAS,-4.5,@NYG,3.5,KC,-12.5,BAL,3.0,@CLE,-1.0,@BAL,7.0,SD,-7.0,@DAL,-1.0,CIN,-3.0,CLE,-10.0,0.48288243250317
0.94,61.4,1.8,GB,L,@SEA,-3.0,NO,-8.0,@IND,-6.5,@HOU,4.0,@STL,-4.0,JAX,-15.5,ARI,-10.5,BYE,,@DET,-3.0,@NYG,1.0,MIN,-7.0,DET,-6.5,@CHI,-3.0,TEN,-10.5,@MIN,-3.0,0.75375371254313
0.93,60.3,0.2,SD,L,ATL,-3.0,@KC,-2.5,@NO,3.5,DEN,-1.0,BYE,,@CLE,-2.5,KC,-7.5,@TB,3.0,@DEN,7.5,BAL,1.0,CIN,-1.0,@PIT,7.0,CAR,-3.0,@NYJ,3.0,OAK,-9.5,0.22682850160243
0.91,58.6,0.3,CAR,L,NYG,-2.5,@ATL,7.0,SEA,-1.0,BYE,,DAL,2.5,@CHI,7.0,@WAS,3.0,DEN,3.5,TB,1.0,@PHI,-3.0,@KC,-5.0,ATL,3.0,@SD,3.0,OAK,-9.5,@NO,4.0,0.18222730327584
