EV,W_pct,P_pct,Team,Team_Result,16,16_spread,17,17_spread,Future_Val
1.19,89.7,12.1,PIT,W,CAR,-15.0,@CLE,-5.5,0.45383957102861
1.09,87.9,31.8,PHI,L,MIN,-14.5,DAL,1.5,0.0
1.01,75.9,4.4,SD,L,@CIN,-8.5,@DEN,-4.5,0.4618237698545
1.01,75.4,4.3,NE,W,@BUF,-7.5,MIA,-5.5,0.46781273514907
0.93,73.2,13.2,DAL,L,@ARI,-7.5,@PHI,-1.5,0.073788870289638
0.91,67.9,1.7,TB,W,SEA,-6.0,@NO,7.5,0.0
0.9,66.5,1.1,KC,W,TEN,-4.5,OAK,-3.5,0.33998280520677
0.9,74.1,24.2,JAX,L,WAS,-7.0,@HOU,5.0,0.0
0.85,62.7,0.9,BAL,W,@CLE,-3.5,CIN,-9.5,0.7844599458385
0.84,62.6,2.0,MIA,L,DET,-3.5,@NE,5.5,0.0
0.83,60.8,0.1,GB,W,NYG,-3.5,CHI,-11.0,0.87483241551276
0.76,56.4,0.3,CHI,W,NYJ,-2.5,@GB,11.0,0.0
0.75,55.6,1.1,STL,W,SF,-2.5,@SEA,-3.0,0.28030998610003
0.75,55.2,0.2,ATL,L,NO,-2.5,CAR,-14.5,1.0
0.72,53.5,0.9,HOU,L,@DEN,-2.0,JAX,-5.0,0.44214101019514
0.72,53.3,1.1,IND,W,@OAK,-2.0,TEN,-9.0,0.76174397909825
0.64,46.7,0.1,OAK,L,IND,2.0,@KC,3.5,0.0
0.64,46.5,0.0,DEN,W,HOU,2.0,SD,4.5,0.0
0.61,44.8,0.1,NO,W,@ATL,2.5,TB,-7.5,0.65291949241983
0.61,44.4,0.1,SF,L,@STL,2.5,ARI,-6.0,0.51169581728305
0.59,43.6,0.1,NYJ,L,@CHI,2.5,BUF,-6.5,0.0849760846818
0.53,39.2,0.2,NYG,L,@GB,3.5,@WAS,-4.5,0.42437745133122
0.52,37.4,0.1,DET,W,@MIA,3.5,MIN,-3.5,0.36293594494582
0.51,37.3,0.0,CLE,L,BAL,3.5,PIT,5.5,0.0
0.46,25.9,0.0,WAS,W,@JAX,7.0,NYG,4.5,0.0
0.46,33.5,0.0,TEN,L,@KC,4.5,@IND,9.0,0.0
0.44,32.1,0.0,SEA,L,@TB,6.0,STL,3.0,0.0
0.42,26.8,0.0,ARI,W,DAL,7.5,@SF,6.0,0.0
0.35,24.6,0.0,BUF,L,NE,7.5,@NYJ,6.5,0.0
0.34,24.1,0.0,CIN,W,SD,8.5,@BAL,9.5,0.0
0.26,12.1,0.0,MIN,W,@PHI,14.5,@DET,3.5,0.0
0.17,10.3,0.0,CAR,L,@PIT,15.0,@ATL,14.5,0.0
