EV,W_pct,P_pct,Team,Team_Result,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.12,75.9,8.7,ARI,W,NYJ,-7.5,SEA,-2.0,@CAR,2.0,BYE,,SF,-10.5,@MIN,3.0,@ATL,1.0,WAS,-6.0,@MIA,-5.5,NO,-8.0,@SEA,3.5,@LAR,-2.5,0.54534096855636
1.1,71.7,1.2,SEA,W,ATL,-7.0,@ARI,2.0,@NO,-5.5,BUF,-6.5,@NE,3.0,PHI,-6.0,@TB,-4.0,CAR,-4.0,@GB,3.0,LAR,-7.5,ARI,-3.5,@SF,-8.0,0.77598345353957
1.07,74.6,11.8,NE,W,CIN,-7.5,@PIT,-7.0,@BUF,-3.5,BYE,,SEA,-3.0,@SF,-8.0,@NYJ,-4.5,LAR,-9.0,BAL,-7.0,@DEN,-1.5,NYJ,-8.0,@MIA,-7.5,1.0
1.05,68.6,1.1,GB,L,DAL,-5.0,CHI,-7.5,@ATL,-1.0,IND,-7.5,@TEN,-6.0,@WAS,-3.5,@PHI,-2.5,HOU,-6.5,SEA,-3.0,@CHI,-6.5,MIN,-3.0,@DET,-4.5,0.86518063055738
1.03,74.4,18.9,TEN,W,CLE,-7.5,IND,-2.5,JAX,-3.0,@SD,3.0,GB,6.0,@IND,3.5,@CHI,2.0,BYE,,DEN,3.5,@KC,7.5,@JAX,2.5,HOU,1.0,0.078317179537391
0.98,64.0,0.7,NYG,W,BAL,-3.5,@LAR,-2.5,BYE,,PHI,-1.0,CIN,1.0,CHI,-5.0,@CLE,-5.0,@PIT,8.0,DAL,1.0,DET,-3.5,@PHI,3.5,@WAS,2.0,0.28678431891382
0.97,73.5,25.3,BUF,W,SF,-7.5,@MIA,-3.0,NE,3.5,@SEA,6.5,BYE,,@CIN,3.5,JAX,-6.5,@OAK,3.0,PIT,3.5,CLE,-10.0,MIA,-7.0,@NYJ,1.0,0.43337469080849
0.96,73.8,27.5,PIT,L,@MIA,-7.5,NE,7.0,BYE,,@BAL,-3.5,DAL,-5.0,@CLE,-13.0,@IND,-4.5,NYG,-8.0,@BUF,-3.5,@CIN,-2.0,BAL,-7.0,CLE,-16.0,0.9673353526278
0.92,60.0,0.4,HOU,W,IND,-3.0,@DEN,7.5,DET,-4.0,BYE,,@JAX,-2.5,@OAK,3.0,SD,-4.0,@GB,6.5,@IND,1.5,JAX,-6.0,CIN,-1.0,@TEN,-1.0,0.28771972356823
0.91,59.3,0.5,PHI,L,@WAS,-3.0,MIN,2.5,@DAL,3.0,@NYG,1.0,ATL,-2.5,@SEA,6.0,GB,2.5,@CIN,3.0,WAS,-4.0,@BAL,1.5,NYG,-3.5,DAL,-2.5,0.19249871202867
