EV,W_pct,P_pct,Team,Team_Result,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.13,85.0,17.9,PHI,W,@HOU,-14.0,WAS,-10.5,@IND,-6.5,GB,-6.0,TEN,-7.5,@NYG,-6.5,@CHI,-7.5,@DAL,-1.0,NO,-8.0,NYG,-9.5,0.75556217659063
1.1,84.6,23.5,KC,W,TEN,-14.0,JAX,-10.0,@LAC,-3.5,LAR,-6.5,@CIN,-2.0,@DEN,-6.0,@HOU,-13.5,SEA,-10.0,DEN,-9.5,@LV,-4.0,0.74728049508618
1.08,81.0,12.8,BUF,L,@NYJ,-11.0,MIN,-6.0,CLE,-13.5,@DET,-13.5,@NE,-7.0,NYJ,-14.5,MIA,-9.5,@CHI,-14.0,@CIN,-3.5,NE,-10.5,1.0
0.96,74.2,17.6,CIN,W,CAR,-7.0,BYE,,@PIT,-6.0,@TEN,-1.5,KC,2.0,CLE,-4.0,@TB,3.0,@NE,-1.5,BUF,3.5,BAL,-2.0,0.16455676677932
0.89,64.6,1.8,GB,L,@DET,-4.0,DAL,5.0,TEN,-3.5,@PHI,6.0,@CHI,-4.0,BYE,,LAR,-3.0,@MIA,3.0,MIN,-1.0,DET,-8.0,0.24382171457571
0.89,66.4,8.2,NE,W,IND,-5.0,BYE,,NYJ,-4.0,@MIN,5.5,BUF,7.0,@ARI,1.5,@LV,2.5,CIN,1.5,MIA,-1.0,@BUF,10.5,0.063481399740978
0.86,63.5,5.9,MIA,W,@CHI,-4.0,CLE,-4.0,BYE,,HOU,-11.0,@SF,3.5,@LAC,1.5,@BUF,9.5,GB,-3.0,@NE,1.0,NYJ,-6.5,0.28032785671394
0.83,59.6,0.2,TB,W,LAR,-3.0,SEA,-2.5,BYE,,@CLE,-3.0,NO,-6.5,@SF,3.0,CIN,-3.0,@ARI,-3.0,CAR,-9.5,@ATL,-3.5,0.36158439663811
0.82,60.8,5.1,MIN,W,@WAS,-3.0,@BUF,6.0,DAL,-3.0,NE,-5.5,NYJ,-7.5,@DET,-5.5,IND,-7.5,NYG,-7.5,@GB,1.0,@CHI,-6.0,0.52062422180375
0.81,58.5,1.6,LAC,W,@ATL,-2.5,@SF,6.5,KC,3.5,@ARI,0.5,@LV,1.5,MIA,-1.5,TEN,-3.0,@IND,-2.0,LAR,-1.5,@DEN,0.5,0.082312878284386
0.78,56.3,1.2,LV,L,@JAX,-2.5,IND,-6.0,@DEN,2.0,@SEA,2.0,LAC,-1.5,@LAR,4.0,NE,-2.5,@PIT,-1.5,SF,2.5,KC,4.0,0.1296626343483
