EV,W_pct,P_pct,Team,Team_Result,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.12,61.1,1.5,CIN,W,BUF,-3.5,BYE,,@PIT,8.0,IND,-7.0,@JAX,2.5,@TEN,6.0,@DEN,6.0,CLE,-9.0,PIT,4.0,CHI,-7.0,@MIN,4.5,DET,2.5,@BAL,3.0,0.28913244906144
1.1,63.3,5.0,NE,W,@TB,-3.5,@NYJ,-9.5,ATL,-4.0,LAC,-11.5,BYE,,@DEN,-3.0,@OAK,-4.5,MIA,-11.0,@BUF,-5.5,@MIA,-7.0,@PIT,1.0,BUF,-9.5,NYJ,-15.5,1.0
1.09,62.7,5.1,MIN,W,@CHI,-3.5,GB,3.5,BAL,-4.0,@CLE,-7.0,BYE,,@WAS,1.5,LAR,-3.5,@DET,3.0,@ATL,4.5,@CAR,3.0,CIN,-4.5,@GB,4.0,CHI,-9.5,0.3856123372951
1.07,58.6,0.9,OAK,L,BAL,-3.0,LAC,-4.5,KC,3.0,@BUF,1.5,@MIA,-1.5,BYE,,NE,4.5,DEN,1.0,NYG,-3.5,@KC,7.0,DAL,2.0,@PHI,3.5,@LAC,-1.5,0.1335340269104
1.04,56.4,0.2,DAL,L,GB,-2.5,BYE,,@SF,-8.0,@WAS,-2.5,KC,-1.5,@ATL,3.0,PHI,-3.5,LAC,-9.0,WAS,-6.0,@NYG,-3.5,@OAK,-2.0,SEA,-3.0,@PHI,1.0,0.47941255905027
1.03,60.6,7.0,NYG,L,LAC,-3.0,@DEN,11.5,SEA,3.0,BYE,,LAR,-1.5,@SF,-4.0,KC,3.5,@WAS,3.0,@OAK,3.5,DAL,3.5,PHI,1.0,@ARI,2.5,WAS,-1.5,0.088165677986617
1.02,74.4,36.9,PIT,L,JAX,-7.5,@KC,4.0,CIN,-8.0,@DET,-1.0,BYE,,@IND,-9.5,TEN,-4.5,GB,-3.0,@CIN,-4.0,BAL,-7.5,NE,-1.0,@HOU,-3.0,CLE,-15.0,0.69356197548085
0.98,69.6,30.0,PHI,W,ARI,-6.0,@CAR,3.0,WAS,-4.0,SF,-10.0,DEN,-2.5,BYE,,@DAL,3.5,CHI,-9.5,@SEA,3.5,@LAR,0.5,@NYG,-1.0,OAK,-3.5,DAL,-1.0,0.39010611985228
0.97,52.8,0.4,LAR,L,SEA,-2.0,@JAX,2.5,ARI,-3.5,BYE,,@NYG,1.5,HOU,-2.5,@MIN,3.5,NO,-2.5,@ARI,1.0,PHI,-0.5,@SEA,5.5,@TEN,4.0,SF,-8.0,0.20696603333154
0.97,53.8,1.6,DET,L,CAR,-1.5,@NO,4.5,BYE,,PIT,1.0,@GB,3.5,CLE,-11.0,@CHI,-6.0,MIN,-3.0,@BAL,-2.0,@TB,1.5,CHI,-9.5,@CIN,-2.5,GB,-0.5,0.41529354137778
0.97,53.8,1.8,KC,W,@HOU,-2.0,PIT,-4.0,@OAK,-3.0,DEN,-4.0,@DAL,1.5,BYE,,@NYG,-3.5,BUF,-7.0,@NYJ,-9.5,OAK,-7.0,LAC,-9.5,MIA,-9.5,@DEN,-1.0,0.75585038211512
0.95,53.3,2.8,NYJ,W,@CLE,-1.5,NE,9.5,@MIA,5.0,ATL,8.0,BUF,3.5,@TB,9.5,BYE,,CAR,6.0,KC,9.5,@DEN,10.0,@NO,9.0,LAC,1.0,@NE,15.5,0.0
0.94,51.2,0.6,MIA,W,TEN,0.0,@ATL,11.5,NYJ,-5.0,@BAL,3.5,OAK,1.5,@CAR,6.5,TB,2.5,@NE,11.0,DEN,3.5,NE,7.0,@BUF,4.0,@KC,9.5,BUF,0.5,0.068806358144976
0.92,49.3,0.3,SF,L,@IND,1.0,@WAS,10.0,DAL,8.0,@PHI,10.0,ARI,3.5,NYG,4.0,BYE,,SEA,7.5,@CHI,3.5,@HOU,8.0,TEN,7.0,JAX,3.0,@LAR,8.0,0.0
0.92,50.7,1.3,IND,W,SF,-1.0,@TEN,10.0,JAX,2.0,@CIN,7.0,@HOU,8.0,PIT,9.5,BYE,,TEN,6.5,@JAX,6.0,@BUF,7.5,DEN,6.5,@BAL,7.0,HOU,4.0,0.0
0.9,48.8,0.7,TEN,L,@MIA,0.0,IND,-10.0,@CLE,-7.5,BYE,,BAL,-5.5,CIN,-6.0,@PIT,4.5,@IND,-6.5,HOU,-3.5,@ARI,-3.0,@SF,-7.0,LAR,-4.0,JAX,-6.5,0.7587881104245
0.89,46.7,0.7,CLE,L,NYJ,1.5,@HOU,10.0,TEN,7.5,MIN,7.0,BYE,,@DET,11.0,JAX,4.0,@CIN,9.0,@LAC,7.0,GB,9.5,BAL,5.0,@CHI,4.0,@PIT,15.0,0.0
0.87,46.2,0.1,HOU,L,KC,2.0,CLE,-10.0,BYE,,@SEA,4.0,IND,-8.0,@LAR,2.5,ARI,-3.5,@BAL,1.5,@TEN,3.5,SF,-8.0,@JAX,-0.5,PIT,3.0,@IND,-4.0,0.44511365041457
0.87,46.2,0.2,CAR,W,@DET,1.5,PHI,-3.0,@CHI,-5.5,@TB,2.0,ATL,0.5,MIA,-6.5,BYE,,@NYJ,-6.0,@NO,1.5,MIN,-3.0,GB,0.5,TB,-3.0,@ATL,4.0,0.3563352382294
0.87,47.2,0.4,SEA,W,@LAR,2.0,BYE,,@NYG,-3.0,HOU,-4.0,WAS,-4.5,@ARI,-3.0,ATL,-1.5,@SF,-7.5,PHI,-3.5,@JAX,-3.5,LAR,-5.5,@DAL,3.0,ARI,-7.0,0.55168283341343
0.87,30.4,0.1,ARI,L,@PHI,6.0,TB,2.0,@LAR,3.5,BYE,,@SF,-3.5,SEA,3.0,@HOU,3.5,JAX,-3.0,LAR,-1.0,TEN,3.0,@WAS,3.5,NYG,-2.5,@SEA,7.0,0.11239055217542
0.83,25.6,0.0,JAX,W,@PIT,7.5,LAR,-2.5,@IND,-2.0,BYE,,CIN,-2.5,LAC,-3.5,@CLE,-4.0,@ARI,3.0,IND,-6.0,SEA,3.5,HOU,0.5,@SF,-3.0,@TEN,6.5,0.28302507307497
0.81,39.4,0.1,LAC,W,@NYG,3.0,@OAK,4.5,DEN,3.5,@NE,11.5,BYE,,@JAX,3.5,BUF,1.0,@DAL,9.0,CLE,-7.0,WAS,2.0,@KC,9.5,@NYJ,-1.0,OAK,1.5,0.10169445979294
0.8,43.6,0.3,GB,W,@DAL,2.5,@MIN,-3.5,NO,-5.5,BYE,,DET,-3.5,@CHI,-7.0,BAL,-7.0,@PIT,3.0,TB,-5.0,@CLE,-9.5,@CAR,-0.5,MIN,-4.0,@DET,0.5,0.61900712179049
0.77,41.4,0.4,BAL,W,@OAK,3.0,CHI,-6.5,@MIN,4.0,MIA,-3.5,@TEN,5.5,BYE,,@GB,7.0,HOU,-1.5,DET,2.0,@PIT,7.5,@CLE,-5.0,IND,-7.0,CIN,-3.0,0.34361384902963
0.75,37.3,0.1,CHI,L,MIN,3.5,@BAL,6.5,CAR,5.5,@NO,8.0,BYE,,GB,7.0,DET,6.0,@PHI,9.5,SF,-3.5,@CIN,7.0,@DET,9.5,CLE,-4.0,@MIN,9.5,0.10640397961599
0.74,36.7,0.1,TB,L,NE,3.5,@ARI,-2.0,@BUF,1.5,CAR,-2.0,@NO,3.0,NYJ,-9.5,@MIA,-2.5,@ATL,6.5,@GB,5.0,DET,-1.5,ATL,2.5,@CAR,3.0,NO,-3.0,0.21086126906894
0.72,38.9,1.4,BUF,L,@CIN,3.5,BYE,,TB,-1.5,OAK,-1.5,@NYJ,-3.5,NO,-1.5,@LAC,-1.0,@KC,7.0,NE,5.5,IND,-7.5,MIA,-4.0,@NE,9.5,@MIA,-0.5,0.25462249884366
,,,ATL,,BYE,,MIA,-11.5,@NE,4.0,@NYJ,-8.0,@CAR,-0.5,DAL,-3.0,@SEA,1.5,TB,-6.5,MIN,-4.5,NO,-6.5,@TB,-2.5,@NO,-3.0,CAR,-4.0,0.62039000427847
,,,DEN,,BYE,,NYG,-11.5,@LAC,-3.5,@KC,4.0,@PHI,2.5,NE,3.0,CIN,-6.0,@OAK,-1.0,@MIA,-3.5,NYJ,-10.0,@IND,-6.5,@WAS,-0.5,KC,1.0,0.52570521563675
,,,NO,,BYE,,DET,-4.5,@GB,5.5,CHI,-8.0,TB,-3.0,@BUF,1.5,WAS,-3.0,@LAR,2.5,CAR,-1.5,@ATL,6.5,NYJ,-9.0,ATL,3.0,@TB,3.0,0.37752216812664
,,,WAS,,BYE,,SF,-10.0,@PHI,4.0,DAL,2.5,@SEA,4.5,MIN,-1.5,@NO,3.0,NYG,-3.0,@DAL,6.0,@LAC,-2.0,ARI,-3.5,DEN,0.5,@NYG,1.5,0.23462657121612
