EV,W_pct,P_pct,Team,Team_Result,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.42,75.4,3.8,NE,W,NYJ,-7.5,DAL,-6.5,BYE,,@PIT,-3.0,NYG,-9.5,@NYJ,2.5,KC,-17.0,@PHI,-3.0,IND,-20.5,@WAS,-7.0,@DEN,-7.0,MIA,-7.0,BUF,-10.0,0.87145449556521
1.39,72.6,1.9,DET,W,CHI,-6.5,SF,-5.5,ATL,-4.5,@DEN,-3.0,BYE,,@CHI,2.5,CAR,-7.0,GB,4.5,@NO,9.0,MIN,-10.0,@OAK,-1.0,SD,1.0,@GB,-6.5,0.43083266948148
1.33,69.3,1.7,GB,W,@ATL,-6.0,STL,-14.0,@MIN,-10.0,BYE,,@SD,-5.5,MIN,-12.5,TB,-13.5,@DET,-4.5,@NYG,-7.0,OAK,-11.5,@KC,-10.5,CHI,-13.0,DET,6.5,1.0
1.26,72.3,8.8,NO,W,@CAR,-6.5,@TB,-6.0,IND,-13.5,@STL,-13.5,TB,-9.0,@ATL,1.0,BYE,,NYG,-7.0,DET,-9.0,@TEN,-3.5,@MIN,-7.0,ATL,-7.0,CAR,-7.0,0.86175830322615
1.25,64.5,0.8,MIN,W,ARI,-3.5,@CHI,1.0,GB,10.0,@CAR,3.0,BYE,,@GB,12.5,OAK,-1.5,@ATL,10.0,DEN,-1.0,@DET,10.0,NO,7.0,@WAS,6.0,CHI,-1.5,0.058338038274599
1.25,67.1,3.8,HOU,L,OAK,-4.5,@BAL,7.0,@TEN,3.0,JAX,-10.0,CLE,-10.5,@TB,-3.5,BYE,,@JAX,-6.0,ATL,1.0,@CIN,2.5,CAR,-6.0,@IND,-7.0,TEN,1.0,0.46189626580405
1.21,62.1,0.5,PIT,W,TEN,-3.0,JAX,-12.5,@ARI,-4.0,NE,3.0,BAL,-3.5,@CIN,-3.5,BYE,,@KC,-10.5,CIN,-7.0,CLE,-14.0,@SF,3.0,STL,-10.0,@CLE,-7.0,0.75600171999454
1.18,60.6,0.7,PHI,L,@BUF,-3.0,@WAS,-3.0,BYE,,DAL,-3.0,CHI,-9.0,ARI,-13.5,@NYG,6.0,NE,3.0,@SEA,-3.0,@MIA,3.0,NYJ,-3.0,@DAL,-1.0,WAS,-7.0,0.43169539769982
1.17,63.3,3.5,SD,W,@DEN,-3.5,BYE,,@NYJ,-1.0,@KC,-3.0,GB,5.5,OAK,-7.0,@CHI,4.5,DEN,-4.5,@JAX,-3.0,BUF,-7.0,BAL,1.0,@DET,-1.0,@OAK,2.5,0.28691604178494
1.12,57.2,0.4,SF,W,TB,-2.5,@DET,5.5,BYE,,CLE,-9.0,@WAS,-5.0,NYG,-4.0,ARI,-10.0,@BAL,3.5,STL,-14.0,@ARI,-3.5,PIT,-3.0,@SEA,-1.5,@STL,-12.5,0.64814056399278
1.09,56.4,0.8,CIN,W,@JAX,-1.0,IND,-5.0,BYE,,@SEA,-1.0,@TEN,1.5,PIT,3.5,@BAL,7.0,CLE,-6.5,@PIT,7.0,HOU,-2.5,@STL,-7.0,ARI,-4.5,BAL,2.5,0.30065144778106
1.06,18.9,0.0,SEA,W,@NYG,10.0,BYE,,@CLE,3.0,CIN,1.0,@DAL,11.0,BAL,7.0,@STL,3.0,WAS,-3.0,PHI,3.0,STL,-9.0,@CHI,3.5,SF,1.5,@ARI,2.5,0.11528228149177
1.0,52.2,1.3,IND,L,KC,-1.0,@CIN,5.0,@NO,13.5,@TEN,9.0,ATL,6.5,JAX,3.0,BYE,,CAR,3.5,@NE,20.5,@BAL,16.5,TEN,6.5,HOU,7.0,@JAX,3.0,0.0
0.96,47.8,0.2,KC,W,@IND,1.0,BYE,,@OAK,3.5,SD,3.0,MIA,-4.5,DEN,-3.0,@NE,17.0,PIT,10.5,@CHI,9.0,@NYJ,10.5,GB,10.5,OAK,-2.5,@DEN,1.0,0.13174310057698
