EV,W_pct,P_pct,Team,Team_Result,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.17,77.3,11.6,SEA,L,WAS,-8.5,@ARI,-5.5,ATL,-2.5,@SF,-8.0,PHI,-3.0,@JAX,-3.0,LAR,-3.5,@DAL,2.0,ARI,-8.0,0.59105202208795
1.11,71.9,6.5,PHI,W,DEN,-7.0,BYE,,@DAL,2.0,CHI,-9.5,@SEA,3.0,@LAR,1.0,@NYG,-5.0,OAK,-5.5,DAL,-3.0,0.42667515023483
1.06,69.1,7.9,LAR,W,@NYG,-5.5,HOU,-11.5,@MIN,3.0,NO,-1.5,@ARI,-3.0,PHI,-1.0,@SEA,3.5,@TEN,2.0,SF,-9.5,0.42352363746571
1.04,68.6,8.2,JAX,W,CIN,-5.5,LAC,-4.0,@CLE,-5.0,@ARI,0.5,IND,-7.0,SEA,3.0,HOU,-3.0,@SF,-3.5,@TEN,3.5,0.42567382769843
1.02,69.6,14.3,HOU,L,IND,-6.0,@LAR,11.5,ARI,-4.0,@BAL,1.5,@TEN,3.5,SF,-7.0,@JAX,3.0,PIT,3.0,@IND,-3.5,0.28272197347786
0.96,60.6,1.9,TEN,W,BAL,-3.0,CIN,-4.5,@PIT,5.0,@IND,-4.5,HOU,-3.5,@ARI,-2.0,@SF,-4.5,LAR,-2.0,JAX,-3.5,0.46167610597653
0.95,73.5,34.7,NO,W,TB,-7.0,@BUF,-2.5,WAS,-6.5,@LAR,1.5,CAR,-3.5,@ATL,3.0,NYJ,-9.5,ATL,-1.5,@TB,-3.0,0.44865007614924
0.95,60.3,2.4,OAK,W,@MIA,-3.0,BYE,,NE,4.5,DEN,-3.0,NYG,-6.0,@KC,7.0,DAL,1.5,@PHI,5.5,@LAC,2.5,0.14904314131458
0.95,61.4,5.0,BUF,L,@NYJ,-3.0,NO,2.5,@LAC,2.0,@KC,6.5,NE,4.0,IND,-8.0,MIA,-4.5,@NE,8.0,@MIA,-1.5,0.26135905134049
0.94,58.6,0.2,ATL,L,@CAR,-2.5,DAL,-3.0,@SEA,2.5,TB,-7.0,MIN,-4.0,NO,-3.0,@TB,-3.5,@NO,1.5,CAR,-4.0,0.45890058753818
0.89,55.7,0.4,DAL,W,KC,-2.5,@ATL,3.0,PHI,-2.0,LAC,-4.0,WAS,-5.5,@NYG,-4.0,@OAK,-1.5,SEA,-2.0,@PHI,3.0,0.34328346950819
0.89,55.7,1.2,DET,W,@GB,-2.5,CLE,-13.0,@CHI,-3.0,MIN,-2.0,@BAL,1.0,@TB,1.5,CHI,-6.5,@CIN,1.5,GB,-3.5,0.47744196100391
0.86,54.8,2.4,ARI,W,@SF,-2.5,SEA,5.5,@HOU,4.0,JAX,-0.5,LAR,3.0,TEN,2.0,@WAS,3.5,NYG,-3.5,@SEA,8.0,0.067216786150976
0.74,45.2,0.2,SF,L,ARI,2.5,NYG,1.0,BYE,,SEA,8.0,@CHI,3.5,@HOU,7.0,TEN,4.5,JAX,3.5,@LAR,9.5,0.0
0.71,44.3,0.7,GB,L,DET,2.5,@CHI,5.0,BAL,-3.0,@PIT,7.0,TB,-3.0,@CLE,-4.5,@CAR,4.0,MIN,1.0,@DET,3.5,0.18938957837177
0.71,44.3,0.3,KC,L,@DAL,2.5,BYE,,@NYG,-7.0,BUF,-6.5,@NYJ,-8.0,OAK,-7.0,LAC,-7.0,MIA,-9.5,@DEN,-3.5,0.871200648889
0.66,41.4,0.1,CAR,W,ATL,2.5,MIA,-10.0,BYE,,@NYJ,-4.0,@NO,3.5,MIN,-3.0,GB,-4.0,TB,-4.0,@ATL,4.0,0.4451552067654
0.65,38.6,0.1,NYJ,W,BUF,3.0,@TB,-2.5,BYE,,CAR,4.0,KC,8.0,@DEN,6.0,@NO,9.5,LAC,2.5,@NE,14.5,0.033756362473217
