EV,W_pct,P_pct,Team,Team_Result,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.08,81.8,21.2,TB,W,MIA,-11.0,@PHI,-7.0,CHI,-13.5,@NO,-3.0,BYE,,@WAS,-5.0,NYG,-11.5,@IND,-5.0,@ATL,-9.5,BUF,-3.5,NO,-7.0,@CAR,-4.0,@NYJ,-11.5,CAR,-9.5,0.97496684783382
1.04,75.0,7.8,BAL,W,IND,-7.5,LAC,-3.0,CIN,-7.0,BYE,,MIN,-7.0,@MIA,-4.0,@CHI,-5.0,CLE,-3.5,@PIT,-4.0,@CLE,3.0,GB,-3.5,@CIN,-3.5,LAR,-2.0,PIT,-8.5,0.58802072955656
1.02,78.3,22.6,MIN,W,DET,-10.0,@CAR,1.5,BYE,,DAL,0.5,@BAL,7.0,@LAC,5.0,GB,1.5,@SF,4.0,@DET,-6.5,PIT,-4.5,@CHI,-2.5,LAR,3.0,@GB,5.5,CHI,-6.5,0.22140895262679
0.99,75.2,18.6,NE,W,@HOU,-7.5,DAL,4.0,NYJ,-8.0,@LAC,6.5,@CAR,3.0,CLE,2.5,@ATL,-3.0,TEN,-2.0,@BUF,8.0,BYE,,@IND,2.5,BUF,3.5,JAX,-10.0,@MIA,1.0,0.24293302671065
0.97,73.7,17.3,DAL,W,NYG,-7.0,@NE,-4.0,BYE,,@MIN,-0.5,DEN,-3.5,ATL,-9.5,@KC,6.0,LV,-4.5,@NO,1.5,@WAS,-2.0,@NYG,-3.5,WAS,-6.0,ARI,-1.0,@PHI,-3.5,0.43474144659054
0.96,67.6,1.2,ARI,W,SF,-5.5,@CLE,2.5,HOU,-15.5,GB,-3.5,@SF,-0.5,CAR,-7.0,@SEA,-1.0,BYE,,@CHI,-6.5,LAR,-2.0,@DET,-9.5,IND,-7.0,@DAL,1.0,SEA,-4.5,0.60745383175755
0.96,68.0,3.2,LV,L,CHI,-5.5,@DEN,4.0,PHI,-5.0,BYE,,@NYG,-2.5,KC,3.5,CIN,-3.0,@DAL,4.5,WAS,-3.5,@KC,8.0,@CLE,6.0,DEN,-1.5,@IND,2.0,LAC,1.0,0.16995557299905
0.91,64.9,3.4,TEN,W,@JAX,-4.0,BUF,5.5,KC,3.5,@IND,1.5,@LAR,7.0,NO,-2.0,HOU,-10.5,@NE,2.0,BYE,,JAX,-11.0,@PIT,-1.0,SF,-1.5,MIA,-5.0,@HOU,-7.0,0.41129441502393
0.83,57.6,0.1,KC,L,BUF,-2.5,@WAS,-7.5,@TEN,-3.5,NYG,-12.0,GB,-4.5,@LV,-3.5,DAL,-6.0,BYE,,DEN,-7.5,LV,-8.0,@LAC,-1.5,PIT,-10.5,@CIN,-4.5,@DEN,-3.0,0.81822428187333
0.82,57.8,1.1,ATL,W,NYJ,-3.0,BYE,,@MIA,4.0,CAR,3.0,@NO,8.0,@DAL,9.5,NE,3.0,@JAX,-2.5,TB,9.5,@CAR,7.0,@SF,9.5,DET,-6.5,@BUF,12.5,NO,3.5,0.092355996219625
0.81,56.6,0.7,CAR,L,PHI,-2.5,MIN,-1.5,@NYG,-1.5,@ATL,-3.0,NE,-3.0,@ARI,7.0,WAS,-3.0,@MIA,0.5,BYE,,ATL,-7.0,@BUF,7.5,TB,4.0,@NO,4.0,@TB,9.5,0.17872984798258
