EV,W_pct,P_pct,Team,Team_Result,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.22,85.5,15.1,KC,W,LV,-13.5,LAC,-4.0,@CLE,-6.5,HOU,-4.0,@PIT,-2.5,@DEN,-3.0,0.540291813486
1.16,80.1,7.8,DET,W,CHI,-9.5,GB,-3.5,BUF,-3.0,@CHI,-7.0,@SF,-3.5,MIN,-4.0,0.54744772715892
1.05,73.3,8.0,BUF,W,SF,-6.5,@LAR,-4.5,@DET,3.0,NE,-17.0,NYJ,-8.0,@NE,-14.5,1.0
1.0,71.2,10.8,DEN,W,CLE,-6.0,BYE,,IND,-4.5,@LAC,3.0,@CIN,3.5,KC,3.0,0.12374262806586
1.0,69.2,6.5,WSH,W,TEN,-6.0,BYE,,@NO,-2.5,PHI,0.5,ATL,-3.0,@DAL,-4.0,0.24242199947326
0.96,72.1,21.5,TB,W,@CAR,-6.5,LV,-7.0,@LAC,3.5,@DAL,-3.0,CAR,-9.5,NO,-3.0,0.56522097203626
0.91,62.3,2.0,MIN,W,ARI,-3.5,ATL,-5.0,CHI,-4.5,@SEA,-3.5,GB,-1.5,@DET,4.0,0.3937985753278
0.91,62.5,3.0,GB,W,MIA,-3.5,@DET,3.5,@SEA,-2.5,NO,-7.5,@MIN,1.5,CHI,-7.0,0.43954297301224
0.91,66.4,13.9,DAL,W,NYG,-4.0,CIN,5.5,@CAR,-1.5,TB,3.0,@PHI,9.5,WSH,4.0,0.016188658958724
0.89,59.9,0.4,CIN,L,PIT,-3.0,@DAL,-5.5,@TEN,-4.5,CLE,-7.0,DEN,-3.5,@PIT,0.5,0.5617391216744
0.89,59.8,0.2,BAL,L,PHI,-3.0,BYE,,@NYG,-11.5,PIT,-6.5,@HOU,-3.0,CLE,-12.0,0.79670861318704
0.88,60.9,5.1,HOU,W,@JAX,-3.0,BYE,,MIA,-2.5,@KC,4.0,BAL,3.0,@TEN,-3.5,0.14113583091719
0.86,58.0,1.1,LAR,W,@NO,-3.0,BUF,4.5,@SF,3.0,@NYJ,1.0,ARI,-3.0,SEA,-3.5,0.15157597839141
0.81,55.1,1.3,IND,W,@NE,-2.5,BYE,,@DEN,4.5,TEN,-3.0,@NYG,-3.5,JAX,-3.5,0.24100157860886
0.79,52.8,0.1,NYJ,L,SEA,-1.5,@MIA,6.0,@JAX,-3.5,LAR,-1.0,@BUF,8.0,MIA,2.0,0.10231016127673
0.75,50.3,0.5,LAC,W,@ATL,-1.0,@KC,4.0,TB,-3.5,DEN,-3.0,@NE,-7.0,@LV,-6.5,0.53382915604204
0.74,49.7,0.1,ATL,L,LAC,1.0,@MIN,5.0,@LV,-3.0,NYG,-8.0,@WSH,3.0,CAR,-9.5,0.5323176740034
0.69,47.2,1.6,SEA,W,@NYJ,1.5,@ARI,2.5,GB,2.5,MIN,3.5,@CHI,2.0,@LAR,3.5,0.0
0.68,44.9,0.1,NE,L,IND,2.5,BYE,,@ARI,6.5,@BUF,17.0,LAC,7.0,BUF,14.5,0.0
0.63,42.0,0.1,NO,L,LAR,3.0,@NYG,-5.0,WSH,2.5,@GB,7.5,LV,-5.0,@TB,3.0,0.27874703632371
0.61,39.1,0.0,JAX,L,HOU,3.0,@TEN,3.5,NYJ,3.5,@LV,0.5,TEN,-1.0,@IND,3.5,0.011138771784954
0.6,40.2,0.0,PHI,W,@BAL,3.0,CAR,-12.5,PIT,-4.5,@WSH,-0.5,DAL,-9.5,NYG,-13.5,0.9161217461568
0.6,40.1,0.2,PIT,W,@CIN,3.0,CLE,-6.5,@PHI,4.5,@BAL,6.5,KC,2.5,CIN,-0.5,0.18599764254005
0.58,33.6,0.1,NYG,L,@DAL,4.0,NO,5.0,BAL,11.5,@ATL,8.0,IND,3.5,@PHI,13.5,0.0
0.57,37.5,0.1,MIA,L,@GB,3.5,NYJ,-6.0,@HOU,2.5,SF,-3.0,@CLE,-4.0,@NYJ,-2.0,0.38258113874136
0.57,37.7,0.0,ARI,L,@MIN,3.5,SEA,-2.5,NE,-6.5,@CAR,-6.0,@LAR,3.0,SF,1.0,0.38294875806071
0.53,27.9,0.1,CAR,L,TB,6.5,@PHI,12.5,DAL,1.5,ARI,6.0,@TB,9.5,@ATL,9.5,0.0
0.49,30.8,0.1,TEN,L,@WSH,6.0,JAX,-3.5,CIN,4.5,@IND,3.0,@JAX,1.0,HOU,3.5,0.10890613481331
0.48,28.8,0.2,CLE,L,@DEN,6.0,@PIT,6.5,KC,6.5,@CIN,7.0,MIA,4.0,@BAL,12.0,0.0
0.44,26.7,0.0,SF,L,@BUF,6.5,CHI,-4.0,LAR,-3.0,@MIA,3.0,DET,3.5,@ARI,-1.0,0.19345787307869
0.33,19.9,0.0,CHI,L,@DET,9.5,@SF,4.0,@MIN,4.5,DET,7.0,SEA,-2.0,@GB,7.0,0.035563247566086
0.27,14.5,0.1,LV,L,@KC,13.5,@TB,7.0,ATL,3.0,JAX,-0.5,@NO,5.0,LAC,6.5,0.0009625362395412
