EV,W_pct,P_pct,Team,Team_Result,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.18,74.9,14.7,SF,L,ARI,-7.5,@SEA,-3.5,KC,-1.5,DAL,-5.5,BYE,,@TB,-3.5,SEA,-6.0,@GB,-3.5,@BUF,-0.5,CHI,-7.0,LAR,-8.0,@MIA,-4.0,DET,-3.0,@ARI,-6.0,0.68657157766516
1.13,67.4,4.4,KC,W,NO,-5.0,BYE,,@SF,1.5,@LV,-8.0,TB,-7.0,DEN,-11.0,@BUF,-1.0,@CAR,-13.5,LV,-10.5,LAC,-7.5,@CLE,-6.0,HOU,-3.5,@PIT,-3.5,@DEN,-8.0,1.0
1.09,64.1,2.5,JAX,W,IND,-3.5,CHI,2.5,NE,-6.0,GB,-1.5,@PHI,4.0,MIN,-1.0,@DET,6.0,BYE,,HOU,3.0,@TEN,-0.5,NYJ,0.5,@LV,-2.0,TEN,-3.5,@IND,2.5,0.16687670152504
1.03,64.2,9.2,CHI,W,CAR,-4.0,JAX,-2.5,BYE,,@WSH,-0.5,@ARI,0.5,NE,-5.0,GB,-1.5,MIN,-1.0,@DET,6.0,@SF,7.0,@MIN,3.0,DET,3.0,SEA,-0.5,@GB,3.0,0.10992682768712
1.01,59.6,2.3,DEN,W,LV,-3.0,LAC,3.0,@NO,2.0,CAR,-3.5,@BAL,9.5,@KC,11.0,ATL,3.0,@LV,2.5,CLE,1.0,BYE,,IND,3.0,@LAC,4.0,@CIN,7.0,KC,8.0,0.050956789995928
0.98,73.5,37.3,SEA,L,NYG,-7.0,SF,3.5,@ATL,2.5,BUF,1.0,LAR,-4.0,BYE,,@SF,6.0,ARI,-4.0,@NYJ,3.0,@ARI,-1.5,GB,-3.0,MIN,-3.0,@CHI,0.5,@LAR,-1.5,0.20767207310067
0.97,58.6,4.4,GB,W,@LAR,-3.0,ARI,-5.0,HOU,0.0,@JAX,1.5,DET,3.0,BYE,,@CHI,1.5,SF,3.5,MIA,-3.0,@DET,5.0,@SEA,3.0,NO,-3.5,@MIN,3.0,CHI,-3.0,0.18086854139581
0.97,55.9,0.6,ATL,W,TB,-2.5,@CAR,-6.0,SEA,-2.5,@TB,1.5,DAL,-1.5,@NO,-1.0,@DEN,-3.0,BYE,,LAC,-3.0,@MIN,2.0,@LV,-3.0,NYG,-6.0,@WSH,-2.0,CAR,-8.0,0.45096970040214
0.97,56.0,0.6,PIT,L,DAL,-2.5,@LV,-3.0,NYJ,-1.5,NYG,-6.0,BYE,,@WSH,-2.0,BAL,3.0,@CLE,-1.0,@CIN,3.0,CLE,-3.5,@PHI,3.5,@BAL,5.0,KC,3.5,CIN,-0.5,0.19901114180414
0.96,56.7,2.0,BAL,W,@CIN,-2.5,WSH,-6.5,@TB,-3.5,@CLE,-4.0,DEN,-9.5,CIN,-3.5,@PIT,-3.0,@LAC,-3.5,PHI,-3.5,BYE,,@NYG,-7.0,PIT,-5.0,@HOU,1.5,CLE,-7.0,0.75668196818439
