EV,W_pct,P_pct,Team,Team_Result,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.27,66.7,0.2,PIT,L,NE,-5.0,OAK,-7.5,@BUF,-6.0,@BAL,3.0,CIN,-9.0,NYJ,-3.5,CAR,-15.0,@CLE,-5.5,0.84555934707897
1.27,75.1,8.9,IND,W,CIN,-7.5,@NE,4.0,SD,-2.0,DAL,-6.0,@TEN,-4.0,JAX,-5.0,@OAK,-2.0,TEN,-9.0,0.51137648976286
1.24,65.6,0.9,SF,W,STL,-4.0,TB,-3.5,@ARI,-2.0,@GB,9.5,SEA,-5.0,@SD,10.5,@STL,2.5,ARI,-6.0,0.31830802405425
1.24,65.1,0.4,ARI,L,SEA,-4.0,@KC,8.5,SF,2.0,STL,3.5,DEN,4.5,@CAR,2.5,DAL,7.5,@SF,6.0,0.0
1.22,82.0,25.1,NYG,L,DAL,-13.0,@PHI,3.5,JAX,-7.0,WAS,-7.5,@MIN,-3.0,PHI,-3.0,@GB,3.5,@WAS,-4.5,0.50788063679023
1.17,62.9,1.5,PHI,W,@WAS,-3.0,NYG,-3.5,@CHI,-3.0,HOU,-8.0,@DAL,-4.0,@NYG,3.0,MIN,-14.5,DAL,1.5,0.62908941479721
1.11,60.0,1.7,NYJ,W,@CLE,-3.0,HOU,-6.5,CIN,-9.5,@NE,4.0,MIA,-5.0,@PIT,3.5,@CHI,2.5,BUF,-6.5,0.43149866303817
1.06,55.3,0.7,BUF,W,DET,-2.0,@CIN,5.0,PIT,6.0,@MIN,5.0,CLE,0.0,@MIA,4.5,NE,7.5,@NYJ,6.5,0.01028340911306
1.06,24.9,0.0,CAR,L,@TB,7.5,BAL,11.5,@CLE,9.5,@SEA,5.0,ATL,9.0,ARI,-2.5,@PIT,15.0,@ATL,14.5,0.045079049326734
1.01,52.8,0.1,ATL,W,BAL,0.0,@STL,-3.5,GB,-1.5,@TB,-3.0,@CAR,-9.0,@SEA,-6.5,NO,-2.5,CAR,-14.5,0.66211137352273
1.01,52.4,0.1,JAX,W,HOU,-1.0,CLE,-2.0,@NYG,7.0,@TEN,3.5,OAK,-3.5,@IND,5.0,WAS,-7.0,@HOU,5.0,0.25296322026277
1.0,52.4,0.3,MIN,L,@CHI,-1.0,GB,3.5,@WAS,-1.5,BUF,-5.0,NYG,3.0,CHI,6.0,@PHI,14.5,@DET,3.5,0.12874189464289
0.99,52.4,0.5,TEN,L,@MIA,-1.0,WAS,-7.0,@HOU,6.0,JAX,-3.5,IND,4.0,HOU,-1.0,@KC,4.5,@IND,9.0,0.22952008201994
0.96,49.8,0.1,DEN,W,KC,1.0,@SD,9.0,STL,-3.5,@KC,10.0,@ARI,-4.5,@OAK,7.5,HOU,2.0,SD,4.5,0.1543003182182
0.95,50.2,0.4,KC,L,@DEN,-1.0,ARI,-8.5,@SEA,-2.0,DEN,-10.0,@SD,10.0,@STL,3.0,TEN,-4.5,OAK,-3.5,0.51016482349335
0.92,47.6,0.1,MIA,W,TEN,1.0,CHI,-2.5,@OAK,3.0,CLE,-5.0,@NYJ,5.0,BUF,-4.5,DET,-3.5,@NE,5.5,0.32868008433902
0.91,47.6,0.1,CHI,W,MIN,1.0,@MIA,2.5,PHI,3.0,@DET,-4.5,NE,3.0,@MIN,-6.0,NYJ,-2.5,@GB,11.0,0.24575947450912
0.9,47.6,0.3,HOU,L,@JAX,1.0,@NYJ,6.5,TEN,-6.0,@PHI,8.0,BAL,3.0,@TEN,1.0,@DEN,-2.0,JAX,-5.0,0.23439443170162
0.9,47.2,0.1,BAL,L,@ATL,0.0,@CAR,-11.5,TB,-7.5,PIT,-3.0,@HOU,-3.0,NO,-2.5,@CLE,-3.5,CIN,-9.5,0.76276491757805
0.85,75.1,57.5,TB,W,CAR,-7.5,@SF,3.5,@BAL,7.5,ATL,3.0,@WAS,-1.0,DET,-4.0,SEA,-6.0,@NO,7.5,0.2065069691646
0.85,44.7,0.8,DET,L,@BUF,2.0,@DAL,6.5,NE,7.0,CHI,4.5,GB,7.0,@TB,4.0,@MIA,3.5,MIN,-3.5,0.083085391212605
0.81,40.0,0.0,CLE,L,NYJ,3.0,@JAX,2.0,CAR,-9.5,@MIA,5.0,@BUF,0.0,@CIN,1.0,BAL,3.5,PIT,5.5,0.18015438829431
0.75,37.1,0.0,WAS,L,PHI,3.0,@TEN,7.0,MIN,1.5,@NYG,7.5,TB,1.0,@DAL,7.0,@JAX,7.0,NYG,4.5,0.0
0.69,18.0,0.0,DAL,W,@NYG,13.0,DET,-6.5,NO,4.5,@IND,6.0,PHI,4.0,WAS,-7.0,@ARI,-7.5,@PHI,-1.5,0.42423707358196
0.68,34.9,0.0,SEA,W,@ARI,4.0,@NO,12.0,KC,2.0,CAR,-5.0,@SF,5.0,ATL,6.5,@TB,6.0,STL,3.0,0.095824919771441
0.68,34.4,0.1,STL,L,@SF,4.0,ATL,3.5,@DEN,3.5,@ARI,-3.5,@NO,9.5,KC,-3.0,SF,-2.5,@SEA,-3.0,0.23210018128619
0.65,24.9,0.0,CIN,L,@IND,7.5,BUF,-5.0,@NYJ,9.5,NO,7.0,@PIT,9.0,CLE,-1.0,SD,8.5,@BAL,9.5,0.11405645431795
0.64,33.3,0.0,NE,W,@PIT,5.0,IND,-4.0,@DET,-7.0,NYJ,-4.0,@CHI,-3.0,GB,-14.0,@BUF,-7.5,MIA,-5.5,0.85232131878994
,,,GB,,BYE,,@MIN,-3.5,@ATL,1.5,SF,-9.5,@DET,-7.0,@NE,14.0,NYG,-3.5,CHI,-11.0,0.65292662457426
,,,NO,,BYE,,SEA,-12.0,@DAL,-4.5,@CIN,-7.0,STL,-9.5,@BAL,2.5,@ATL,2.5,TB,-7.5,0.74693015122115
,,,OAK,,BYE,,@PIT,7.5,MIA,-3.0,@SD,13.0,@JAX,3.5,DEN,-7.5,IND,2.0,@KC,3.5,0.20050875523576
,,,SD,,BYE,,DEN,-9.0,@IND,2.0,OAK,-13.0,KC,-10.0,SF,-10.5,@CIN,-8.5,@DEN,-4.5,1.0
