EV,W_pct,P_pct,Team,Team_Result,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.06,73.7,5.0,JAX,W,NE,-7.0,GB,4.5,@PHI,6.0,MIN,1.5,@DET,6.5,BYE,,HOU,3.0,@TEN,-0.5,NYJ,2.5,@LV,-3.0,TEN,-3.5,@IND,1.5,0.062686866702525
1.03,74.7,12.3,LAR,W,LV,-7.0,MIN,3.0,@SEA,3.0,MIA,-1.5,@NE,-3.0,PHI,2.5,@NO,0.5,BUF,3.5,@SF,8.0,@NYJ,4.5,ARI,-3.0,SEA,0.5,0.060459019801796
1.02,80.8,32.6,WSH,W,CAR,-10.5,CHI,2.5,@NYG,-3.0,PIT,1.5,@PHI,6.0,DAL,2.5,TEN,-2.5,BYE,,@NO,2.0,PHI,3.0,ATL,2.0,@DAL,4.0,0.052112471673824
1.02,80.4,32.5,BUF,W,TEN,-9.5,@SEA,-3.0,MIA,-5.5,@IND,-3.5,KC,1.0,BYE,,SF,0.5,@LAR,-3.5,@DET,3.0,NE,-10.0,NYJ,-3.0,@NE,-7.0,0.43062874179147
0.98,66.2,0.6,BAL,W,@TB,-4.5,@CLE,-9.0,DEN,-9.5,CIN,-4.0,@PIT,-3.0,@LAC,-3.5,PHI,-4.0,BYE,,@NYG,-8.5,PIT,-6.5,@HOU,-0.5,CLE,-9.5,0.68203348179577
0.96,68.0,7.2,CIN,W,@CLE,-5.0,PHI,-2.5,LV,-8.5,@BAL,4.0,@LAC,-1.0,BYE,,PIT,-3.5,@DAL,0.5,@TEN,-3.5,CLE,-6.5,DEN,-6.5,@PIT,-0.5,0.37668707344449
0.91,61.5,0.3,GB,W,HOU,-3.0,@JAX,-4.5,DET,-1.5,BYE,,@CHI,-1.5,SF,3.0,MIA,-3.5,@DET,4.0,@SEA,1.5,NO,-5.5,@MIN,2.5,CHI,-3.5,0.22938765363492
0.88,59.8,1.1,ATL,L,SEA,-3.0,@TB,-2.5,DAL,-2.0,@NO,-2.5,@DEN,-3.0,BYE,,LAC,-3.0,@MIN,3.0,@LV,-3.5,NYG,-6.5,@WSH,-2.0,CAR,-9.5,0.36543770537398
0.88,60.2,2.4,PHI,W,@NYG,-3.0,@CIN,2.5,JAX,-6.0,@DAL,1.0,WSH,-6.0,@LAR,-2.5,@BAL,4.0,CAR,-11.0,PIT,-3.5,@WSH,-3.0,DAL,-3.0,NYG,-7.5,0.48465007131287
0.88,58.9,0.3,NYJ,L,@PIT,-2.5,@NE,-7.0,HOU,0.5,@ARI,-3.0,IND,-4.5,BYE,,SEA,-3.5,@MIA,-1.5,@JAX,-2.5,LAR,-4.5,@BUF,3.0,MIA,-4.0,0.36877691657484
0.85,57.1,0.1,SF,L,KC,-2.5,DAL,-4.5,BYE,,@TB,-4.0,SEA,-6.5,@GB,-3.0,@BUF,-0.5,CHI,-7.5,LAR,-8.0,@MIA,-4.0,DET,-3.0,@ARI,-6.5,0.57957496136325
0.85,57.3,1.1,DEN,W,@NO,-3.0,CAR,-9.0,@BAL,9.5,@KC,10.5,ATL,3.0,@LV,0.5,CLE,-1.5,BYE,,IND,0.5,@LAC,4.0,@CIN,6.5,KC,8.0,0.11883534032955
0.84,57.7,2.0,IND,W,MIA,-3.0,@HOU,6.0,@MIN,6.5,BUF,3.5,@NYJ,4.5,DET,3.5,@NE,-2.5,BYE,,@DEN,-0.5,TEN,-3.0,@NYG,-2.0,JAX,-1.5,0.091817946208333
0.79,53.2,0.1,MIN,L,DET,-1.5,@LAR,-3.0,IND,-6.5,@JAX,-1.5,@TEN,-3.0,@CHI,-1.5,ARI,-4.0,ATL,-3.0,CHI,-3.5,@SEA,1.0,GB,-2.5,@DET,4.0,0.3158712866882
0.77,52.2,0.4,LAC,L,@ARI,-1.0,NO,-7.5,@CLE,-3.5,TEN,-4.0,CIN,1.0,BAL,3.5,@ATL,3.0,@KC,7.0,TB,-3.0,DEN,-4.0,@NE,-3.5,@LV,-3.5,0.34933195704096
0.71,47.8,0.2,ARI,W,LAC,1.0,@MIA,3.0,CHI,1.5,NYJ,3.0,BYE,,@SEA,3.5,@MIN,4.0,SEA,1.0,NE,-4.0,@CAR,-3.5,@LAR,3.0,SF,6.5,0.1021009441289
0.69,46.8,0.2,DET,W,@MIN,1.5,TEN,-11.0,@GB,1.5,@HOU,1.0,JAX,-6.5,@IND,-3.5,CHI,-6.5,GB,-4.0,BUF,-3.0,@CHI,-3.5,@SF,3.0,MIN,-4.0,0.49023560316529
0.64,42.3,0.0,MIA,L,@IND,3.0,ARI,-3.0,@BUF,5.5,@LAR,1.5,LV,-5.0,NE,-6.0,@GB,3.5,NYJ,1.5,@HOU,5.0,SF,4.0,@CLE,-1.0,@NYJ,4.0,0.1775107113669
0.64,42.7,0.6,NO,L,DEN,3.0,@LAC,7.5,@CAR,-3.5,ATL,2.5,CLE,-2.5,BYE,,LAR,-0.5,@NYG,-0.5,WSH,-2.0,@GB,5.5,LV,-3.5,@TB,3.5,0.14024805300321
0.64,42.9,0.2,KC,W,@SF,2.5,@LV,-10.0,TB,-9.0,DEN,-10.5,@BUF,-1.0,@CAR,-16.0,LV,-13.5,LAC,-7.0,@CLE,-7.5,HOU,-4.0,@PIT,-3.5,@DEN,-8.0,1.0
0.61,41.1,0.4,PIT,W,NYJ,2.5,NYG,-6.5,BYE,,@WSH,-1.5,BAL,3.0,@CLE,-2.0,@CIN,3.5,CLE,-4.0,@PHI,3.5,@BAL,6.5,KC,3.5,CIN,0.5,0.17231286936853
0.61,39.8,0.1,NYG,L,PHI,3.0,@PIT,6.5,WSH,3.0,CAR,-3.0,BYE,,TB,3.0,@DAL,6.5,NO,0.5,BAL,8.5,@ATL,6.5,IND,2.0,@PHI,7.5,0.032392489826452
0.61,40.2,0.1,SEA,W,@ATL,3.0,BUF,3.0,LAR,-3.0,BYE,,@SF,6.5,ARI,-3.5,@NYJ,3.5,@ARI,-1.0,GB,-1.5,MIN,-1.0,@CHI,0.5,@LAR,-0.5,0.11163032089892
0.57,38.5,0.1,HOU,L,@GB,3.0,IND,-6.0,@NYJ,-0.5,DET,-1.0,@DAL,-1.0,TEN,-7.0,@JAX,-3.0,BYE,,MIA,-5.0,@KC,4.0,BAL,0.5,@TEN,-4.0,0.3188884902591
0.52,32.0,0.0,CLE,L,CIN,5.0,BAL,9.0,LAC,3.5,BYE,,@NO,2.5,PIT,2.0,@DEN,1.5,@PIT,4.0,KC,7.5,@CIN,6.5,MIA,1.0,@BAL,9.5,0.0
0.51,33.8,0.0,TB,L,BAL,4.5,ATL,2.5,@KC,9.0,SF,4.0,BYE,,@NYG,-3.0,@CAR,-5.0,LV,-5.5,@LAC,3.0,@DAL,3.0,CAR,-8.0,NO,-3.5,0.30265528684729
0.47,19.6,0.0,TEN,L,@BUF,9.5,@DET,11.0,NE,-3.0,@LAC,4.0,MIN,3.0,@HOU,7.0,@WSH,2.5,JAX,0.5,CIN,3.5,@IND,3.0,@JAX,3.5,HOU,4.0,0.036011383145876
0.46,19.2,0.0,CAR,L,@WSH,10.5,@DEN,9.0,NO,3.5,NYG,3.0,BYE,,KC,16.0,TB,5.0,@PHI,11.0,DAL,7.0,ARI,3.5,@TB,8.0,@ATL,9.5,0.0
0.45,25.3,0.0,LV,L,@LAR,7.0,KC,10.0,@CIN,8.5,BYE,,@MIA,5.0,DEN,-0.5,@KC,13.5,@TB,5.5,ATL,3.5,JAX,3.0,@NO,3.5,LAC,3.5,0.0023341046876104
0.42,26.3,0.1,NE,L,JAX,7.0,NYJ,7.0,@TEN,3.0,@CHI,5.0,LAR,3.0,@MIA,6.0,IND,2.5,BYE,,@ARI,4.0,@BUF,10.0,LAC,3.5,BUF,7.0,0.0
,,0.0,DAL,,BYE,,@SF,4.5,@ATL,2.0,PHI,-1.0,HOU,1.0,@WSH,-2.5,NYG,-6.5,CIN,-0.5,@CAR,-7.0,TB,-3.0,@PHI,3.0,WSH,-4.0,0.28370301634531
,,0.0,CHI,,BYE,,@WSH,-2.5,@ARI,-1.5,NE,-5.0,GB,1.5,MIN,1.5,@DET,6.5,@SF,7.5,@MIN,3.5,DET,3.5,SEA,-0.5,@GB,3.5,0.094781199095144
