EV,W_pct,P_pct,Team,Team_Result,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.14,73.7,6.0,GB,W,NYG,-7.0,DAL,-4.0,CHI,-10.5,@ATL,-3.0,IND,-9.5,@TEN,-7.0,@WAS,-4.0,@PHI,-3.0,HOU,-6.5,SEA,-3.0,@CHI,-7.0,MIN,-3.0,@DET,-6.0,0.98125158073527
1.1,69.1,1.4,CAR,L,TB,-5.5,@NO,-3.5,BYE,,ARI,-3.0,@LAR,-1.5,KC,-3.0,NO,-7.5,@OAK,1.0,@SEA,4.0,SD,-7.0,@WAS,-2.5,ATL,-3.5,@TB,-3.5,0.53112242498555
1.07,78.1,24.4,PIT,W,NYJ,-10.0,@MIA,-7.5,NE,-3.0,BYE,,@BAL,-3.0,DAL,-4.5,@CLE,-11.5,@IND,-6.0,NYG,-7.0,@BUF,-3.5,@CIN,0.5,BAL,-7.0,CLE,-15.5,1.0
1.05,68.9,7.0,MIN,W,HOU,-6.0,BYE,,@PHI,-2.0,@CHI,-6.0,DET,-8.0,@WAS,-3.5,ARI,-3.5,@DET,-4.0,DAL,-3.5,@JAX,-6.0,IND,-8.0,@GB,3.0,CHI,-9.5,0.83557113626981
1.03,64.0,0.7,BAL,L,WAS,-3.5,@NYG,3.0,@NYJ,1.5,BYE,,PIT,3.0,CLE,-10.5,@DAL,3.5,CIN,1.0,MIA,-7.0,@NE,6.5,PHI,-3.0,@PIT,7.0,@CIN,4.0,0.28400390396818
1.03,64.0,0.9,ARI,W,@SF,-3.5,NYJ,-8.0,SEA,1.0,@CAR,3.0,BYE,,SF,-10.5,@MIN,3.5,@ATL,1.5,WAS,-5.0,@MIA,-4.0,NO,-7.5,@SEA,4.0,@LAR,-1.5,0.55470684891316
1.02,64.0,1.2,DEN,L,ATL,-3.5,@SD,-3.0,HOU,-6.5,SD,-9.5,@OAK,-2.5,@NO,-6.0,BYE,,KC,-3.5,@JAX,-6.0,@TEN,-6.5,NE,-2.5,@KC,0.5,OAK,-6.0,0.76733161158373
1.02,64.0,1.5,OAK,W,SD,-3.5,KC,0.0,@JAX,-3.0,@TB,-2.5,DEN,2.5,BYE,,HOU,-3.0,CAR,-1.0,BUF,-3.5,@KC,3.5,@SD,-2.5,IND,-5.5,@DEN,6.0,0.29875707671906
1.0,64.5,3.9,IND,W,CHI,-3.5,@HOU,3.0,@TEN,-0.5,KC,3.0,@GB,9.5,BYE,,TEN,-4.0,PIT,6.0,@NYJ,3.5,HOU,1.5,@MIN,8.0,@OAK,5.5,JAX,-3.5,0.12084546257643
1.0,63.3,2.2,PHI,L,@DET,-3.5,@WAS,-2.0,MIN,2.0,@DAL,3.5,@NYG,2.0,ATL,-2.5,@SEA,6.5,GB,3.0,@CIN,4.5,WAS,-3.5,@BAL,3.0,NYG,-3.0,DAL,-0.5,0.15723625357762
