EV,W_pct,P_pct,Team,Team_Result,1,1_spread,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
0.77,47.2,0.2,GB,W,@CHI,1.0,@ATL,-1.0,NO,-1.5,DET,2.5,@LV,2.0,BYE,,@DEN,3.5,MIN,0.5,LAR,-3.5,@PIT,3.5,LAC,3.0,@DET,5.0,KC,5.0,@NYG,2.5,TB,-4.0,@CAR,-1.5,@MIN,3.5,CHI,-3.0,0.16963693613042
0.76,46.1,0.2,PIT,L,SF,1.0,CLE,2.5,@LV,-1.5,@HOU,-4.5,BAL,1.0,BYE,,@LAR,-3.0,JAX,-1.5,TEN,-5.5,GB,-3.5,@CLE,2.5,@CIN,5.0,ARI,-7.0,NE,-3.0,@IND,-3.0,CIN,2.5,@SEA,2.5,@BAL,4.0,0.42543448837107
0.73,44.5,0.3,NYJ,W,BUF,2.5,@DAL,8.5,NE,-6.0,KC,1.5,@DEN,-2.0,PHI,0.5,BYE,,@NYG,-3.0,LAC,-3.0,@LV,-3.0,@BUF,4.0,MIA,-3.0,ATL,-6.5,HOU,-9.5,@MIA,1.5,WAS,-7.0,@CLE,-1.0,@NE,-2.0,0.54355629107878
0.69,41.8,0.1,TEN,L,@NO,3.0,LAC,3.0,@CLE,6.0,CIN,5.0,@IND,1.0,BAL,5.0,BYE,,ATL,-0.5,@PIT,5.5,@TB,-0.5,@JAX,6.0,CAR,-2.5,IND,-3.0,@MIA,7.5,HOU,-4.0,SEA,2.5,@HOU,-1.5,JAX,3.0,0.13625989493472
0.66,40.1,0.3,LV,W,@DEN,3.0,@BUF,9.0,PIT,1.5,@LAC,6.0,GB,-2.0,NE,-1.5,@CHI,1.5,@DET,6.0,NYG,-2.5,NYJ,3.0,@MIA,6.0,KC,4.5,BYE,,MIN,1.0,LAC,3.0,@KC,8.0,@IND,-2.5,DEN,-0.5,0.092272353053124
0.65,34.8,0.1,TB,W,@MIN,4.0,CHI,-3.0,PHI,7.0,@NO,6.0,BYE,,DET,4.0,ATL,1.5,@BUF,10.0,@HOU,-0.5,TEN,0.5,@SF,9.0,@IND,1.0,CAR,-2.0,@ATL,3.5,@GB,4.0,JAX,3.5,NO,2.5,@CAR,2.5,0.05949716498834
0.65,40.0,0.1,MIA,W,@LAC,3.0,@NE,-2.0,DEN,-4.0,@BUF,4.0,NYG,-6.0,CAR,-8.0,@PHI,4.0,NE,-5.0,@KC,4.5,BYE,,LV,-6.0,@NYJ,3.0,@WAS,-4.0,TEN,-7.5,NYJ,-1.5,DAL,-1.5,@BAL,2.5,BUF,-1.5,0.63106840530583
0.65,36.8,0.0,IND,L,JAX,3.5,@HOU,-2.5,@BAL,9.0,LAR,0.5,TEN,-1.0,@JAX,7.0,CLE,3.5,NO,3.0,@CAR,3.0,@NE,5.0,BYE,,TB,-1.0,@TEN,3.0,@CIN,9.5,PIT,3.0,@ATL,4.0,LV,2.5,HOU,-3.0,0.058531279071138
0.65,39.6,0.1,NYG,L,DAL,3.0,@ARI,-5.5,@SF,7.0,SEA,-0.5,@MIA,6.0,@BUF,7.5,WAS,-3.0,NYJ,3.0,@LV,2.5,@DAL,6.5,@WAS,-1.5,NE,-2.0,BYE,,GB,-2.5,@NO,3.0,@PHI,8.0,LAR,-3.5,PHI,3.5,0.21661137045722
0.65,27.5,0.1,ARI,L,@WAS,7.0,NYG,5.5,DAL,7.5,@SF,11.0,CIN,7.5,@LAR,4.0,@SEA,8.0,BAL,7.0,@CLE,8.0,ATL,3.0,@HOU,2.0,LAR,1.5,@PIT,7.0,BYE,,SF,7.5,@CHI,5.0,@PHI,11.5,SEA,5.0,0.0
0.63,37.2,0.0,NE,L,PHI,3.5,MIA,2.0,@NYJ,6.0,@DAL,6.0,NO,-2.0,@LV,1.5,BUF,4.0,@MIA,5.0,WAS,-4.0,IND,-5.0,BYE,,@NYG,2.0,LAC,2.5,@PIT,3.0,KC,5.0,@DEN,2.5,@BUF,7.0,NYJ,2.0,0.14925098487631
0.63,37.5,0.1,CAR,L,@ATL,3.5,NO,3.0,@SEA,6.0,MIN,3.0,@DET,6.5,@MIA,8.0,BYE,,HOU,-3.5,IND,-3.0,@CHI,3.0,DAL,4.5,@TEN,2.5,@TB,2.0,@NO,4.5,ATL,0.5,GB,1.5,@JAX,6.5,TB,-2.5,0.10624810950977
0.62,35.4,0.2,DET,W,@KC,4.0,SEA,-6.0,ATL,-6.0,@GB,-2.5,CAR,-6.5,@TB,-4.0,@BAL,3.0,LV,-6.0,BYE,,@LAC,3.0,CHI,-6.5,GB,-5.0,@NO,0.5,@CHI,-3.0,DEN,-3.5,@MIN,0.5,@DAL,3.5,MIN,-3.0,0.67577052446462
0.61,34.7,0.1,LAR,W,@SEA,4.0,SF,8.5,@CIN,9.0,@IND,-0.5,PHI,7.0,ARI,-4.0,PIT,3.0,@DAL,8.0,@GB,3.5,BYE,,SEA,3.0,@ARI,-1.5,CLE,3.0,@BAL,8.0,WAS,-1.5,NO,2.0,@NYG,3.5,@SF,8.0,0.094915210014476
0.58,20.9,0.1,HOU,L,@BAL,10.0,IND,2.5,@JAX,8.0,PIT,4.5,@ATL,5.5,NO,3.5,BYE,,@CAR,3.5,TB,0.5,@CIN,10.5,ARI,-2.0,JAX,6.0,DEN,4.0,@NYJ,9.5,@TEN,4.0,CLE,5.5,TEN,1.5,@IND,3.0,0.021250055628584
