EV,W_pct,P_pct,Team,Team_Result,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.38,89.3,5.6,LAC,W,CIN,-17.0,@KC,3.0,BAL,-3.0,@DEN,-1.0,0.082870603253341
1.2,78.7,6.5,NO,W,@TB,-10.0,@CAR,-6.5,PIT,-5.0,CAR,-8.0,0.6125648928274
1.18,77.1,5.5,NE,L,@MIA,-9.5,@PIT,-3.0,BUF,-15.0,NYJ,-14.5,0.82254838937832
1.1,79.7,26.1,PIT,L,@OAK,-10.5,NE,3.0,@NO,5.0,CIN,-10.5,0.31089899535418
1.09,70.6,2.3,KC,W,BAL,-6.5,LAC,-3.0,@SEA,-2.0,OAK,-14.0,0.54927596359617
1.05,69.2,5.7,TEN,W,JAX,-5.5,@NYG,2.5,WAS,-5.0,IND,-2.0,0.20592996855279
1.01,66.1,3.8,BUF,L,NYJ,-4.5,DET,-2.5,@NE,15.0,MIA,-2.0,0.10914274250981
0.99,63.6,0.5,GB,W,ATL,-3.5,@CHI,5.5,@NYJ,-4.0,DET,-6.0,0.32573142402529
0.97,65.5,7.9,HOU,L,IND,-4.0,@NYJ,-6.5,@PHI,1.5,JAX,-7.0,0.40486157341045
0.96,62.3,1.8,DAL,W,PHI,-3.5,@IND,3.0,TB,-6.0,@NYG,-1.5,0.22620970128477
0.93,60.0,2.4,NYG,W,@WAS,-3.0,TEN,-2.5,@IND,4.0,DAL,1.5,0.075591519913098
0.93,59.7,0.8,SEA,W,MIN,-3.0,@SF,-6.0,KC,2.0,ARI,-9.5,0.45117799585387
0.91,58.4,0.9,LAR,L,@CHI,-3.0,PHI,-9.0,@ARI,-13.5,SF,-15.0,1.0
0.87,56.1,1.4,DET,W,@ARI,-2.5,@BUF,2.5,MIN,3.5,@GB,6.0,0.0
0.8,50.2,0.1,CLE,W,CAR,1.0,@DEN,3.0,CIN,-4.0,@BAL,6.5,0.14776792614255
0.79,59.8,22.5,DEN,L,@SF,-3.0,CLE,-3.0,@OAK,-3.5,LAC,1.0,0.21080711035213
0.77,40.2,0.4,SF,W,DEN,3.0,SEA,6.0,CHI,6.5,@LAR,15.0,0.0
0.76,49.8,2.4,CAR,L,@CLE,-1.0,NO,6.5,ATL,-4.0,@NO,8.0,0.13978427836808
0.69,43.9,0.3,ARI,L,DET,2.5,@ATL,8.5,LAR,13.5,@SEA,9.5,0.0
0.65,41.6,0.0,CHI,W,LAR,3.0,GB,-5.5,@SF,-6.5,@MIN,2.0,0.36784835388173
0.63,40.3,0.1,MIN,L,@SEA,3.0,MIA,-7.0,@DET,-3.5,CHI,-2.0,0.38175089959504
0.63,40.0,1.7,WAS,L,NYG,3.0,@JAX,7.5,@TEN,5.0,PHI,3.5,0.0
0.6,37.7,0.3,PHI,L,@DAL,3.5,@LAR,9.0,HOU,-1.5,@WAS,-3.5,0.13731541748015
0.59,34.5,0.0,IND,W,@HOU,4.0,DAL,-3.0,NYG,-4.0,@TEN,2.0,0.22086278404327
0.57,36.4,0.0,ATL,L,@GB,3.5,ARI,-8.5,@CAR,4.0,@TB,0.5,0.28093634850386
0.55,33.9,0.5,NYJ,W,@BUF,4.5,HOU,6.5,GB,4.0,@NE,14.5,0.0
0.51,30.8,0.3,JAX,L,@TEN,5.5,WAS,-7.5,@MIA,0.5,@HOU,7.0,0.22741021490925
0.47,29.4,0.0,BAL,L,@KC,6.5,TB,-8.0,@LAC,3.0,CLE,-6.5,0.45182359275361
0.46,20.3,0.0,OAK,W,PIT,10.5,@CIN,3.0,DEN,3.5,@KC,14.0,0.0
0.38,22.9,0.0,MIA,W,NE,9.5,@MIN,7.0,JAX,-0.5,@BUF,2.0,0.0035471292285311
0.36,21.3,0.0,TB,L,NO,10.0,@BAL,8.0,@DAL,6.0,ATL,-0.5,0.010139124674358
0.18,10.7,0.0,CIN,L,@LAC,17.0,OAK,-3.0,@CLE,4.0,@PIT,10.5,0.089364196338826
