EV,W_pct,P_pct,Team,Team_Result,17,17_spread,18,18_spread,Future_Val
1.18,81.5,10.7,TB,W,CAR,-10.0,NO,-13.5,0.8818922435873
1.17,80.7,9.6,BUF,W,NYJ,-10.0,@NE,-3.0,0.18511204408335
1.14,75.9,0.9,PHI,W,DAL,-7.5,NYG,-3.0,0.27811047741687
1.1,73.5,0.9,BAL,W,@HOU,-6.5,CLE,-17.5,1.0
1.04,71.6,6.4,LAC,W,@NE,-6.0,@LV,-5.5,0.44529075973063
1.0,66.6,1.1,DET,W,@SF,-3.5,MIN,-3.0,0.19217362245583
1.0,73.1,17.8,LAR,W,ARI,-6.5,SEA,5.0,0.0
0.96,66.4,6.7,SEA,W,@CHI,-4.0,@LAR,-5.0,0.41512423231971
0.95,63.9,1.3,WSH,W,ATL,-3.5,@DAL,-4.5,0.40775957044386
0.94,76.5,37.7,IND,L,@NYG,-7.5,JAX,-5.0,0.39838912263203
0.92,61.5,0.8,CIN,W,DEN,-3.0,@PIT,-1.5,0.068415961879521
0.91,61.5,2.4,MIA,W,@CLE,-3.0,@NYJ,-1.0,0.068394719337403
0.82,54.5,0.4,KC,W,@PIT,-2.0,@DEN,9.5,0.0
0.8,53.2,1.1,LV,W,@NO,-1.5,LAC,5.5,0.0
0.76,50.3,0.2,GB,L,@MIN,0.5,CHI,-9.5,0.64641512671022
0.76,50.2,0.5,TEN,L,@JAX,-0.5,HOU,-1.0,0.0026046272028674
0.75,49.8,0.6,JAX,W,TEN,0.5,@IND,5.0,0.0
0.75,49.7,0.2,MIN,W,GB,-0.5,@DET,3.0,0.0
0.71,46.8,0.4,NO,L,LV,1.5,@TB,13.5,0.0
0.69,45.5,0.1,PIT,L,KC,2.0,CIN,1.5,0.0
0.59,38.5,0.1,CLE,L,MIA,3.0,@BAL,17.5,0.0
0.58,38.5,0.1,DEN,L,@CIN,3.0,KC,-9.5,0.7243081550011
0.56,23.5,0.1,NYG,W,IND,7.5,@PHI,3.0,0.0
0.55,36.1,0.1,ATL,L,@WSH,3.5,CAR,-8.5,0.67686832921138
0.55,33.6,0.1,CHI,L,SEA,4.0,@GB,9.5,0.0
0.51,26.9,0.0,ARI,L,@LAR,6.5,SF,-4.0,0.3337653870294
0.51,33.4,0.1,SF,L,DET,3.5,@ARI,4.0,0.0
0.46,28.4,0.1,NE,L,LAC,6.0,BUF,3.0,0.0
0.4,26.5,0.0,HOU,L,BAL,6.5,@TEN,1.0,0.0
0.37,24.1,0.0,DAL,L,@PHI,7.5,WSH,4.5,0.0
0.34,19.3,0.0,NYJ,L,@BUF,10.0,MIA,1.0,0.0
0.33,18.5,0.1,CAR,L,@TB,10.0,@ATL,8.5,0.0
