EV,W_pct,P_pct,Team,Team_Result,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.22,75.2,2.4,KC,W,@LV,-7.5,@TB,-3.0,DEN,-15.0,@MIA,-6.0,@NO,-2.0,ATL,-10.0,LAC,-10.5,0.9717723266862
1.19,79.4,13.5,PIT,W,@JAX,-10.5,BAL,-4.0,WAS,-11.5,@BUF,0.5,@CIN,-6.5,IND,-3.0,@CLE,-3.0,0.60571597789881
1.13,69.1,0.9,BAL,L,TEN,-6.0,@PIT,4.0,DAL,-13.5,@CLE,-3.0,JAX,-15.0,NYG,-13.5,@CIN,-7.5,1.0
1.06,64.7,0.6,TB,L,LAR,-4.0,KC,3.0,BYE,,MIN,-6.5,@ATL,-3.5,@DET,-4.0,ATL,-7.0,0.47865588580391
1.03,64.4,3.2,MIA,L,@DEN,-3.5,@NYJ,-7.0,CIN,-5.0,KC,6.0,NE,-3.0,@LV,3.0,@BUF,4.0,0.32284740058151
1.03,63.4,1.7,NO,W,ATL,-3.5,@DEN,-5.5,@ATL,-3.0,@PHI,-3.0,KC,2.0,MIN,-5.0,@CAR,-4.0,0.48284330199381
0.98,60.3,1.0,SEA,W,ARI,-3.0,@PHI,-5.0,NYG,-9.5,NYJ,-14.5,@WAS,-6.5,LAR,-3.0,@SF,-3.0,0.84742456951169
0.96,78.0,42.7,LAC,W,NYJ,-10.0,@BUF,5.5,NE,-1.5,ATL,-2.0,@LV,3.5,DEN,-4.5,@KC,10.5,0.16321393667165
0.96,73.2,28.6,MIN,L,DAL,-7.0,CAR,-4.5,JAX,-9.5,@TB,6.5,CHI,-5.0,@NO,5.0,@DET,-1.5,0.44969638222411
0.96,58.7,0.5,DET,L,@CAR,-3.0,HOU,2.5,@CHI,2.0,GB,4.5,@TEN,6.0,TB,4.0,MIN,1.5,0.0
0.94,57.4,0.9,NE,L,@HOU,-2.5,ARI,2.5,@LAC,1.5,@LAR,5.0,@MIA,3.0,BUF,1.0,NYJ,-10.0,0.21223930015509
0.91,56.7,2.2,CLE,W,PHI,-2.5,@JAX,-7.0,@TEN,3.5,BAL,3.0,@NYG,-3.5,@NYJ,-6.5,PIT,3.0,0.36608174960453
0.88,53.5,0.4,WAS,W,CIN,-2.0,@DAL,3.0,@PIT,11.5,@SF,6.0,SEA,6.5,CAR,-1.0,@PHI,6.5,0.0088205048918815
0.87,52.5,0.1,IND,W,GB,-1.0,TEN,-3.5,@HOU,-3.0,@LV,-1.5,HOU,-6.5,@PIT,3.0,JAX,-12.0,0.57293248739435
0.78,47.5,0.3,GB,L,@IND,1.0,CHI,-7.5,PHI,-7.5,@DET,-4.5,CAR,-9.5,TEN,-5.0,@CHI,-6.0,0.91038334184111
0.77,46.5,0.4,CIN,L,@WAS,2.0,NYG,4.5,@MIA,5.0,DAL,-3.0,PIT,6.5,@HOU,4.0,BAL,7.5,0.056279008488136
0.74,43.3,0.1,PHI,L,@CLE,2.5,SEA,5.0,@GB,7.5,NO,3.0,@ARI,4.0,@DAL,-2.5,WAS,-6.5,0.18429533474715
0.71,42.6,0.1,HOU,W,NE,2.5,@DET,-2.5,IND,3.0,@CHI,1.5,@IND,6.5,CIN,-4.0,TEN,1.5,0.16192431552119
0.68,41.3,0.3,CAR,W,DET,3.0,@MIN,4.5,BYE,,DEN,-3.5,@GB,9.5,@WAS,1.0,NO,4.0,0.085563853326109
0.68,26.8,0.1,DAL,W,@MIN,7.0,WAS,-3.0,@BAL,13.5,@CIN,3.0,SF,1.5,PHI,2.5,@NYG,2.5,0.055381059253942
0.68,22.0,0.0,NYJ,L,@LAC,10.0,MIA,7.0,LV,6.5,@SEA,14.5,@LAR,14.0,CLE,6.5,@NE,10.0,0.0
0.66,39.7,0.0,ARI,L,@SEA,3.0,@NE,-2.5,LAR,-1.5,@NYG,-4.0,PHI,-4.0,SF,-4.0,@LAR,3.5,0.37558659809339
0.62,36.6,0.1,ATL,L,@NO,3.5,LV,3.0,NO,3.0,@LAC,2.0,TB,3.5,@KC,10.0,@TB,7.0,0.0
0.62,35.6,0.0,DEN,W,MIA,3.5,NO,5.5,@KC,15.0,@CAR,3.5,BUF,5.0,@LAC,4.5,LV,3.0,0.0
0.59,35.3,0.0,LAR,W,@TB,4.0,SF,-7.5,@ARI,1.5,NE,-5.0,NYJ,-14.0,@SEA,3.0,ARI,-3.5,0.62785621762902
0.52,30.9,0.0,TEN,W,@BAL,6.0,@IND,3.5,CLE,-3.5,@JAX,-6.5,DET,-6.0,@GB,5.0,@HOU,-1.5,0.36810880223349
0.46,20.6,0.0,JAX,L,PIT,10.5,CLE,7.0,@MIN,9.5,TEN,6.5,@BAL,15.0,CHI,2.0,@IND,12.0,0.0
0.43,24.8,0.0,LV,L,KC,7.5,@ATL,-3.0,@NYJ,-6.5,IND,1.5,LAC,-3.5,MIA,-3.0,@DEN,-3.0,0.40448846250886
,,,BUF,,BYE,,LAC,-5.5,@SF,-2.0,PIT,-0.5,@DEN,-5.0,@NE,-1.0,MIA,-4.0,0.41271722839404
,,,CHI,,BYE,,@GB,7.5,DET,-2.0,HOU,-1.5,@MIN,5.0,@JAX,-2.0,GB,6.0,0.094027588063312
,,,NYG,,BYE,,@CIN,-4.5,@SEA,9.5,ARI,4.0,CLE,3.5,@BAL,13.5,DAL,-2.5,0.17281324498053
,,,SF,,BYE,,@LAR,7.5,BUF,2.0,WAS,-6.0,@DAL,-1.5,@ARI,4.0,SEA,3.0,0.14592538159302
