EV,W_pct,P_pct,Team,Team_Result,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.25,79.9,8.9,PIT,W,IND,-10.0,@CIN,3.0,DEN,-1.5,@BAL,-3.5,@CLE,-4.0,0.32290209455238
1.18,75.4,8.1,CIN,W,@CLE,-7.5,PIT,-3.0,@SF,-10.0,@DEN,0.5,BAL,-10.0,0.82960198256223
1.17,76.3,11.1,NE,L,PHI,-7.5,@HOU,-3.0,TEN,-14.5,@NYJ,-3.0,@MIA,-7.0,0.96172216210625
1.08,67.6,3.5,CAR,W,@NO,-5.5,ATL,-7.5,@NYG,-3.5,@ATL,-3.0,TB,-8.0,0.79203762273534
1.06,67.5,5.2,DEN,W,@SD,-5.5,OAK,-7.5,@PIT,1.5,CIN,-0.5,SD,-9.0,0.59582603435831
1.01,62.7,1.4,ARI,W,@STL,-3.5,MIN,-7.5,@PHI,-4.0,GB,-3.5,SEA,-3.5,0.69237083962166
1.0,62.3,1.9,MIA,W,BAL,-3.5,NYG,1.5,@SD,1.5,IND,-1.0,NE,7.0,0.016261347510969
0.96,71.4,31.3,CHI,L,SF,-6.5,WAS,-3.5,@MIN,6.0,@TB,2.5,DET,-2.0,0.18332677906328
0.94,58.6,2.4,TEN,W,JAX,-3.0,@NYJ,7.5,@NE,14.5,HOU,2.0,@IND,5.5,0.0
0.92,58.8,5.2,BUF,W,HOU,-3.0,@PHI,-1.5,@WAS,-1.0,DAL,-4.0,NYJ,-1.0,0.2492170961224
0.92,56.8,1.3,SEA,W,@MIN,-2.5,@BAL,-9.0,CLE,-10.0,STL,-7.5,@ARI,3.5,0.8762545293185
0.91,57.4,3.5,KC,W,@OAK,-3.0,SD,-10.0,@BAL,-3.5,CLE,-8.0,OAK,-5.5,1.0
0.91,55.2,0.7,NYJ,W,@NYG,-2.5,TEN,-7.5,@DAL,-3.0,NE,3.0,@BUF,1.0,0.34625159957581
0.87,53.8,1.1,GB,W,@DET,-2.5,DAL,-7.5,@OAK,-3.5,@ARI,3.5,MIN,-4.0,0.56584997510061
0.85,53.3,4.7,WAS,L,DAL,-2.0,@CHI,3.5,BUF,1.0,@PHI,4.0,@DAL,3.0,0.0
0.81,50.5,1.1,ATL,L,@TB,-1.0,@CAR,7.5,@JAX,-1.5,CAR,3.0,NO,-4.0,0.18780307988604
0.81,49.5,0.6,TB,W,ATL,1.0,NO,-3.5,@STL,3.0,CHI,-2.5,@CAR,8.0,0.22808821977939
0.78,46.7,2.2,DAL,W,@WAS,2.0,@GB,7.5,NYJ,3.0,@BUF,4.0,WAS,-3.0,0.10108080339776
0.76,46.2,0.2,DET,L,GB,2.5,@STL,1.0,@NO,1.5,SF,-7.0,@CHI,2.0,0.25304372767399
0.72,44.8,2.0,NYG,L,NYJ,2.5,@MIA,-1.5,CAR,3.5,@MIN,4.0,PHI,-1.5,0.092280601890258
0.71,42.6,0.5,OAK,L,KC,3.0,@DEN,7.5,GB,3.5,SD,-4.0,@KC,5.5,0.17335615413509
0.71,43.2,0.4,MIN,L,SEA,2.5,@ARI,7.5,CHI,-6.0,NYG,-4.0,@GB,4.0,0.38835176975307
0.7,41.2,0.4,HOU,L,@BUF,3.0,NE,3.0,@IND,3.0,@TEN,-2.0,JAX,-4.5,0.23921286103362
0.69,41.4,0.4,JAX,L,@TEN,3.0,IND,0.0,ATL,1.5,@NO,3.0,@HOU,4.5,0.027815468100223
0.67,28.6,0.5,SF,W,@CHI,6.5,@CLE,1.5,CIN,10.0,@DET,7.0,STL,2.5,0.0
0.62,37.7,0.3,BAL,L,@MIA,3.5,SEA,9.0,KC,3.5,PIT,3.5,@CIN,10.0,0.0
0.61,37.3,0.1,STL,L,ARI,3.5,DET,-1.0,TB,-3.0,@SEA,7.5,@SF,-2.5,0.20162562688718
0.56,32.5,0.1,SD,L,DEN,5.5,@KC,10.0,MIA,-1.5,@OAK,4.0,@DEN,9.0,0.041503113553234
0.54,32.4,0.8,NO,L,CAR,5.5,@TB,3.5,DET,-1.5,JAX,-3.0,@ATL,4.0,0.14939308666543
0.45,23.7,0.0,PHI,W,@NE,7.5,BUF,1.5,ARI,4.0,WAS,-4.0,@NYG,1.5,0.16381844276626
0.45,24.6,0.1,CLE,L,CIN,7.5,SF,-1.5,@SEA,10.0,@KC,8.0,PIT,4.0,0.056842302200434
0.37,20.1,0.1,IND,L,@PIT,10.0,@JAX,0.0,HOU,-3.0,@MIA,1.0,TEN,-5.5,0.28837414037678
