EV,W_pct,P_pct,Team,Team_Result,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.16,82.2,9.6,TB,W,NYG,-11.5,@IND,-2.5,@ATL,-9.5,BUF,-3.0,NO,-7.0,@CAR,-4.0,@NYJ,-15.0,CAR,-8.0,1.0
1.1,83.6,26.4,CLE,W,DET,-13.5,@BAL,3.5,BYE,,BAL,-1.5,LV,-5.0,@GB,4.0,@PIT,1.0,CIN,-3.5,0.23085814156532
1.06,74.5,5.6,NE,W,@ATL,-7.0,TEN,-6.0,@BUF,5.0,BYE,,@IND,1.0,BUF,1.5,JAX,-11.0,@MIA,-3.5,0.43693370073678
1.05,72.1,0.7,BUF,L,IND,-7.0,@NO,-5.5,NE,-5.0,@TB,3.0,CAR,-8.0,@NE,-1.5,ATL,-13.5,NYJ,-17.0,0.97485414656124
1.02,70.2,1.6,LAC,W,PIT,-6.5,@DEN,-2.5,@CIN,0.5,NYG,-7.5,KC,1.5,@HOU,-9.5,DEN,-4.5,@LV,-1.5,0.55793911536216
1.01,71.8,6.4,SF,W,@JAX,-6.5,MIN,-3.0,@SEA,1.5,@CIN,1.0,ATL,-8.0,@TEN,3.0,HOU,-14.0,@LAR,4.5,0.50850820745304
0.98,66.8,0.2,SEA,L,ARI,-4.5,@WAS,1.0,SF,-1.5,@HOU,-7.0,@LAR,6.5,CHI,-6.5,DET,-9.5,@ARI,4.5,0.51760114055241
0.93,78.8,41.9,TEN,L,HOU,-10.5,@NE,6.0,BYE,,JAX,-10.5,@PIT,-0.5,SF,-3.0,MIA,-7.0,@HOU,-9.0,0.63244255696943
0.92,63.1,1.6,MIA,W,@NYJ,-3.5,CAR,1.0,NYG,-3.0,BYE,,NYJ,-7.0,@NO,6.0,@TEN,7.0,NE,3.5,0.22802939245508
0.91,62.2,1.2,CAR,L,WAS,-3.0,@MIA,-1.0,BYE,,ATL,-6.5,@BUF,8.0,TB,4.0,@NO,3.5,@TB,8.0,0.169699700393
0.87,59.0,0.3,PHI,W,NO,-3.0,@NYG,-3.5,@NYJ,-6.0,BYE,,WAS,-4.0,NYG,-5.0,@WAS,1.5,DAL,3.0,0.42197066686838
0.82,56.2,0.2,KC,W,DAL,-2.5,BYE,,DEN,-8.0,LV,-9.5,@LAC,-1.5,PIT,-7.5,@CIN,-3.5,@DEN,-3.5,0.72034736068372
0.81,55.0,0.2,CIN,W,@LV,-1.0,PIT,-3.5,LAC,-0.5,SF,-1.0,@DEN,2.5,BAL,1.5,KC,3.5,@CLE,3.5,0.11955762810644
0.78,53.3,0.5,GB,L,@MIN,-1.0,LAR,-1.0,BYE,,CHI,-9.5,@BAL,2.0,CLE,-4.0,MIN,-4.5,@DET,-9.5,0.60357057506665
0.76,52.8,2.0,BAL,W,@CHI,-1.0,CLE,-3.5,@PIT,-1.5,@CLE,1.5,GB,-2.0,@CIN,-1.5,LAR,-2.0,PIT,-5.5,0.32964523735884
0.71,47.2,0.1,CHI,L,BAL,1.0,@DET,-3.5,ARI,4.0,@GB,9.5,MIN,3.0,@SEA,6.5,NYG,-3.0,@MIN,6.5,0.1189756051025
0.69,46.7,0.0,MIN,W,GB,1.0,@SF,3.0,@DET,-6.5,PIT,-3.5,@CHI,-3.0,LAR,1.5,@GB,4.5,CHI,-6.5,0.41137893575566
0.66,45.0,0.4,LV,L,CIN,1.0,@DAL,7.5,WAS,-3.0,@KC,9.5,@CLE,5.0,DEN,-2.5,@IND,4.0,LAC,1.5,0.10030364897674
0.64,43.8,0.0,DAL,L,@KC,2.5,LV,-7.5,@NO,-1.5,@WAS,-3.5,@NYG,-5.0,WAS,-7.5,ARI,-3.5,@PHI,-3.0,0.67854778235135
0.6,41.0,0.2,NO,L,@PHI,3.0,BUF,5.5,DAL,1.5,@NYJ,-6.5,@TB,7.0,MIA,-6.0,CAR,-3.5,@ATL,-3.0,0.41049414820952
0.56,37.8,0.1,WAS,W,@CAR,3.0,SEA,-1.0,@LV,3.0,DAL,3.5,@PHI,4.0,@DAL,7.5,PHI,-1.5,@NYG,1.0,0.025337413513677
0.55,36.9,0.1,NYJ,L,MIA,3.5,@HOU,3.0,PHI,6.0,NO,6.5,@MIA,7.0,JAX,-2.0,TB,15.0,@BUF,17.0,0.033734636684107
0.54,21.2,0.0,HOU,W,@TEN,10.5,NYJ,-3.0,IND,7.0,SEA,7.0,@JAX,4.0,LAC,9.5,@SF,14.0,TEN,9.0,0.047812174554505
0.49,33.2,0.2,ARI,W,@SEA,4.5,BYE,,@CHI,-4.0,LAR,-1.5,@DET,-8.0,IND,-4.0,@DAL,3.5,SEA,-4.5,0.52417828673931
0.45,28.2,0.0,JAX,L,SF,6.5,ATL,1.0,@LAR,15.0,@TEN,10.5,HOU,-4.0,@NYJ,2.0,@NE,11.0,IND,5.5,0.091411427836395
0.45,29.8,0.0,PIT,L,@LAC,6.5,@CIN,3.5,BAL,1.5,@MIN,3.5,TEN,0.5,@KC,7.5,CLE,-1.0,@BAL,5.5,0.010564411564183
0.41,27.9,0.0,IND,W,@BUF,7.0,TB,2.5,@HOU,-7.0,BYE,,NE,-1.0,@ARI,4.0,LV,-4.0,@JAX,-5.5,0.38720844078334
0.41,25.5,0.1,ATL,L,NE,7.0,@JAX,-1.0,TB,9.5,@CAR,6.5,@SF,8.0,DET,-5.0,@BUF,13.5,NO,3.0,0.13430494176788
0.37,16.4,0.1,DET,L,@CLE,13.5,CHI,3.5,MIN,6.5,@DEN,9.5,ARI,8.0,@ATL,5.0,@SEA,9.5,GB,9.5,0.0
0.31,17.8,0.1,NYG,L,@TB,11.5,PHI,3.5,@MIA,3.0,@LAC,7.5,DAL,5.0,@PHI,5.0,@CHI,3.0,WAS,-1.0,0.012323269920091
,,0.0,DEN,,BYE,,LAC,2.5,@KC,8.0,DET,-9.5,CIN,-2.5,@LV,2.5,@LAC,4.5,KC,3.5,0.2327542603634
