EV,W_pct,P_pct,Team,Team_Result,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.27,79.2,7.4,BAL,W,@PHI,-10.5,BYE,,PIT,-4.0,@IND,-3.0,@NE,-3.0,TEN,-7.0,@PIT,-1.0,DAL,-9.5,@CLE,-3.5,JAX,-15.0,NYG,-15.0,@CIN,-9.5,0.69480733903145
1.18,74.6,7.8,IND,W,CIN,-7.5,BYE,,@DET,-3.0,BAL,3.0,@TEN,2.5,GB,1.5,TEN,-3.0,@HOU,-0.5,@LV,0.5,HOU,-4.0,@PIT,4.0,JAX,-10.0,0.20862459701548
1.13,67.8,1.0,KC,W,@BUF,-5.5,@DEN,-10.0,NYJ,-18.5,CAR,-13.0,BYE,,@LV,-7.0,@TB,-3.5,DEN,-16.0,@MIA,-10.0,@NO,-3.5,ATL,-14.0,LAC,-10.5,1.0
1.05,74.9,23.5,NE,L,DEN,-7.5,SF,-2.5,@BUF,3.5,@NYJ,-9.0,BAL,3.0,@HOU,-0.5,ARI,-3.0,@LAC,-0.5,@LAR,3.5,@MIA,-3.5,BUF,-1.5,NYJ,-13.5,0.30590141137522
1.03,62.9,2.3,MIN,L,ATL,-3.5,BYE,,@GB,7.5,DET,-3.5,@CHI,2.5,DAL,-2.0,CAR,-3.0,JAX,-7.0,@TB,6.5,CHI,-3.0,@NO,6.0,@DET,0.5,0.19894547019514
1.02,63.6,4.4,TEN,W,HOU,-3.5,PIT,1.5,@CIN,-3.5,CHI,-4.0,IND,-2.5,@BAL,7.0,@IND,3.0,CLE,-3.0,@JAX,-5.5,DET,-6.5,@GB,6.5,@HOU,1.0,0.2617433736729
0.99,59.7,0.9,DET,W,@JAX,-3.0,@ATL,2.0,IND,3.0,@MIN,3.5,WAS,-6.0,@CAR,3.0,HOU,0.5,@CHI,3.0,GB,5.0,@TEN,6.5,TB,3.5,MIN,-0.5,0.065839074847578
0.99,59.6,0.8,GB,L,@TB,-2.5,@HOU,-3.5,MIN,-7.5,@SF,-3.5,JAX,-13.5,@IND,-1.5,CHI,-8.0,PHI,-9.5,@DET,-5.0,CAR,-8.0,TEN,-6.5,@CHI,-4.0,0.74421392552711
0.98,59.2,1.3,PIT,W,CLE,-3.0,@TEN,-1.5,@BAL,4.0,@DAL,-3.0,CIN,-10.0,@JAX,-7.5,BAL,1.0,WAS,-11.5,@BUF,3.0,@CIN,-6.5,IND,-4.0,@CLE,0.5,0.44971884453532
0.91,75.8,47.2,MIA,W,NYJ,-8.5,BYE,,LAR,5.0,@ARI,7.0,LAC,1.5,@DEN,1.0,@NYJ,-3.5,CIN,-3.5,KC,10.0,NE,3.5,@LV,4.5,@BUF,9.0,0.078294820607116
0.91,54.2,0.2,CAR,L,CHI,-2.0,@NO,7.5,ATL,-3.5,@KC,13.0,TB,3.0,DET,-3.0,@MIN,3.0,BYE,,DEN,-5.5,@GB,8.0,@WAS,-3.0,NO,3.0,0.1601335014856
0.89,54.0,0.9,LAR,L,@SF,-2.5,CHI,-5.5,@MIA,-5.0,BYE,,SEA,-3.0,@TB,2.0,SF,-6.0,@ARI,-0.5,NE,-3.5,NYJ,-15.0,@SEA,3.0,ARI,-4.0,0.43079372946114
