EV,W_pct,P_pct,Team,Team_Result,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.06,83.6,4.9,NO,W,ARI,-12.5,BYE,,ATL,-7.0,@TB,-3.0,CAR,-4.0,@ATL,-3.5,SF,-2.0,IND,-4.0,@TEN,-1.5,@CAR,0.5,0.39986484499219
1.01,84.5,23.3,PIT,W,MIA,-14.0,IND,-1.5,LAR,3.5,@CLE,3.5,@CIN,-3.0,CLE,-1.5,@ARI,-1.5,BUF,-1.5,@NYJ,-1.5,@BAL,5.0,0.12350070720899
1.01,83.2,18.5,LAR,W,CIN,-12.0,BYE,,@PIT,-3.5,CHI,-3.5,BAL,-3.5,@ARI,-7.0,SEA,-3.5,@DAL,2.5,@SF,2.0,ARI,-11.0,0.50982124438254
1.0,88.4,44.8,MIN,W,WAS,-17.0,@KC,-3.5,@DAL,2.0,DEN,-9.5,BYE,,@SEA,1.5,DET,-7.0,@LAC,-3.0,GB,-3.0,CHI,-3.5,0.45971443601846
0.99,77.4,1.9,NE,W,CLE,-10.0,@BAL,-3.5,BYE,,@PHI,-3.5,DAL,-6.0,@HOU,-4.0,KC,-8.0,@CIN,-13.0,BUF,-9.5,MIA,-18.5,1.0
0.95,74.2,1.6,SEA,W,@ATL,-7.5,TB,-6.5,@SF,3.0,BYE,,@PHI,2.0,MIN,-1.5,@LAR,3.5,@CAR,-0.5,ARI,-9.5,SF,-2.5,0.29801329941252
0.94,73.1,0.9,JAX,W,NYJ,-7.0,HOU,1.5,BYE,,@IND,3.0,@TEN,3.0,TB,-3.0,LAC,-2.0,@OAK,1.5,@ATL,-1.0,IND,-2.0,0.10242658018451
0.91,71.1,1.3,DET,W,NYG,-6.5,@OAK,2.0,@CHI,4.0,DAL,3.0,@WAS,-4.0,CHI,1.0,@MIN,7.0,TB,-3.0,@DEN,1.0,GB,3.0,0.1183593442569
0.9,70.2,1.3,IND,W,DEN,-6.0,@PIT,1.5,MIA,-14.0,JAX,-3.0,@HOU,3.5,TEN,-3.0,@TB,0.5,@NO,4.0,CAR,-2.5,@JAX,2.0,0.31479707476009
0.88,68.5,0.6,HOU,W,OAK,-6.0,JAX,-1.5,BYE,,@BAL,3.0,IND,-3.5,NE,4.0,DEN,-6.5,@TEN,1.0,@TB,-1.5,TEN,-3.5,0.25183919395734
0.87,67.8,0.2,GB,W,@KC,-5.0,@LAC,-3.0,CAR,-5.0,BYE,,@SF,2.0,@NYG,-6.5,WAS,-13.5,CHI,-3.5,@MIN,3.0,@DET,-3.0,0.54769477306069
0.85,65.6,0.2,SF,W,CAR,-4.5,@ARI,-10.0,SEA,-3.0,ARI,-10.0,GB,-2.0,@BAL,2.0,@NO,2.0,ATL,-8.0,LAR,-2.0,@SEA,2.5,0.52129241829996
0.81,62.7,0.1,CHI,L,LAC,-3.5,@PHI,5.0,DET,-4.0,@LAR,3.5,NYG,-8.0,@DET,-1.0,DAL,-1.5,@GB,3.5,KC,-4.0,@MIN,3.5,0.31172719770884
0.71,55.3,0.1,TEN,W,TB,-2.0,@CAR,3.5,KC,-1.5,BYE,,JAX,-3.0,@IND,3.0,@OAK,1.0,HOU,-1.0,NO,1.5,@HOU,3.5,0.068199559715783
0.67,52.0,0.1,BUF,L,PHI,-1.0,WAS,-9.5,@CLE,3.0,@MIA,-9.5,DEN,-4.5,@DAL,5.0,BAL,0.5,@PIT,1.5,@NE,9.5,NYJ,-7.0,0.49070784433901
0.62,48.0,0.1,PHI,W,@BUF,1.0,CHI,-5.0,BYE,,NE,3.5,SEA,-2.0,@MIA,-13.5,NYG,-7.5,@WAS,-6.5,DAL,-1.5,@NYG,-3.5,0.60570855983624
0.58,44.7,0.0,TB,L,@TEN,2.0,@SEA,6.5,ARI,-4.5,NO,3.0,@ATL,1.0,@JAX,3.0,IND,-0.5,@DET,3.0,HOU,1.5,ATL,-3.5,0.14563493399829
0.48,37.3,0.0,LAC,W,@CHI,3.5,GB,3.0,@OAK,0.5,KC,-2.0,BYE,,@DEN,-0.5,@JAX,2.0,MIN,3.0,OAK,-3.5,@KC,3.0,0.089951963206462
0.45,34.4,0.0,CAR,L,@SF,4.5,TEN,-3.5,@GB,5.0,ATL,-6.0,@NO,4.0,WAS,-9.5,@ATL,-2.0,SEA,0.5,@IND,2.5,NO,-0.5,0.34154362487198
0.42,32.2,0.0,KC,L,GB,5.0,MIN,3.5,@TEN,1.5,LAC,2.0,BYE,,OAK,-4.0,@NE,8.0,DEN,-4.5,@CHI,4.0,LAC,-3.0,0.20467117571999
0.41,31.5,0.0,OAK,L,@HOU,6.0,DET,-2.0,LAC,-0.5,CIN,-6.5,@NYJ,-0.5,@KC,4.0,TEN,-1.0,JAX,-1.5,@LAC,3.5,@DEN,2.5,0.14861959899082
0.39,29.8,0.0,DEN,L,@IND,6.0,CLE,-2.0,BYE,,@MIN,9.5,@BUF,4.5,LAC,0.5,@HOU,6.5,@KC,4.5,DET,-1.0,OAK,-2.5,0.053007439731221
0.38,28.9,0.0,NYG,L,@DET,6.5,DAL,7.5,@NYJ,2.0,BYE,,@CHI,8.0,GB,6.5,@PHI,7.5,MIA,-9.5,@WAS,-1.5,PHI,3.5,0.16211488315054
0.35,26.9,0.0,NYJ,L,@JAX,7.0,@MIA,-3.0,NYG,-2.0,@WAS,-1.0,OAK,0.5,@CIN,0.5,MIA,-8.0,@BAL,9.5,PIT,1.5,@BUF,7.0,0.21311158480401
0.34,25.8,0.0,ATL,L,SEA,7.5,BYE,,@NO,7.0,@CAR,6.0,TB,-1.0,NO,3.5,CAR,2.0,@SF,8.0,JAX,1.0,@TB,3.5,0.0092557804503009
0.3,22.6,0.0,CLE,L,@NE,10.0,@DEN,2.0,BUF,-3.0,PIT,-3.5,MIA,-14.0,@PIT,1.5,CIN,-8.0,@ARI,-3.0,BAL,0.5,@CIN,-4.0,0.53853169323568
0.29,11.6,0.0,WAS,L,@MIN,17.0,@BUF,9.5,BYE,,NYJ,1.0,DET,4.0,@CAR,9.5,@GB,13.5,PHI,6.5,NYG,1.5,@DAL,13.5,0.0
0.28,16.8,0.0,CIN,L,LAR,12.0,BYE,,BAL,6.5,@OAK,6.5,PIT,3.0,NYJ,-0.5,@CLE,8.0,NE,13.0,@MIA,-3.5,CLE,4.0,0.053443208137733
