EV,W_pct,P_pct,Team,Team_Result,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.15,93.1,28.1,NE,W,IND,-20.5,@WAS,-7.0,@DEN,-7.0,MIA,-7.0,BUF,-10.0,1.0
1.02,86.8,35.7,SF,W,STL,-14.0,@ARI,-3.5,PIT,-3.0,@SEA,-1.5,@STL,-12.5,0.59249876855578
0.97,75.9,2.5,NO,W,DET,-9.0,@TEN,-3.5,@MIN,-7.0,ATL,-7.0,CAR,-7.0,0.7906401440866
0.95,73.8,0.9,PIT,W,CIN,-7.0,CLE,-14.0,@SF,3.0,STL,-10.0,@CLE,-7.0,0.89305308082065
0.95,77.3,14.3,CHI,L,KC,-9.0,@DEN,3.5,SEA,-3.5,@GB,13.0,@MIN,1.5,0.13482671979081
0.94,72.6,1.0,GB,W,@NYG,-7.0,OAK,-11.5,@KC,-10.5,CHI,-13.0,DET,6.5,0.99068000023164
0.92,73.2,6.2,BAL,W,@CLE,-7.0,IND,-16.5,@SD,-1.0,CLE,-11.0,@CIN,-2.5,0.79389157497051
0.82,64.5,2.6,DAL,L,@ARI,-4.0,NYG,-4.5,@TB,-7.0,PHI,1.0,@NYG,3.0,0.39907183778069
0.8,61.2,0.1,MIA,W,OAK,-3.5,PHI,-3.0,@BUF,-1.0,@NE,7.0,NYJ,-2.0,0.1021804361553
0.8,62.3,1.6,NYJ,W,@WAS,-3.0,KC,-10.5,@PHI,3.0,NYG,-1.5,@MIA,2.0,0.36350871848074
0.78,60.6,0.9,SD,W,@JAX,-3.0,BUF,-7.0,BAL,1.0,@DET,-1.0,@OAK,2.5,0.24153963075912
0.77,59.7,0.9,PHI,L,@SEA,-3.0,@MIA,3.0,NYJ,-3.0,@DAL,-1.0,WAS,-7.0,0.37047525391682
0.73,56.1,0.1,CAR,W,@TB,-1.0,ATL,3.0,@HOU,6.0,TB,-9.0,@NO,7.0,0.24485572764044
0.72,54.6,0.1,MIN,L,DEN,-1.0,@DET,10.0,NO,7.0,@WAS,6.0,CHI,-1.5,0.065920575669589
0.69,53.7,0.4,ATL,L,@HOU,-1.0,@CAR,-3.0,JAX,-13.5,@NO,7.0,TB,-10.0,0.70319365985048
0.65,50.5,0.3,BUF,L,TEN,-1.0,@SD,7.0,MIA,1.0,DEN,3.0,@NE,10.0,0.0
0.64,49.5,0.1,TEN,W,@BUF,1.0,NO,3.5,@IND,-6.5,JAX,-8.0,@HOU,-1.0,0.5071789911388
0.6,46.3,0.1,HOU,W,ATL,1.0,@CIN,2.5,CAR,-6.0,@IND,-7.0,TEN,1.0,0.4017259886142
0.58,45.4,2.0,DEN,W,@MIN,1.0,CHI,-3.5,NE,7.0,@BUF,-3.0,KC,-1.0,0.20775725483742
0.57,43.9,0.5,TB,L,CAR,1.0,@JAX,-3.0,DAL,7.0,@CAR,9.0,@ATL,10.0,0.074945468415261
0.53,40.3,0.2,SEA,W,PHI,3.0,STL,-9.0,@CHI,3.5,SF,1.5,@ARI,2.5,0.25598334788274
0.51,39.4,0.1,JAX,L,SD,3.0,TB,3.0,@ATL,13.5,@TEN,8.0,IND,-3.0,0.094758235053848
0.5,37.7,0.0,WAS,L,NYJ,3.0,NE,7.0,@NYG,5.5,MIN,-6.0,@PHI,7.0,0.17874830521391
0.5,38.8,1.6,OAK,L,@MIA,3.5,@GB,11.5,DET,1.0,@KC,2.5,SD,-2.5,0.052835957611504
0.47,35.5,0.0,ARI,W,DAL,4.0,SF,3.5,CLE,-6.0,@CIN,4.5,SEA,-2.5,0.23771293456117
0.37,26.8,0.0,CLE,L,BAL,7.0,@PIT,14.0,@ARI,6.0,@BAL,11.0,PIT,7.0,0.0
0.36,27.4,0.0,NYG,L,GB,7.0,@DAL,4.5,WAS,-5.5,@NYJ,1.5,DAL,-3.0,0.2711022022393
0.35,22.7,0.0,KC,W,@CHI,9.0,@NYJ,10.5,GB,10.5,OAK,-2.5,@DEN,1.0,0.073304480306216
0.34,26.2,0.0,CIN,L,@PIT,7.0,HOU,-2.5,@STL,-7.0,ARI,-4.5,BAL,2.5,0.4445703142423
0.32,24.1,0.0,DET,L,@NO,9.0,MIN,-10.0,@OAK,-1.0,SD,1.0,@GB,-6.5,0.56956084241852
0.28,13.2,0.0,STL,L,@SF,14.0,@SEA,9.0,CIN,7.0,@PIT,10.0,SF,12.5,0.0
0.14,6.9,0.0,IND,L,@NE,20.5,@BAL,16.5,TEN,6.5,HOU,7.0,@JAX,3.0,0.0
