EV,W_pct,P_pct,Team,Team_Result,18,18_spread,Future_Val
1.43,90.4,2.9,PHI,W,NYG,-16.5,
1.37,87.7,8.2,SF,W,ARI,-14.0,
1.28,82.2,6.2,CIN,W,BAL,-11.0,
1.23,77.8,1.1,KC,W,@LV,-9.0,
1.19,75.6,2.1,BUF,W,NE,-8.0,
1.17,74.0,1.1,DAL,L,@WAS,-7.5,
1.14,70.4,0.7,DEN,W,LAC,-6.0,
1.09,68.2,1.3,ATL,W,TB,-6.0,
1.08,70.7,7.7,MIN,W,@CHI,-7.0,
1.06,68.1,4.1,GB,L,DET,-4.0,
1.01,67.5,11.8,SEA,W,LAR,-5.5,
1.01,70.6,19.9,JAX,W,TEN,-6.0,
0.99,63.7,4.1,NO,L,CAR,-3.5,
0.99,63.4,3.6,MIA,W,NYJ,-3.5,
0.91,59.5,6.0,IND,L,HOU,-3.0,
0.89,57.8,4.6,PIT,W,CLE,-2.5,
0.69,42.2,1.0,CLE,L,@PIT,2.5,
0.68,40.5,0.5,HOU,W,@IND,3.0,
0.6,36.6,0.3,NYJ,L,@MIA,3.5,
0.6,36.3,0.4,CAR,W,@NO,3.5,
0.58,29.4,1.2,TEN,L,@JAX,6.0,
0.57,32.5,2.4,LAR,L,@SEA,5.5,
0.53,31.9,0.3,DET,W,@GB,4.0,
0.51,29.3,0.2,CHI,L,MIN,7.0,
0.5,31.8,2.4,TB,L,@ATL,6.0,
0.45,29.6,4.8,LAC,L,@DEN,6.0,
0.42,26.0,0.3,WAS,W,DAL,7.5,
0.4,24.4,0.1,NE,L,@BUF,8.0,
0.36,22.2,0.2,LV,L,KC,9.0,
0.31,17.8,0.1,BAL,L,@CIN,11.0,
0.22,12.3,0.3,ARI,L,@SF,14.0,
0.16,9.6,0.1,NYG,L,@PHI,16.5,
