EV,W_pct,P_pct,Team,Team_Result,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.23,80.5,15.5,HOU,L,JAX,-10.5,NE,7.0,@JAX,-3.0,@IND,6.0,DEN,10.0,@TEN,7.0,0.069935158831842
1.15,75.7,13.2,NO,W,@ATL,-7.5,@SEA,6.5,CAR,-3.0,@STL,-6.5,@CAR,3.5,TB,-11.0,0.44768018493542
1.15,69.6,1.6,GB(tie),,MIN,-5.5,@DET,6.5,ATL,-3.5,@DAL,5.0,PIT,1.0,@CHI,-3.0,0.14545230766294
1.11,67.6,1.8,SF,W,@WAS,-5.5,STL,-7.5,SEA,-2.5,@TB,-4.5,ATL,-14.0,@ARI,3.0,0.59887030451434
1.05,65.0,3.7,CAR,W,@MIA,-4.5,TB,-7.5,@NO,3.0,NYJ,-10.0,NO,-3.5,@ATL,-4.5,0.57819032397477
1.05,65.9,5.1,BAL,W,NYJ,-4.0,PIT,-3.0,MIN,-6.0,@DET,4.5,NE,1.0,@CIN,6.5,0.21165774714875
1.05,62.7,0.2,ARI,W,IND,-3.5,@PHI,3.5,STL,-4.0,@TEN,-2.5,@SEA,8.0,SF,-3.0,0.21734762633969
1.0,62.6,4.7,KC,L,SD,-3.5,DEN,5.5,@WAS,-3.5,@OAK,-6.0,IND,-7.5,@SD,10.5,0.41340248629493
0.98,58.6,0.3,TEN,W,@OAK,-2.5,@IND,3.5,@DEN,13.0,ARI,2.5,@JAX,-4.0,HOU,-7.0,0.26113893930814
0.97,57.6,0.2,CLE,L,PIT,-2.5,JAX,-7.5,@NE,10.0,CHI,-1.0,@NYJ,2.5,@PIT,9.5,0.17239531195397
0.96,57.8,0.4,NYG,L,DAL,-2.5,@WAS,1.0,@SD,4.0,SEA,9.5,@DET,9.5,WAS,-3.5,0.088484069636653
0.93,55.2,0.5,STL,W,CHI,-1.0,@SF,7.5,@ARI,4.0,NO,6.5,TB,-3.5,@SEA,13.0,0.082256033825799
0.9,74.9,48.7,DET,L,TB,-7.5,GB,-6.5,@PHI,2.5,BAL,-4.5,NYG,-9.5,@MIN,-1.5,0.49950932471727
0.86,51.7,0.2,DEN,L,@NE,-1.0,@KC,-5.5,TEN,-13.0,SD,-10.0,@HOU,-10.0,@OAK,-10.0,1.0
0.81,48.3,0.1,NE,W,DEN,1.0,@HOU,-7.0,CLE,-10.0,@MIA,2.5,@BAL,-1.0,BUF,-7.5,0.55484888405251
0.77,25.1,0.1,TB,W,@DET,7.5,@CAR,7.5,BUF,-3.0,SF,4.5,@STL,3.5,@NO,11.0,0.065469088147064
0.74,44.8,1.3,CHI,L,@STL,1.0,@MIN,1.0,DAL,-2.0,@CLE,1.0,@PHI,2.5,GB,3.0,0.029460448943062
0.71,42.2,0.2,DAL,W,@NYG,2.5,OAK,-9.5,@CHI,2.0,GB,-5.0,@WAS,-3.0,PHI,7.0,0.40236444551328
0.7,42.4,0.9,PIT,W,@CLE,2.5,@BAL,3.0,MIA,-3.0,CIN,2.0,@GB,-1.0,CLE,-9.5,0.26782854284296
0.69,41.4,0.5,OAK,L,TEN,2.5,@DAL,9.5,@NYJ,3.0,KC,6.0,@SD,10.0,DEN,10.0,0.0
0.67,37.4,0.1,SD,W,@KC,3.5,CIN,2.5,NYG,-4.0,@DEN,10.0,OAK,-10.0,KC,-10.5,0.53364927598756
0.62,37.3,0.3,IND,L,@ARI,3.5,TEN,-3.5,@CIN,7.0,HOU,-6.0,@KC,7.5,JAX,-11.0,0.45495634654517
0.62,34.1,0.0,NYJ,L,@BAL,4.0,MIA,1.0,OAK,-3.0,@CAR,10.0,CLE,-2.5,@MIA,7.5,0.10196156690477
0.61,35.0,0.4,MIA,L,CAR,4.5,@NYJ,-1.0,@PIT,3.0,NE,-2.5,@BUF,1.0,NYJ,-7.5,0.20446968545709
0.56,32.4,0.1,WAS,L,SF,5.5,NYG,-1.0,KC,3.5,@ATL,5.5,DAL,3.0,@NYG,3.5,0.0032605098711542
0.52,30.4,0.0,MIN(tie),,@GB,5.5,CHI,-1.0,@BAL,6.0,PHI,6.5,@CIN,7.5,DET,1.5,0.016854271022796
0.51,24.3,0.0,ATL,L,NO,7.5,@BUF,4.5,@GB,3.5,WAS,-5.5,@SF,14.0,CAR,4.5,0.12635940056295
0.44,19.5,0.1,JAX,W,@HOU,10.5,@CLE,7.5,HOU,3.0,BUF,4.0,TEN,4.0,@IND,11.0,0.0
,,,BUF,,BYE,,ATL,-4.5,@TB,3.0,@JAX,-4.0,MIA,-1.0,@NE,7.5,0.21982722815669
,,,CIN,,BYE,,@SD,-2.5,IND,-7.0,@PIT,-2.0,MIN,-7.5,BAL,-6.5,0.55183162042312
,,,PHI,,BYE,,ARI,-3.5,DET,-2.5,@MIN,-6.5,CHI,-2.5,@DAL,-7.0,0.49252999878997
,,,SEA,,BYE,,NO,-6.5,@SF,2.5,@NYG,-9.5,ARI,-8.0,STL,-13.0,0.78947003899373
