EV,W_pct,P_pct,Team,Team_Result,16,16_spread,17,17_spread,Future_Val
1.17,77.7,4.7,BAL,W,@CLE,-10.5,PIT,2.5,0.0
1.13,74.8,2.5,LAC,L,OAK,-7.5,@KC,8.0,0.0
1.12,73.7,1.8,SF,W,LAR,-7.0,@SEA,-3.0,0.34204631499278
1.1,72.8,2.3,IND,W,CAR,-7.0,@JAX,-3.5,0.36898467718468
1.09,71.7,2.3,NE,W,BUF,-7.0,MIA,-15.5,1.0
1.08,72.6,4.9,KC,W,@CHI,-6.5,LAC,-8.0,0.70096873608478
1.07,75.0,14.6,DEN,W,DET,-8.0,OAK,-3.5,0.32235564596031
1.06,77.0,22.5,SEA,L,ARI,-8.0,SF,3.0,0.0
1.01,73.5,21.3,ATL,W,JAX,-7.5,@TB,1.0,0.0
1.0,65.6,0.2,MIN,L,GB,-4.0,CHI,-1.0,0.070112407719785
0.93,62.2,3.6,NO,W,@TEN,-3.5,@CAR,-13.0,0.88726798037885
0.92,61.8,4.2,PIT,L,@NYJ,-3.5,@BAL,-2.5,0.12311827547508
0.87,58.4,3.9,HOU,W,@TB,-3.0,TEN,3.5,0.0
0.85,55.7,0.2,DAL,L,@PHI,-2.5,WAS,-11.0,0.84716663466511
0.81,53.8,3.2,CIN,L,@MIA,-1.5,CLE,2.5,0.0
0.81,53.1,1.1,NYG,W,@WAS,-1.0,PHI,4.5,0.0
0.72,46.9,0.6,WAS,L,NYG,1.0,@DAL,11.0,0.0
0.72,46.2,1.7,MIA,W,CIN,1.5,@NE,15.5,0.0
0.68,44.3,0.1,PHI,W,DAL,2.5,@NYG,-4.5,0.42966422744868
0.66,41.6,0.2,TB,L,HOU,3.0,ATL,-1.0,0.070112407719785
0.61,38.2,0.2,NYJ,W,PIT,3.5,@BUF,1.5,0.0
0.6,37.8,0.1,TEN,L,NO,3.5,@HOU,-3.5,0.31858395423434
0.53,34.4,0.1,GB,W,@MIN,4.0,@DET,-12.5,0.88726798037885
0.52,26.5,1.0,JAX,L,@ATL,7.5,IND,3.5,0.0
0.47,23.0,0.1,ARI,W,@SEA,8.0,@LAR,8.0,0.0
0.45,25.0,0.9,DET,L,@DEN,8.0,GB,12.5,0.0
0.44,27.4,0.2,CHI,L,KC,6.5,@MIN,1.0,0.0
0.44,28.3,0.0,BUF,L,@NE,7.0,NYJ,-1.5,0.11226069077994
0.42,27.2,0.6,CAR,L,@IND,7.0,NO,13.0,0.0
0.41,26.3,0.6,LAR,L,@SF,7.0,ARI,-8.0,0.69604799805847
0.4,25.2,0.1,OAK,W,@LAC,7.5,@DEN,3.5,0.0
0.36,22.3,0.1,CLE,L,BAL,10.5,@CIN,-2.5,0.20267674846967
