EV,W_pct,P_pct,Team,Team_Result,17,17_spread,18,18_spread,Future_Val
1.42,85.4,1.7,DAL,W,@TEN,-14.0,@WAS,-5.0,0.48761090820013
1.41,85.1,3.6,KC,W,DEN,-13.5,@LV,-7.5,0.68738906979683
1.28,78.5,6.4,SF,W,@LV,-10.0,ARI,-14.5,1.0
1.21,71.8,3.5,ATL,W,ARI,-7.0,TB,-3.5,0.36555280007857
1.13,71.4,10.5,LAC,W,LAR,-6.5,@DEN,-3.0,0.29344436235934
1.12,68.1,3.3,PHI,L,NO,-5.5,NYG,-14.0,0.95154583269756
1.04,67.5,14.6,NYG,W,IND,-5.5,@PHI,14.0,0.0
1.04,62.4,0.5,GB,W,MIN,-3.0,DET,-5.0,0.42194139211161
1.04,64.1,4.6,TB,W,CAR,-3.5,@ATL,3.5,0.0
1.0,59.9,1.0,NE,W,MIA,-2.5,@BUF,7.5,0.0
0.98,66.0,18.4,DET,W,CHI,-5.5,@GB,5.0,0.0
0.97,63.6,13.5,JAX,W,@HOU,-3.5,TEN,-6.5,0.55819570492424
0.94,56.2,0.3,BUF(PPD),,@CIN,-2.5,NE,-7.5,0.66973129101889
0.91,53.7,1.0,WAS,L,CLE,-2.5,DAL,5.0,0.0
0.89,53.3,0.8,BAL,L,PIT,-1.0,@CIN,6.5,0.0
0.87,51.4,0.6,NYJ,L,@SEA,-1.0,@MIA,1.0,0.0
0.8,48.6,2.2,SEA,W,NYJ,1.0,LAR,-6.5,0.55191659386219
0.79,46.7,0.2,PIT,W,@BAL,1.0,CLE,-2.5,0.21653917492345
0.77,46.3,2.1,CLE,W,@WAS,2.5,@PIT,2.5,0.0
0.73,43.8,0.2,CIN(PPD),,BUF,2.5,BAL,-6.5,0.58906763834195
0.7,36.4,0.5,HOU,L,JAX,3.5,@IND,2.5,0.0
0.69,34.0,0.7,CHI,L,@DET,5.5,MIN,3.5,0.0
0.67,40.1,0.8,MIA,L,@NE,2.5,NYJ,-1.0,0.053676591061315
0.63,35.9,0.1,CAR,L,@TB,3.5,@NO,3.5,0.0
0.63,37.6,0.2,MIN,L,@GB,3.0,@CHI,-3.5,0.39926936518335
0.63,32.5,2.5,IND,L,@NYG,5.5,HOU,-2.5,0.19039131311068
0.55,31.9,0.2,NO,W,@PHI,5.5,CAR,-3.5,0.31710880873327
0.55,28.6,0.2,LAR,L,@LAC,6.5,@SEA,6.5,0.0
0.46,28.2,5.5,ARI,L,@ATL,7.0,@SF,14.5,0.0
0.39,21.5,0.3,LV,L,SF,10.0,KC,7.5,0.0
0.26,14.9,0.0,DEN,L,@KC,13.5,LAC,3.0,0.0
0.25,14.6,0.3,TEN,L,DAL,14.0,@JAX,6.5,0.0
