EV,W_pct,P_pct,Team,Team_Result,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.12,84.2,17.6,NO,L,CLE,-13.0,PIT,-1.5,@CAR,-6.5,BYE,,SEA,-12.0,@DAL,-4.5,@CIN,-7.0,STL,-9.5,@BAL,2.5,@ATL,2.5,TB,-7.5,0.76420984081581
1.1,78.8,6.9,KC,W,JAX,-9.5,BUF,-7.0,@OAK,0.0,@DEN,-1.0,ARI,-8.5,@SEA,-2.0,DEN,-10.0,@SD,10.0,@STL,3.0,TEN,-4.5,OAK,-3.5,0.57464452143008
1.01,71.2,2.9,SEA,W,ARI,-7.0,@OAK,2.0,NYG,7.5,@ARI,4.0,@NO,12.0,KC,2.0,CAR,-5.0,@SF,5.0,ATL,6.5,@TB,6.0,STL,3.0,0.082127047435271
0.98,85.4,52.1,BAL,W,BUF,-13.0,BYE,,MIA,-5.0,@ATL,0.0,@CAR,-11.5,TB,-7.5,PIT,-3.0,@HOU,-3.0,NO,-2.5,@CLE,-3.5,CIN,-9.5,0.74266907338593
0.98,73.2,11.8,DEN,L,OAK,-7.0,@SF,3.0,BYE,,KC,1.0,@SD,9.0,STL,-3.5,@KC,10.0,@ARI,-4.5,@OAK,7.5,HOU,2.0,SD,4.5,0.13224357071009
0.91,63.1,0.3,DAL,L,NYG,-3.5,JAX,-6.5,@GB,7.0,@NYG,13.0,DET,-6.5,NO,4.5,@IND,6.0,PHI,4.0,WAS,-7.0,@ARI,-7.5,@PHI,-1.5,0.47253728562813
0.88,62.5,3.1,ATL,W,CIN,-3.5,BYE,,TB,-8.5,BAL,0.0,@STL,-3.5,GB,-1.5,@TB,-3.0,@CAR,-9.0,@SEA,-6.5,NO,-2.5,CAR,-14.5,0.71938162513361
0.88,60.9,0.3,TB,W,STL,-3.0,@ARI,3.0,@ATL,8.5,CAR,-7.5,@SF,3.5,@BAL,7.5,ATL,3.0,@WAS,-1.0,DET,-4.0,SEA,-6.0,@NO,7.5,0.30509126014107
0.87,60.0,0.1,GB,W,MIN,-3.0,@NYJ,6.0,DAL,-7.0,BYE,,@MIN,-3.5,@ATL,1.5,SF,-9.5,@DET,-7.0,@NE,14.0,NYG,-3.5,CHI,-11.0,0.68384624594297
0.86,60.0,0.8,PIT,W,@MIA,-3.0,@NO,1.5,@CIN,-5.5,NE,-5.0,OAK,-7.5,@BUF,-6.0,@BAL,3.0,CIN,-9.0,NYJ,-3.5,CAR,-15.0,@CLE,-5.5,0.90136132756878
0.86,59.7,0.2,CHI,L,WAS,-3.0,BYE,,@BUF,-2.5,MIN,1.0,@MIA,2.5,PHI,3.0,@DET,-4.5,NE,3.0,@MIN,-6.0,NYJ,-2.5,@GB,11.0,0.24322939322389
0.86,60.0,1.5,SF,L,@CAR,-3.0,DEN,-3.0,BYE,,STL,-4.0,TB,-3.5,@ARI,-2.0,@GB,9.5,SEA,-5.0,@SD,10.5,@STL,2.5,ARI,-6.0,0.40359448288608
0.82,57.0,0.1,TEN,W,PHI,-3.0,@SD,5.0,BYE,,@MIA,-1.0,WAS,-7.0,@HOU,6.0,JAX,-3.5,IND,4.0,HOU,-1.0,@KC,4.5,@IND,9.0,0.20891240236509
0.8,54.8,0.0,SD,L,NE,-2.5,TEN,-5.0,@HOU,-3.0,BYE,,DEN,-9.0,@IND,2.0,OAK,-13.0,KC,-10.0,SF,-10.5,@CIN,-8.5,@DEN,-4.5,1.0
0.64,45.2,1.2,NE,W,@SD,2.5,MIN,-5.5,@CLE,-4.0,@PIT,5.0,IND,-4.0,@DET,-7.0,NYJ,-4.0,@CHI,-3.0,GB,-14.0,@BUF,-7.5,MIA,-5.5,0.90164979112155
0.62,43.0,0.1,PHI,L,@TEN,3.0,BYE,,IND,-3.0,@WAS,-3.0,NYG,-3.5,@CHI,-3.0,HOU,-8.0,@DAL,-4.0,@NYG,3.0,MIN,-14.5,DAL,1.5,0.66673359931307
0.59,40.0,0.1,CAR,W,SF,3.0,@STL,1.5,NO,6.5,@TB,7.5,BAL,11.5,@CLE,9.5,@SEA,5.0,ATL,9.0,ARI,-2.5,@PIT,15.0,@ATL,14.5,0.038635140329092
0.58,40.3,0.1,WAS,W,@CHI,3.0,@DET,2.5,BYE,,PHI,3.0,@TEN,7.0,MIN,1.5,@NYG,7.5,TB,1.0,@DAL,7.0,@JAX,7.0,NYG,4.5,0.0
0.58,40.0,0.0,MIA,L,PIT,3.0,@CIN,1.0,@BAL,5.0,TEN,1.0,CHI,-2.5,@OAK,3.0,CLE,-5.0,@NYJ,5.0,BUF,-4.5,DET,-3.5,@NE,5.5,0.28169629509656
0.58,40.0,0.1,MIN,L,@GB,3.0,@NE,5.5,ARI,-7.5,@CHI,-1.0,GB,3.5,@WAS,-1.5,BUF,-5.0,NYG,3.0,CHI,6.0,@PHI,14.5,@DET,3.5,0.2506439572474
0.56,39.1,0.1,STL,L,@TB,3.0,CAR,-1.5,BYE,,@SF,4.0,ATL,3.5,@DEN,3.5,@ARI,-3.5,@NO,9.5,KC,-3.0,SF,-2.5,@SEA,-3.0,0.22033236170295
0.56,37.5,0.0,CIN,L,@ATL,3.5,MIA,-1.0,PIT,5.5,@IND,7.5,BUF,-5.0,@NYJ,9.5,NO,7.0,@PIT,9.0,CLE,-1.0,SD,8.5,@BAL,9.5,0.10995393882609
0.53,36.9,0.4,NYG,W,@DAL,3.5,BYE,,@SEA,-7.5,DAL,-13.0,@PHI,3.5,JAX,-7.0,WAS,-7.5,@MIN,-3.0,PHI,-3.0,@GB,3.5,@WAS,-4.5,0.7215296952806
0.46,26.8,0.0,OAK,W,@DEN,7.0,SEA,-2.0,KC,0.0,BYE,,@PIT,7.5,MIA,-3.0,@SD,13.0,@JAX,3.5,DEN,-7.5,IND,2.0,@KC,3.5,0.18632414694886
