EV,W_pct,P_pct,Team,Team_Result,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.21,87.2,21.7,PHI,W,CAR,-14.0,PIT,-5.0,@WSH,-3.0,DAL,-13.5,NYG,-16.5,1.0
1.01,71.9,8.8,MIA,W,NYJ,-6.5,@HOU,3.0,SF,-1.5,@CLE,-3.0,@NYJ,-1.5,0.13777991383645
1.01,70.2,4.6,MIN,W,ATL,-6.0,CHI,-7.0,@SEA,-1.5,GB,1.0,@DET,5.0,0.25164402893598
0.99,67.2,0.3,KC,W,LAC,-4.5,@CLE,-4.0,HOU,-4.0,@PIT,-2.0,@DEN,-3.0,0.41678279172194
0.99,73.1,16.7,TB,W,LV,-6.5,@LAC,3.0,@DAL,-3.5,CAR,-8.0,NO,-6.5,0.5982373027945
0.98,67.4,3.6,CIN,W,@DAL,-4.5,@TEN,-5.0,CLE,-6.0,DEN,-3.5,@PIT,1.5,0.45939304166971
0.97,68.7,8.6,NO,W,@NYG,-5.5,WSH,7.0,@GB,12.5,LV,-3.0,@TB,6.5,0.088395333131
0.92,63.1,1.7,BUF,L,@LAR,-3.5,@DET,2.0,NE,-12.5,NYJ,-8.0,@NE,-10.5,0.9307268180345
0.9,61.3,0.4,ARI,L,SEA,-3.0,NE,-4.5,@CAR,-4.5,@LAR,3.5,SF,1.0,0.30276163498585
0.9,70.7,26.3,PIT,W,CLE,-6.0,@PHI,5.0,@BAL,4.5,KC,2.0,CIN,-1.5,0.032079561569241
0.89,60.6,0.3,DET,W,GB,-3.0,BUF,-2.0,@CHI,-7.5,@SF,-3.5,MIN,-5.0,0.57350455550856
0.87,59.6,1.8,SF,W,CHI,-3.0,LAR,-2.5,@MIA,1.5,DET,3.5,@ARI,-1.0,0.084866454342405
0.86,60.1,4.1,TEN,L,JAX,-3.0,CIN,5.0,@IND,4.5,@JAX,2.0,HOU,4.5,0.0
0.61,39.9,0.2,JAX,W,@TEN,3.0,NYJ,3.5,@LV,1.5,TEN,-2.0,@IND,4.0,0.049734108071351
0.61,40.4,0.1,CHI,L,@SF,3.0,@MIN,7.0,DET,7.5,SEA,-0.5,@GB,8.0,0.0026569015079752
0.58,39.4,0.1,GB,L,@DET,3.0,@SEA,-3.0,NO,-12.5,@MIN,-1.0,CHI,-8.0,0.72273537488041
0.58,29.3,0.1,CLE,L,@PIT,6.0,KC,4.0,@CIN,6.0,MIA,3.0,@BAL,10.5,0.0
0.57,38.7,0.2,SEA,W,@ARI,3.0,GB,3.0,MIN,1.5,@CHI,0.5,@LAR,3.5,0.0
0.56,36.9,0.1,LAR,W,BUF,3.5,@SF,2.5,@NYJ,-2.5,ARI,-3.5,SEA,-3.5,0.28108970604519
0.51,31.3,0.1,NYG,L,NO,5.5,BAL,15.0,@ATL,7.5,IND,4.0,@PHI,16.5,0.0
0.5,32.6,0.2,DAL,L,CIN,4.5,@CAR,2.5,TB,3.5,@PHI,13.5,WSH,6.0,0.0
0.49,26.9,0.0,LV,L,@TB,6.5,ATL,4.5,JAX,-1.5,@NO,3.0,LAC,6.5,0.015284823860589
0.49,32.8,0.0,LAC,L,@KC,4.5,TB,-3.0,DEN,-3.0,@NE,-4.5,@LV,-6.5,0.53022773570747
0.46,29.8,0.1,ATL,L,@MIN,6.0,@LV,-4.5,NYG,-7.5,@WSH,3.5,CAR,-8.0,0.6567275884942
0.46,28.1,0.1,NYJ,L,@MIA,6.5,@JAX,-3.5,LAR,2.5,@BUF,8.0,MIA,1.5,0.1106998262689
0.27,12.8,0.0,CAR,L,@PHI,14.0,DAL,-2.5,ARI,4.5,@TB,8.0,@ATL,8.0,0.05221151161742
,,0.0,NE,,BYE,,@ARI,4.5,@BUF,12.5,LAC,4.5,BUF,10.5,0.0
,,0.0,BAL,,BYE,,@NYG,-15.0,PIT,-4.5,@HOU,-3.0,CLE,-10.5,0.93511483587531
,,0.0,HOU,,BYE,,MIA,-3.0,@KC,4.0,BAL,3.0,@TEN,-4.5,0.23758133682194
,,0.0,IND,,BYE,,@DEN,4.0,TEN,-4.5,@NYG,-4.0,JAX,-4.0,0.47039285357907
,,0.0,DEN,,BYE,,IND,-4.0,@LAC,3.0,@CIN,3.5,KC,3.0,0.13987608660765
,,0.0,WSH,,BYE,,@NO,-7.0,PHI,3.0,ATL,-3.5,@DAL,-6.0,0.53365456453513
