EV,W_pct,P_pct,Team,Team_Result,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.21,90.2,24.0,NO,W,@DEN,-17.0,@ATL,-3.0,@PHI,-4.0,KC,2.0,MIN,-6.5,@CAR,-4.0,0.46571187977875
1.13,80.4,0.2,PIT,W,BAL,-10.0,WAS,-13.0,@BUF,-0.5,@CIN,-9.5,IND,-3.5,@CLE,-3.0,0.64905901854479
1.04,75.4,5.9,GB,W,CHI,-7.5,PHI,-9.0,@DET,-5.5,CAR,-8.0,TEN,-4.0,@CHI,-4.5,0.791106077665
1.03,75.7,7.9,MIA,W,@NYJ,-7.5,CIN,-11.5,KC,6.5,NE,-3.0,@LV,3.0,@BUF,4.5,0.30015584038005
0.96,71.5,10.0,SEA,W,@PHI,-6.5,NYG,-10.0,NYJ,-16.0,@WAS,-7.0,LAR,-3.0,@SF,-3.0,0.85144272123233
0.95,74.5,21.5,CLE,W,@JAX,-7.5,@TEN,5.5,BAL,0.5,@NYG,-3.5,@NYJ,-7.5,PIT,3.0,0.26514936157295
0.92,67.2,4.6,LAR,L,SF,-5.5,@ARI,-3.0,NE,-6.5,NYJ,-15.0,@SEA,3.0,ARI,-3.5,0.62560178613586
0.92,70.3,15.0,NYG,W,@CIN,-6.5,@SEA,10.0,ARI,3.5,CLE,3.5,@BAL,9.5,DAL,-2.0,0.03610534557416
0.91,65.3,2.2,BUF,W,LAC,-4.0,@SF,-2.5,PIT,0.5,@DEN,-5.0,@NE,-1.5,MIA,-4.5,0.32921097162774
0.87,62.2,1.5,LV,L,@ATL,-3.0,@NYJ,-7.5,IND,0.5,LAC,-3.5,MIA,-3.0,@DEN,-3.0,0.42941731773682
0.86,61.2,0.1,KC,W,@TB,-3.5,DEN,-14.0,@MIA,-6.5,@NO,-2.0,ATL,-12.0,LAC,-10.5,1.0
0.84,60.2,1.3,HOU,W,@DET,-3.0,IND,3.0,@CHI,1.0,@IND,6.0,CIN,-7.0,TEN,0.5,0.17996405861563
0.81,57.6,0.1,IND,L,TEN,-3.0,@HOU,-3.0,@LV,-0.5,HOU,-6.0,@PIT,3.5,JAX,-13.0,0.50042935864601
0.81,57.9,1.2,MIN,W,CAR,-3.0,JAX,-9.5,@TB,6.5,CHI,-4.0,@NO,6.5,@DET,-1.5,0.35865905768907
0.77,55.4,2.4,DAL,L,WAS,-2.5,@BAL,9.5,@CIN,-1.5,SF,0.5,PHI,-1.0,@NYG,2.0,0.039193394941846
0.74,52.8,0.4,ARI,L,@NE,-1.0,LAR,3.0,@NYG,-3.5,PHI,-6.0,SF,-4.0,@LAR,3.5,0.35406681668264
0.66,47.2,0.1,NE,W,ARI,1.0,@LAC,-1.0,@LAR,6.5,@MIA,3.0,BUF,1.5,NYJ,-9.5,0.23254583101258
0.64,44.6,0.2,WAS,W,@DAL,2.5,@PIT,13.0,@SF,6.0,SEA,7.0,CAR,0.5,@PHI,4.5,0.0
0.6,42.1,0.0,CAR,L,@MIN,3.0,BYE,,DEN,-4.0,@GB,8.0,@WAS,-0.5,NO,4.0,0.11048647896662
0.6,42.4,0.1,TEN,W,@IND,3.0,CLE,-5.5,@JAX,-6.5,DET,-6.5,@GB,4.0,@HOU,-0.5,0.47576174945026
0.57,39.8,0.2,DET,L,HOU,3.0,@CHI,3.0,GB,5.5,@TEN,6.5,TB,5.0,MIN,1.5,0.0
0.55,38.8,0.0,TB,L,KC,3.5,BYE,,MIN,-6.5,@ATL,-3.5,@DET,-5.0,ATL,-7.5,0.57468383852765
0.54,37.8,0.1,ATL,W,LV,3.0,NO,3.0,@LAC,3.0,TB,3.5,@KC,12.0,@TB,7.5,0.0
0.5,34.7,0.0,LAC,L,@BUF,4.0,NE,1.0,ATL,-3.0,@LV,3.5,DEN,-5.0,@KC,10.5,0.20264957491519
0.49,29.7,0.5,CIN,L,NYG,6.5,@MIA,11.5,DAL,1.5,PIT,9.5,@HOU,7.0,BAL,8.0,0.0
0.48,32.8,0.0,SF,W,@LAR,5.5,BUF,2.5,WAS,-6.0,@DAL,-0.5,@ARI,4.0,SEA,3.0,0.14966749989698
0.46,25.5,0.1,JAX,L,CLE,7.5,@MIN,9.5,TEN,6.5,@BAL,13.5,CHI,3.0,@IND,13.0,0.0
0.45,28.5,0.0,PHI,L,SEA,6.5,@GB,9.0,NO,4.0,@ARI,6.0,@DAL,1.0,WAS,-4.5,0.12090403840502
0.37,24.3,0.1,NYJ,L,MIA,7.5,LV,7.5,@SEA,16.0,@LAR,15.0,CLE,7.5,@NE,9.5,0.0
0.37,24.6,0.0,CHI,L,@GB,7.5,DET,-3.0,HOU,-1.0,@MIN,4.0,@JAX,-3.0,GB,4.5,0.14883653650581
0.28,19.6,0.1,BAL,L,@PIT,10.0,DAL,-9.5,@CLE,-0.5,JAX,-13.5,NYG,-9.5,@CIN,-8.0,0.9238087298395
0.2,9.8,0.0,DEN,L,NO,17.0,@KC,14.0,@CAR,4.0,BUF,5.0,@LAC,5.0,LV,3.0,0.0
