EV,W_pct,P_pct,Team,Team_Result,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.18,81.3,5.5,DEN,W,@OAK,-10.0,@BAL,-3.0,CLE,-11.0,KC,-17.0,0.98229490312783
1.16,82.4,12.4,SF,W,MIA,-10.0,@NE,4.0,@SEA,2.5,ARI,-16.0,0.48186297930875
1.11,75.4,2.6,PIT,L,SD,-7.0,@DAL,-1.0,CIN,-3.0,CLE,-10.0,0.49950639240066
1.07,73.5,4.3,CLE,W,KC,-7.0,WAS,-4.0,@DEN,11.0,@PIT,10.0,0.19439961346139
1.06,71.6,0.8,GB,W,DET,-6.5,@CHI,-3.0,TEN,-10.5,@MIN,-3.0,0.61167733815651
1.05,75.4,10.8,TB,L,PHI,-8.0,@NO,3.5,STL,-3.0,@ATL,3.0,0.096401373104403
1.02,68.5,0.1,NE,W,HOU,-5.5,SF,-4.0,@JAX,-14.0,MIA,-11.0,1.0
0.97,65.1,0.3,NYG,W,NO,-4.0,@ATL,1.0,@BAL,-1.0,PHI,-6.5,0.31437282863141
0.95,64.0,0.2,BUF,L,STL,-3.5,SEA,4.5,@MIA,5.0,NYJ,-3.5,0.14288268819209
0.95,82.3,51.8,SEA,W,ARI,-10.5,@BUF,-4.5,SF,-2.5,STL,-11.0,0.6406295722212
0.94,63.0,0.1,CIN,L,DAL,-3.5,@PHI,-4.5,@PIT,3.0,BAL,-4.5,0.39011315093322
0.9,61.4,1.3,ATL,L,@CAR,-3.0,NYG,-1.0,@DET,-3.5,TB,-3.0,0.27911761105214
0.89,60.0,0.3,NYJ,W,@JAX,-3.0,@TEN,-1.0,SD,-3.0,@BUF,3.5,0.080827970951068
0.89,64.1,8.9,IND,W,TEN,-3.5,@HOU,10.5,@KC,-4.5,HOU,6.5,0.20379794708824
0.79,53.1,0.3,WAS,W,BAL,-1.0,@CLE,4.0,@PHI,-4.5,DAL,-3.0,0.34837893493336
0.77,52.2,0.2,CHI,L,@MIN,-1.0,GB,3.0,@ARI,-7.0,@DET,-3.0,0.3859325835433
0.71,47.8,0.0,MIN,W,CHI,1.0,@STL,1.0,@HOU,9.5,GB,3.0,0.0
0.7,46.9,0.1,BAL,L,@WAS,1.0,DEN,3.0,NYG,1.0,@CIN,4.5,0.0
0.6,35.9,0.0,TEN,L,@IND,3.5,NYJ,1.0,@GB,10.5,JAX,-6.0,0.23966133876051
0.6,40.0,0.0,JAX,L,NYJ,3.0,@MIA,8.0,NE,14.0,@TEN,6.0,0.0
0.58,38.6,0.0,CAR,W,ATL,3.0,@SD,3.0,OAK,-9.5,@NO,4.0,0.34307290057189
0.55,37.0,0.0,DAL,W,@CIN,3.5,PIT,1.0,NO,-1.0,@WAS,3.0,0.069743899604491
0.54,17.7,0.0,ARI,L,@SEA,10.5,DET,6.0,CHI,7.0,@SF,16.0,0.0
0.54,36.0,0.0,STL,W,@BUF,3.5,MIN,-1.0,@TB,3.0,@SEA,11.0,0.067470892425759
0.52,34.9,0.0,NO,L,@NYG,4.0,TB,-3.5,@DAL,1.0,CAR,-4.0,0.34614165086527
0.47,31.5,0.0,HOU,L,@NE,5.5,IND,-10.5,MIN,-9.5,@IND,-6.5,0.91676322456363
0.43,24.6,0.0,PHI,W,@TB,8.0,CIN,4.5,WAS,4.5,@NYG,6.5,0.0
0.43,28.4,0.0,DET,L,@GB,6.5,@ARI,-6.0,ATL,3.5,CHI,3.0,0.23439857319846
0.42,26.5,0.0,KC,L,@CLE,7.0,@OAK,4.5,IND,4.5,@DEN,17.0,0.0
0.38,24.6,0.0,SD,W,@PIT,7.0,CAR,-3.0,@NYJ,3.0,OAK,-9.5,0.42229519882659
0.33,17.6,0.0,MIA,L,@SF,10.0,JAX,-8.0,BUF,-5.0,@NE,11.0,0.51870586194462
0.31,18.7,0.0,OAK,L,DEN,10.0,KC,-4.5,@CAR,9.5,@SD,9.5,0.19174624798223
