EV,W_pct,P_pct,Team,Team_Result,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.2,84.8,6.6,BUF,W,@NYJ,-13.5,IND,-7.5,@NO,-3.0,NE,-6.5,@TB,3.5,CAR,-9.5,@NE,-3.0,ATL,-10.5,NYJ,-17.0,0.79612186259385
1.1,78.6,8.1,TB,L,@WAS,-10.0,NYG,-11.5,@IND,-4.0,@ATL,-8.0,BUF,-3.5,NO,-8.0,@CAR,-7.0,@NYJ,-16.5,CAR,-11.0,1.0
1.08,78.7,11.6,IND,W,JAX,-10.5,@BUF,7.5,TB,4.0,@HOU,-7.5,BYE,,NE,-3.0,@ARI,6.0,LV,-3.5,@JAX,-5.5,0.29389422573389
1.04,76.7,13.8,DAL,W,ATL,-8.0,@KC,2.5,LV,-6.5,@NO,-0.5,@WAS,-3.5,@NYG,-4.0,WAS,-7.5,ARI,-1.5,@PHI,-3.0,0.40323858977217
1.02,73.4,7.2,ARI,L,CAR,-7.0,@SEA,-2.5,BYE,,@CHI,-6.5,LAR,-2.0,@DET,-9.5,IND,-6.0,@DAL,1.5,SEA,-6.5,0.48965946094318
0.99,77.2,25.0,BAL,L,@MIA,-8.5,@CHI,-6.0,CLE,-3.5,@PIT,-2.0,@CLE,1.5,GB,-3.0,@CIN,-2.5,LAR,-1.5,PIT,-6.0,0.36116217669207
0.9,62.5,0.5,LAR,L,@SF,-3.5,BYE,,@GB,0.5,JAX,-16.0,@ARI,2.0,SEA,-7.0,@MIN,-3.0,@BAL,1.5,SF,-6.5,0.44689363757048
0.88,68.9,20.8,PIT(tie),,DET,-6.0,@LAC,6.0,@CIN,3.0,BAL,2.0,@MIN,3.0,TEN,-0.5,@KC,7.0,CLE,-0.5,@BAL,6.0,0.00090312784955929
0.88,61.6,1.3,LAC,L,MIN,-3.0,PIT,-6.0,@DEN,0.5,@CIN,-1.0,NYG,-8.0,KC,-0.5,@HOU,-10.0,DEN,-4.0,@LV,-1.5,0.47374014169457
0.86,60.3,1.3,GB,W,SEA,-3.0,@MIN,-2.5,LAR,-0.5,BYE,,CHI,-9.5,@BAL,3.0,CLE,-3.5,MIN,-4.5,@DET,-8.0,0.42915320353354
0.83,57.9,1.7,TEN,W,NO,-3.0,HOU,-10.5,@NE,1.5,BYE,,JAX,-11.0,@PIT,0.5,SF,-3.5,MIA,-7.0,@HOU,-9.0,0.60806313888771
0.83,57.4,0.4,KC,W,@LV,-2.5,DAL,-2.5,BYE,,DEN,-7.0,LV,-7.0,@LAC,0.5,PIT,-7.0,@CIN,-3.0,@DEN,-3.0,0.45975072813878
0.79,54.8,0.3,NE,W,CLE,-2.5,@ATL,-7.0,TEN,-1.5,@BUF,6.5,BYE,,@IND,3.0,BUF,3.0,JAX,-9.5,@MIA,-2.5,0.30370097972787
