EV,W_pct,P_pct,Team,Team_Result,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.13,89.2,13.0,BUF,W,NE,-14.0,NYJ,-9.5,@NE,-13.5,0.88917917264845
1.05,89.2,38.9,GB,W,NO,-14.0,@MIN,1.0,CHI,-9.5,0.40802935920438
1.02,80.7,9.9,CIN,W,CLE,-10.0,DEN,-3.0,@PIT,-1.5,0.20737346526744
0.98,80.1,18.5,ATL,W,NYG,-9.5,@WSH,4.0,CAR,-8.0,0.35194492548597
0.97,74.7,0.4,BAL,W,PIT,-7.0,@HOU,-5.5,CLE,-17.0,0.83148835726571
0.96,74.2,2.1,DET,W,@CHI,-7.0,@SF,-3.5,MIN,-4.0,0.3728775161334
0.88,67.8,0.9,TB,L,@DAL,-4.5,CAR,-8.0,NO,-8.0,0.72097142800992
0.87,69.0,6.3,ARI,L,@CAR,-5.5,@LAR,6.5,SF,2.0,0.0
0.87,66.6,0.2,PHI,L,@WSH,-4.0,DAL,-9.5,NYG,-18.5,1.0
0.83,64.9,2.8,IND,W,TEN,-4.0,@NYG,-8.0,JAX,-6.0,0.64273613916061
0.82,62.9,0.3,KC,W,HOU,-3.0,@PIT,-2.5,@DEN,-2.0,0.19053806348126
0.76,58.7,0.3,LAC,W,DEN,-3.0,@NE,-4.0,@LV,-5.0,0.44742532722593
0.75,59.1,4.4,LAR,W,@NYJ,-3.0,ARI,-6.5,SEA,-3.5,0.46868333818572
0.73,55.9,0.5,MIN,W,@SEA,-2.5,GB,-1.0,@DET,4.0,0.014935814533014
0.72,55.3,0.2,LV,W,JAX,-2.5,@NO,-1.0,LAC,5.0,0.029969036552105
0.69,53.2,0.3,SF,L,@MIA,-2.0,DET,3.5,@ARI,-2.0,0.059021880277869
0.61,46.8,0.1,MIA,W,SF,2.0,@CLE,-6.5,@NYJ,-2.0,0.35803870290537
0.58,44.7,0.3,JAX,L,@LV,2.5,TEN,-1.0,@IND,6.0,0.013346795538476
0.57,44.1,0.1,SEA,L,MIN,2.5,@CHI,-3.5,@LAR,3.5,0.18303616587878
0.55,40.9,0.1,NYJ,L,LAR,3.0,@BUF,9.5,MIA,2.0,0.0
0.54,41.3,0.1,DEN,L,@LAC,3.0,@CIN,3.0,KC,2.0,0.0
0.48,37.1,0.0,HOU,L,@KC,3.0,BAL,5.5,@TEN,-3.0,0.13366761531602
0.47,35.1,0.1,TEN,L,@IND,4.0,@JAX,1.0,HOU,3.0,0.0
0.43,33.4,0.0,WSH,W,PHI,4.0,ATL,-4.0,@DAL,-5.0,0.43120132173528
0.43,31.0,0.1,CAR,W,ARI,5.5,@TB,8.0,@ATL,8.0,0.0
0.42,32.2,0.0,DAL,W,TB,4.5,@PHI,9.5,WSH,5.0,0.0
0.34,25.8,0.1,CHI,L,DET,7.0,SEA,3.5,@GB,9.5,0.0
0.33,25.3,0.1,PIT,L,@BAL,7.0,KC,2.5,CIN,1.5,0.0
0.32,19.9,0.0,NYG,L,@ATL,9.5,IND,8.0,@PHI,18.5,0.0
0.28,19.3,0.1,CLE,L,@CIN,10.0,MIA,6.5,@BAL,17.0,0.0
0.25,10.8,0.1,NO,L,@GB,14.0,LV,1.0,@TB,8.0,0.0
0.17,10.8,0.0,NE,L,@BUF,14.0,LAC,4.0,BUF,13.5,0.0
