EV,W_pct,P_pct,Team,Team_Result,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.09,74.4,5.5,LAR,W,@SEA,-7.5,@DEN,-7.0,@SF,-6.5,GB,-3.5,@NO,2.5,SEA,-8.5,KC,-3.0,BYE,,@DET,-4.0,@CHI,-1.0,PHI,-3.0,@ARI,-9.5,SF,-9.5,0.76861771754683
1.08,82.9,34.1,NE,W,IND,-10.5,KC,-3.5,@CHI,-3.0,@BUF,-11.0,GB,-4.0,@TEN,-3.5,BYE,,@NYJ,-8.0,MIN,-6.0,@MIA,-6.0,@PIT,-3.0,BUF,-15.0,NYJ,-13.5,1.0
1.02,70.5,7.4,TEN,L,@BUF,-5.5,BAL,2.5,@LAC,3.5,BYE,,@DAL,1.5,NE,3.5,@IND,-1.5,@HOU,3.0,NYJ,-7.0,JAX,3.0,@NYG,-1.5,WAS,-3.0,IND,-4.5,0.23921307984823
1.02,70.2,6.7,NO,W,WAS,-6.0,BYE,,@BAL,1.5,@MIN,1.0,LAR,-2.5,@CIN,-1.5,PHI,-3.0,ATL,-5.0,@DAL,-3.5,@TB,-4.0,@CAR,-0.5,PIT,-5.5,CAR,-4.0,0.40979366122165
1.0,67.7,2.5,LAC,W,OAK,-5.0,@CLE,-1.0,TEN,-3.5,BYE,,@SEA,-1.5,@OAK,-3.0,DEN,-4.0,ARI,-10.0,@PIT,3.0,CIN,-3.0,@KC,4.5,BAL,-0.5,@DEN,0.5,0.33923656572343
1.0,70.0,9.6,CIN,W,MIA,-6.5,PIT,-2.5,@KC,4.0,TB,-5.0,BYE,,NO,1.5,@BAL,3.5,CLE,-6.5,DEN,-4.0,@LAC,3.0,OAK,-7.0,@CLE,-3.0,@PIT,2.5,0.38892294799655
0.95,63.0,0.7,HOU,W,DAL,-3.5,BUF,-9.5,@JAX,6.5,MIA,-3.5,@DEN,2.0,BYE,,@WAS,2.0,TEN,-3.0,CLE,-4.5,IND,-4.0,@NYJ,-3.0,@PHI,6.5,JAX,3.0,0.38680180587578
0.94,62.7,0.4,PIT,W,ATL,-3.5,@CIN,2.5,BYE,,CLE,-6.0,@BAL,4.0,CAR,-1.0,@JAX,5.5,@DEN,0.5,LAC,-3.0,@OAK,-3.0,NE,3.0,@NO,5.5,CIN,-2.5,0.17853713790436
0.94,62.7,0.5,PHI,L,MIN,-3.5,@NYG,-3.0,CAR,-3.5,@JAX,3.0,BYE,,DAL,-7.0,@NO,3.0,NYG,-9.5,WAS,-7.0,@DAL,-3.0,@LAR,3.0,HOU,-6.5,@WAS,-3.0,0.58898427673971
0.94,71.7,23.2,CAR,W,NYG,-7.0,@WAS,1.0,@PHI,3.5,BAL,-1.5,TB,-6.5,@PIT,1.0,@DET,-3.0,SEA,-6.5,@TB,-3.0,@CLE,-3.0,NO,0.5,ATL,-3.0,@NO,4.0,0.34253289812885
0.92,61.7,2.1,BAL,L,@CLE,-3.0,@TEN,-2.5,NO,-1.5,@CAR,1.5,PIT,-4.0,BYE,,CIN,-3.5,OAK,-9.0,@ATL,1.0,@KC,3.0,TB,-7.0,@LAC,0.5,CLE,-8.0,0.50629954044826
0.9,60.9,2.3,SF,L,ARI,-3.0,@GB,9.5,LAR,6.5,@ARI,-1.5,OAK,-1.0,NYG,-0.5,BYE,,@TB,5.0,@SEA,4.0,DEN,2.0,SEA,1.0,CHI,4.0,@LAR,9.5,0.024847239072616
0.87,58.3,0.7,KC,W,JAX,-3.0,@NE,3.5,CIN,-4.0,DEN,-7.0,@CLE,-5.0,ARI,-13.5,@LAR,3.0,BYE,,@OAK,-6.0,BAL,-3.0,LAC,-4.5,@SEA,-3.5,OAK,-9.5,0.7675008040931
0.79,52.2,0.1,DET,W,GB,-1.0,BYE,,@MIA,3.0,SEA,-3.0,@MIN,6.5,@CHI,6.0,CAR,3.0,CHI,2.5,LAR,4.0,@ARI,-3.5,@BUF,-3.5,MIN,3.0,@GB,7.0,0.13959984043814
0.76,49.8,0.3,NYJ,W,DEN,1.0,IND,-2.5,MIN,4.5,@CHI,7.5,@MIA,4.0,BUF,-4.0,BYE,,NE,8.0,@TEN,7.0,@BUF,-1.0,HOU,3.0,GB,6.0,@NE,13.5,0.10045959895613
0.74,50.2,2.2,DEN,L,@NYJ,-1.0,LAR,7.0,@ARI,-4.0,@KC,7.0,HOU,-2.0,BYE,,@LAC,4.0,PIT,-0.5,@CIN,4.0,@SF,-2.0,CLE,-3.5,@OAK,-0.5,LAC,-0.5,0.17200654101262
0.71,47.8,0.9,GB,L,@DET,1.0,SF,-9.5,BYE,,@LAR,3.5,@NE,4.0,MIA,-7.0,@SEA,-3.5,@MIN,2.0,ARI,-13.0,ATL,-4.0,@CHI,0.5,@NYJ,-6.0,DET,-7.0,0.68227154032367
0.63,41.7,0.1,JAX,L,@KC,3.0,@DAL,-3.0,HOU,-6.5,PHI,-3.0,BYE,,@IND,-6.0,PIT,-5.5,@BUF,-9.5,IND,-9.5,@TEN,-3.0,WAS,-7.0,@MIA,-4.0,@HOU,-3.0,0.83968330594566
0.6,39.1,0.2,ARI,W,@SF,3.0,@MIN,10.5,DEN,4.0,SF,1.5,BYE,,@KC,13.5,OAK,3.0,@LAC,10.0,@GB,13.0,DET,3.5,@ATL,10.5,LAR,9.5,@SEA,7.5,0.0
0.59,38.3,0.1,CLE,W,BAL,3.0,LAC,1.0,@TB,3.5,@PIT,6.0,KC,5.0,ATL,3.0,BYE,,@CIN,6.5,@HOU,4.5,CAR,3.0,@DEN,3.5,CIN,3.0,@BAL,8.0,0.0
0.57,28.3,0.0,NYG,L,@CAR,7.0,PHI,3.0,@ATL,6.5,WAS,-0.5,BYE,,@SF,0.5,TB,-1.5,@PHI,9.5,CHI,3.0,@WAS,3.5,TEN,1.5,@IND,3.0,DAL,-1.0,0.024998202901184
0.56,37.3,0.0,MIN,W,@PHI,3.5,ARI,-10.5,@NYJ,-4.5,NO,-1.0,DET,-6.5,BYE,,@CHI,2.0,GB,-2.0,@NE,6.0,@SEA,-3.0,MIA,-6.5,@DET,-3.0,CHI,-3.0,0.540585536349
0.56,37.3,0.1,ATL,L,@PIT,3.5,TB,-3.5,NYG,-6.5,BYE,,@WAS,-0.5,@CLE,-3.0,DAL,-4.0,@NO,5.0,BAL,-1.0,@GB,4.0,ARI,-10.5,@CAR,3.0,@TB,-1.5,0.41442501506849
0.56,37.0,0.2,DAL,L,@HOU,3.5,JAX,3.0,@WAS,3.0,BYE,,TEN,-1.5,@PHI,7.0,@ATL,4.0,WAS,-3.0,NO,3.5,PHI,3.0,@IND,1.0,TB,-3.0,@NYG,1.0,0.079959667582372
0.51,30.0,0.1,MIA,L,@CIN,6.5,CHI,3.0,DET,-3.0,@HOU,3.5,NYJ,-4.0,@GB,7.0,BYE,,@IND,1.5,BUF,-7.5,NE,6.0,@MIN,6.5,JAX,4.0,@BUF,-3.5,0.2700352414133
0.5,32.3,0.0,OAK,L,@LAC,5.0,SEA,3.0,BYE,,IND,-2.0,@SF,1.0,LAC,3.0,@ARI,-3.0,@BAL,9.0,KC,6.0,PIT,3.0,@CIN,7.0,DEN,0.5,@KC,9.5,0.056699760803909
0.49,29.8,0.1,WAS,L,@NO,6.0,CAR,-1.0,DAL,-3.0,@NYG,0.5,ATL,0.5,@TB,2.0,HOU,-2.0,@DAL,3.0,@PHI,7.0,NYG,-3.5,@JAX,7.0,@TEN,3.0,PHI,3.0,0.12153407073676
0.49,29.5,0.1,BUF,W,TEN,5.5,@HOU,9.5,@IND,6.5,NE,11.0,CHI,7.0,@NYJ,4.0,BYE,,JAX,9.5,@MIA,7.5,NYJ,1.0,DET,3.5,@NE,15.0,MIA,3.5,0.0
0.43,17.1,0.0,IND,L,@NE,10.5,@NYJ,2.5,BUF,-6.5,@OAK,2.0,BYE,,JAX,6.0,TEN,1.5,MIA,-1.5,@JAX,9.5,@HOU,4.0,DAL,-1.0,NYG,-3.0,@TEN,4.5,0.14061516166407
