EV,W_pct,P_pct,Team,Team_Result,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.27,80.5,3.2,SD,W,KC,-10.0,SF,-10.5,@CIN,-8.5,@DEN,-4.5,0.93725129292874
1.23,78.1,4.0,NO,W,STL,-9.5,@BAL,2.5,@ATL,2.5,TB,-7.5,0.30880996494867
1.17,77.2,10.0,PIT,W,CIN,-9.0,NYJ,-3.5,CAR,-15.0,@CLE,-5.5,0.86657557582026
1.12,71.9,5.2,GB,L,@DET,-7.0,@NE,14.0,NYG,-3.5,CHI,-11.0,0.54634528252588
1.03,65.1,1.1,SF,W,SEA,-5.0,@SD,10.5,@STL,2.5,ARI,-6.0,0.24201569907787
1.03,66.1,4.4,PHI,W,@DAL,-4.0,@NYG,3.0,MIN,-14.5,DAL,1.5,0.46516164196434
1.03,67.4,7.3,NYJ,L,MIA,-5.0,@PIT,3.5,@CHI,2.5,BUF,-6.5,0.040190960810201
1.01,64.5,2.3,DEN,L,@ARI,-4.5,@OAK,7.5,HOU,2.0,SD,4.5,0.0
0.96,62.6,6.0,IND,W,@TEN,-4.0,JAX,-5.0,@OAK,-2.0,TEN,-9.0,0.60254495161826
0.95,59.5,0.4,NE,W,@CHI,-3.0,GB,-14.0,@BUF,-7.5,MIA,-5.5,1.0
0.95,60.0,1.6,NYG,W,@MIN,-3.0,PHI,-3.0,@GB,3.5,@WAS,-4.5,0.32404747256455
0.95,74.1,37.2,ATL,W,@CAR,-9.0,@SEA,-6.5,NO,-2.5,CAR,-14.5,0.75653882982202
0.92,57.8,0.6,BAL,W,@HOU,-3.0,NO,-2.5,@CLE,-3.5,CIN,-9.5,0.60622301680269
0.91,63.1,13.4,JAX,W,OAK,-3.5,@IND,5.0,WAS,-7.0,@HOU,5.0,0.29552951211237
0.84,51.7,0.1,BUF,W,CLE,0.0,@MIA,4.5,NE,7.5,@NYJ,6.5,0.0
0.82,51.7,1.0,TB,W,@WAS,-1.0,DET,-4.0,SEA,-6.0,@NO,7.5,0.40540409948108
0.78,48.3,0.1,WAS,L,TB,1.0,@DAL,7.0,@JAX,7.0,NYG,4.5,0.0
0.76,48.3,1.5,CLE,L,@BUF,0.0,@CIN,1.0,BAL,3.5,PIT,5.5,0.0
0.69,36.9,0.1,OAK,L,@JAX,3.5,DEN,-7.5,IND,2.0,@KC,3.5,0.31897240414835
0.68,42.2,0.0,HOU,L,BAL,3.0,@TEN,1.0,@DEN,-2.0,JAX,-5.0,0.25191982041185
0.65,25.9,0.0,CAR,L,ATL,9.0,ARI,-2.5,@PIT,15.0,@ATL,14.5,0.093134745863177
0.65,40.0,0.0,MIN,L,NYG,3.0,CHI,6.0,@PHI,14.5,@DET,3.5,0.0
0.65,40.5,0.1,CHI,L,NE,3.0,@MIN,-6.0,NYJ,-2.5,@GB,11.0,0.30976954616745
0.64,37.4,0.0,TEN,L,IND,4.0,HOU,-1.0,@KC,4.5,@IND,9.0,0.02941320704988
0.58,35.5,0.1,ARI,W,DEN,4.5,@CAR,2.5,DAL,7.5,@SF,6.0,0.0
0.57,32.6,0.0,MIA,W,@NYJ,5.0,BUF,-4.5,DET,-3.5,@NE,5.5,0.37619958633468
0.57,33.9,0.1,DAL,L,PHI,4.0,WAS,-7.0,@ARI,-7.5,@PHI,-1.5,0.62903776532389
0.56,34.9,0.2,SEA,L,@SF,5.0,ATL,6.5,@TB,6.0,STL,3.0,0.0
0.48,28.1,0.0,DET,W,GB,7.0,@TB,4.0,@MIA,3.5,MIN,-3.5,0.17165705379992
0.42,22.8,0.0,CIN,L,@PIT,9.0,CLE,-1.0,SD,8.5,@BAL,9.5,0.021245849427973
0.37,21.9,0.0,STL,L,@NO,9.5,KC,-3.0,SF,-2.5,@SEA,-3.0,0.3245871602842
0.33,19.5,0.0,KC,L,@SD,10.0,@STL,3.0,TEN,-4.5,OAK,-3.5,0.36342016223173
