EV,W_pct,P_pct,Team,Team_Result,16,16_spread,17,17_spread,Future_Val
1.17,85.6,11.2,NE,W,BUF,-13.5,NYJ,-13.5,0.97475655773619
1.14,83.8,9.7,LAR,W,@ARI,-14.5,SF,-10.0,0.81121991841748
1.1,82.8,18.2,TEN,W,WAS,-11.5,IND,-2.0,0.13855511293333
1.06,77.6,9.1,CLE,W,CIN,-10.0,@BAL,6.0,0.0
1.04,79.3,17.9,IND,W,NYG,-10.0,@TEN,2.0,0.0
0.99,71.2,1.4,MIN,W,@DET,-6.5,CHI,-5.0,0.48179212294939
0.99,70.8,0.5,NO,W,PIT,-6.5,CAR,-9.5,0.82386717714288
0.97,73.2,12.8,DAL,W,TB,-7.5,@NYG,6.5,0.0
0.91,65.3,0.6,LAC,L,BAL,-3.5,@DEN,-6.5,0.60353211316883
0.89,64.5,3.2,CHI,W,@SF,-4.0,@MIN,5.0,0.0
0.86,61.9,1.7,MIA,L,JAX,-3.5,@BUF,3.5,0.0
0.82,59.2,1.0,GB,W,@NYJ,-3.0,DET,-7.5,0.66623356161721
0.82,58.1,0.3,ATL,W,@CAR,-3.0,@TB,0.0,0.0
0.78,56.6,2.9,DEN,L,@OAK,-2.5,LAC,6.5,0.0
0.74,53.0,0.4,KC,L,@SEA,-1.0,OAK,-13.5,0.96285863848243
0.74,53.5,2.1,PHI,W,HOU,-1.0,@WAS,-6.5,0.60985263997669
0.66,46.5,0.1,HOU,L,@PHI,1.0,JAX,-7.0,0.64451098499355
0.66,47.0,0.5,SEA,W,KC,1.0,ARI,-9.5,0.8384098325059
0.62,43.4,0.7,OAK,W,DEN,2.5,@KC,13.5,0.0
0.59,41.9,0.5,CAR,L,ATL,3.0,@NO,9.5,0.0
0.58,40.8,0.1,NYJ,L,GB,3.0,@NE,13.5,0.0
0.54,38.1,0.7,JAX,W,@MIA,3.5,@HOU,7.0,0.0
0.51,35.5,1.1,SF,L,CHI,4.0,@LAR,10.0,0.0
0.49,34.7,0.1,BAL,W,@LAC,3.5,CLE,-6.0,0.52555125927474
0.43,26.8,0.2,TB,L,@DAL,7.5,ATL,0.0,0.050920269070981
0.41,29.2,0.1,PIT,L,@NO,6.5,CIN,-14.5,1.0
0.41,28.8,0.1,DET,L,MIN,6.5,@GB,7.5,0.0
0.36,20.7,0.5,NYG,L,@IND,10.0,DAL,-6.5,0.63523732143395
0.34,22.4,1.3,CIN,L,@CLE,10.0,@PIT,14.5,0.0
0.3,17.2,0.8,WAS,L,@TEN,11.5,PHI,6.5,0.0
0.26,16.2,0.2,ARI,L,LAR,14.5,@SEA,9.5,0.0
0.23,14.4,0.1,BUF,L,@NE,13.5,MIA,-3.5,0.32579382340149
