EV,W_pct,P_pct,Team,Team_Result,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.25,71.8,4.1,SF,L,@MIN,-7.0,CIN,-5.5,BYE,,@JAX,-6.5,TB,-16.0,@SEA,-5.5,@PHI,-2.0,SEA,-9.5,@ARI,-13.5,BAL,-4.0,@WAS,-12.0,LAR,-9.0,1.0
1.22,68.9,2.3,KC,W,LAC,-6.0,@DEN,-8.0,MIA,-6.5,BYE,,PHI,-4.0,@LV,-6.0,@GB,-9.5,BUF,-5.0,@NE,-10.5,LV,-9.5,CIN,-6.5,@LAC,-1.5,0.87186357783964
1.21,76.1,15.1,BUF,L,@NE,-8.5,TB,-8.0,@CIN,1.5,DEN,-7.5,NYJ,-10.5,@PHI,3.0,BYE,,@KC,5.0,DAL,-3.0,@LAC,3.0,NE,-9.5,@MIA,1.5,0.49678592837931
1.11,61.3,0.3,BAL,W,DET,-3.0,@ARI,-8.5,SEA,-6.5,CLE,-6.5,CIN,-4.5,@LAC,1.0,BYE,,LAR,-6.5,@JAX,-3.5,@SF,4.0,MIA,-4.0,PIT,-9.5,0.6443747354804
1.09,63.0,4.1,CLE,W,@IND,-3.5,@SEA,3.0,ARI,-6.5,@BAL,6.5,PIT,-4.0,@DEN,-1.0,@LAR,3.0,JAX,-3.0,CHI,-7.0,@HOU,-3.0,NYJ,-7.0,@CIN,3.5,0.41400986263307
1.08,60.0,1.0,WAS,L,@NYG,-3.0,PHI,6.5,@NE,2.5,@SEA,6.5,NYG,-5.0,@DAL,9.0,MIA,4.0,BYE,,@LAR,6.5,@NYJ,1.0,SF,12.0,DAL,4.5,0.067790099478028
1.07,59.2,0.2,PHI,W,MIA,-3.0,@WAS,-6.5,DAL,-3.5,BYE,,@KC,4.0,BUF,-3.0,SF,2.0,@DAL,1.5,@SEA,-2.5,NYG,-15.0,ARI,-10.5,@NYG,-10.5,0.62106911597772
1.05,61.8,4.9,LAR,L,PIT,-3.5,@DAL,6.5,@GB,-3.0,BYE,,SEA,-3.0,@ARI,-3.5,CLE,-3.0,@BAL,6.5,WAS,-6.5,NO,-4.0,@NYG,-6.5,@SF,9.0,0.3792544511922
1.03,56.8,0.5,NO,L,JAX,-2.5,@IND,1.5,CHI,-6.5,@MIN,4.0,BYE,,@ATL,-0.5,DET,-1.0,CAR,-6.5,NYG,-7.5,@LAR,4.0,@TB,-1.0,ATL,-4.0,0.34537737038552
1.02,58.3,2.6,TB,L,ATL,-3.0,@BUF,8.0,@HOU,3.0,TEN,1.0,@SF,16.0,@IND,3.0,CAR,-3.5,@ATL,3.0,@GB,3.0,JAX,2.0,NO,1.0,@CAR,0.5,0.053264950021129
0.97,52.1,0.1,DEN,W,GB,-1.0,KC,8.0,BYE,,@BUF,7.5,MIN,1.5,CLE,1.0,@HOU,1.0,@LAC,7.5,@DET,4.5,NE,-3.5,LAC,3.5,@LV,3.5,0.051553085867935
0.96,55.9,4.0,LV,L,@CHI,-2.5,@DET,8.5,NYG,-7.5,NYJ,-6.5,@MIA,5.0,KC,6.0,BYE,,MIN,-0.5,LAC,3.0,@KC,9.5,@IND,-1.5,DEN,-3.5,0.24894414844002
0.92,78.2,58.1,SEA,W,ARI,-10.0,CLE,-3.0,@BAL,6.5,WAS,-6.5,@LAR,3.0,SF,5.5,@DAL,4.0,@SF,9.5,PHI,2.5,@TEN,1.0,PIT,-4.0,@ARI,-3.0,0.21432115369963
