EV,W_pct,P_pct,Team,Team_Result,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.13,82.9,11.6,MIN,W,DET,-12.0,@LAC,-2.5,GB,-3.0,CHI,-6.0,0.32940702389969
1.09,77.9,2.7,PHI,W,NYG,-9.5,@WAS,-4.5,DAL,1.5,@NYG,-3.0,0.23709310724682
1.07,85.9,36.2,GB,W,WAS,-13.0,CHI,-5.0,@MIN,3.0,@DET,-5.5,0.33243612211822
1.0,70.9,1.0,BAL,W,@BUF,-6.5,NYJ,-15.5,@CLE,-4.0,PIT,-8.0,0.73578261796826
0.98,71.9,7.6,CLE,W,CIN,-6.5,@ARI,-2.0,BAL,4.0,@CIN,-4.0,0.21336566450543
0.97,77.2,25.1,HOU,L,DEN,-8.0,@TEN,3.0,@TB,-1.0,TEN,-3.5,0.1301755818906
0.92,67.1,4.5,NYJ,W,MIA,-5.0,@BAL,15.5,PIT,3.0,@BUF,7.0,0.0
0.89,63.2,1.3,ATL,W,CAR,-3.5,@SF,11.0,JAX,-3.5,@TB,3.5,0.10984452932193
0.88,62.3,0.3,LAC,W,@JAX,-3.5,MIN,2.5,OAK,-3.5,@KC,7.0,0.1235812120211
0.85,60.7,0.9,TB,W,IND,-3.0,@DET,-3.5,HOU,1.0,ATL,-3.5,0.26220089415966
0.85,60.0,0.5,DAL,L,@CHI,-3.0,LAR,1.0,@PHI,-1.5,WAS,-11.0,0.35656370815898
0.83,58.5,0.3,NE,L,KC,-3.0,@CIN,-10.0,BUF,-8.0,MIA,-18.5,1.0
0.82,58.5,1.5,TEN,W,@OAK,-3.0,HOU,-3.0,NO,3.0,@HOU,3.5,0.081591492481929
0.76,54.8,1.9,PIT,W,@ARI,-2.5,BUF,-1.5,@NYJ,-3.0,@BAL,8.0,0.12008933566408
0.75,52.8,0.2,LAR,W,SEA,-1.0,@DAL,-1.0,@SF,4.0,ARI,-8.0,0.2689081631779
0.75,53.4,1.1,NO,L,SF,-1.0,IND,-8.0,@TEN,-3.0,@CAR,-4.0,0.50254936475503
0.66,46.6,0.1,SF,W,@NO,1.0,ATL,-11.0,LAR,-4.0,@SEA,2.5,0.4379852504529
0.66,47.2,0.6,SEA,L,@LAR,1.0,@CAR,-6.0,ARI,-10.5,SF,-2.5,0.55811926046722
0.65,45.2,0.3,ARI,L,PIT,2.5,CLE,2.0,@SEA,10.5,@LAR,8.0,0.0
0.59,41.5,0.3,OAK,L,TEN,3.0,JAX,-5.5,@LAC,3.5,@DEN,1.5,0.21219562173441
0.59,41.5,0.1,KC,W,@NE,3.0,DEN,-10.0,@CHI,-3.0,LAC,-7.0,0.59322635723227
0.57,40.0,0.3,CHI,W,DAL,3.0,@GB,5.0,KC,3.0,@MIN,6.0,0.0
0.56,39.3,0.3,IND,L,@TB,3.0,@NO,8.0,CAR,-3.0,@JAX,-1.5,0.1258534509688
0.53,37.7,0.2,JAX,L,LAC,3.5,@OAK,5.5,@ATL,3.5,IND,1.5,0.0
0.52,36.8,0.5,CAR,L,@ATL,3.5,SEA,6.0,@IND,3.0,NO,4.0,0.0
0.49,32.9,0.2,MIA,L,@NYJ,5.0,@NYG,3.5,CIN,-1.0,@NE,18.5,0.019837190807321
0.44,22.8,0.1,DEN,W,@HOU,8.0,@KC,10.0,DET,-2.5,OAK,-1.5,0.086550557439779
0.43,28.1,0.1,CIN,L,@CLE,6.5,NE,10.0,@MIA,1.0,CLE,4.0,0.0
0.42,29.1,0.0,BUF,L,BAL,6.5,@PIT,1.5,@NE,8.0,NYJ,-7.0,0.21759068376728
0.34,14.1,0.0,WAS,L,@GB,13.0,PHI,4.5,NYG,-1.0,@DAL,11.0,0.02106050715443
0.32,22.1,0.1,NYG,L,@PHI,9.5,MIA,-3.5,@WAS,1.0,PHI,3.0,0.1318721496301
0.29,17.1,0.1,DET,L,@MIN,12.0,TB,3.5,@DEN,2.5,GB,5.5,0.0
