EV,W_pct,P_pct,Team,Team_Result,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.11,75.7,6.7,SF,W,STL,-7.5,SEA,-2.5,@TB,-4.5,ATL,-14.0,@ARI,3.0,0.47599862305376
1.1,78.8,19.1,DAL,W,OAK,-9.5,@CHI,2.0,GB,-5.0,@WAS,-3.0,PHI,7.0,0.22739863996777
1.09,71.7,0.2,SEA,W,NO,-6.5,@SF,2.5,@NYG,-9.5,ARI,-8.0,STL,-13.0,0.72414888269006
1.07,74.1,9.7,CLE,L,JAX,-7.5,@NE,10.0,CHI,-1.0,@NYJ,2.5,@PIT,9.5,0.0037058362834818
1.06,70.9,3.4,DET,W,GB,-6.5,@PHI,2.5,BAL,-4.5,NYG,-9.5,@MIN,-1.5,0.4013351434425
1.02,67.1,0.5,DEN,W,@KC,-5.5,TEN,-13.0,SD,-10.0,@HOU,-10.0,@OAK,-10.0,1.0
0.99,65.9,1.7,BUF,L,ATL,-4.5,@TB,3.0,@JAX,-4.0,MIA,-1.0,@NE,7.5,0.12314804376971
0.98,72.6,21.0,NE,W,@HOU,-7.0,CLE,-10.0,@MIA,2.5,@BAL,-1.0,BUF,-7.5,0.45053582371602
0.97,74.4,27.9,CAR,W,TB,-7.5,@NO,3.0,NYJ,-10.0,NO,-3.5,@ATL,-4.5,0.46285346743952
0.94,62.7,1.7,PHI,W,ARI,-3.5,DET,-2.5,@MIN,-6.5,CHI,-2.5,@DAL,-7.0,0.45814595987997
0.94,62.3,1.1,IND,W,TEN,-3.5,@CIN,7.0,HOU,-6.0,@KC,7.5,JAX,-11.0,0.41871973416186
0.91,60.0,0.7,BAL,W,PIT,-3.0,MIN,-6.0,@DET,4.5,NE,1.0,@CIN,6.5,0.16061685232458
0.83,54.8,0.3,CIN,W,@SD,-2.5,IND,-7.0,@PIT,-2.0,MIN,-7.5,BAL,-6.5,0.58888074967481
0.79,52.4,1.3,MIN,W,CHI,-1.0,@BAL,6.0,PHI,6.5,@CIN,7.5,DET,1.5,0.0
0.77,50.7,0.5,MIA,W,@NYJ,-1.0,@PIT,3.0,NE,-2.5,@BUF,1.0,NYJ,-7.5,0.22683648354243
0.77,50.5,0.3,WAS,L,NYG,-1.0,KC,3.5,@ATL,5.5,DAL,3.0,@NYG,3.5,0.0
0.75,49.5,0.4,NYG,W,@WAS,1.0,@SD,4.0,SEA,9.5,@DET,9.5,WAS,-3.5,0.10056938599409
0.75,49.3,0.3,NYJ,L,MIA,1.0,OAK,-3.0,@CAR,10.0,CLE,-2.5,@MIA,7.5,0.11588766453346
0.73,47.6,1.0,CHI,L,@MIN,1.0,DAL,-2.0,@CLE,1.0,@PHI,2.5,GB,3.0,0.03348421103912
0.69,45.2,0.4,SD,L,CIN,2.5,NYG,-4.0,@DEN,10.0,OAK,-10.0,KC,-10.5,0.60653607189001
0.61,40.0,0.2,PIT,L,@BAL,3.0,MIA,-3.0,CIN,2.0,@GB,-1.0,CLE,-9.5,0.3044090559579
0.58,37.7,0.0,TEN,L,@IND,3.5,@DEN,13.0,ARI,2.5,@JAX,-4.0,HOU,-7.0,0.29680577411517
0.58,37.3,0.2,ARI,L,@PHI,3.5,STL,-4.0,@TEN,-2.5,@SEA,8.0,SF,-3.0,0.24703336338409
0.55,25.6,0.1,TB,L,@CAR,7.5,BUF,-3.0,SF,4.5,@STL,3.5,@NO,11.0,0.074410976163054
0.54,27.4,0.0,HOU,L,NE,7.0,@JAX,-3.0,@IND,6.0,DEN,10.0,@TEN,7.0,0.079487030964994
0.53,34.1,0.5,ATL,W,@BUF,4.5,@GB,3.5,WAS,-5.5,@SF,14.0,CAR,4.5,0.14361779901602
0.5,32.9,0.1,KC,L,DEN,5.5,@WAS,-3.5,@OAK,-6.0,IND,-7.5,@SD,10.5,0.46986575533691
0.46,29.1,0.3,GB,L,@DET,6.5,ATL,-3.5,@DAL,5.0,PIT,1.0,@CHI,-3.0,0.16531845035104
0.45,25.9,0.1,JAX,W,@CLE,7.5,HOU,3.0,BUF,4.0,TEN,4.0,@IND,11.0,0.0
0.43,28.3,0.1,NO,L,@SEA,6.5,CAR,-3.0,@STL,-6.5,@CAR,3.5,TB,-11.0,0.50882516486362
0.42,21.2,0.1,OAK,L,@DAL,9.5,@NYJ,3.0,KC,6.0,@SD,10.0,DEN,10.0,0.0
0.41,24.3,0.0,STL,L,@SF,7.5,@ARI,4.0,NO,6.5,TB,-3.5,@SEA,13.0,0.093490713640761
