EV,W_pct,P_pct,Team,Team_Result,17,17_spread,Future_Val
1.25,90.5,13.5,DEN,W,OAK,-15.5,
1.25,88.7,3.8,BAL,W,CLE,-14.0,
1.12,82.6,13.1,SEA,W,STL,-11.0,
1.09,77.3,0.6,GB,W,DET,-8.0,
1.04,74.7,4.0,MIN,W,CHI,-7.0,
1.04,73.8,1.7,IND,W,@TEN,-7.5,
1.02,73.2,5.0,MIA,L,NYJ,-7.0,
0.99,70.5,1.6,SF,W,ARI,-6.5,
0.96,69.6,5.3,DAL,W,@WAS,-6.0,
0.96,68.0,1.7,NE,L,BUF,-5.5,
0.95,68.0,2.8,NO,W,@TB,-5.5,
0.92,77.3,38.1,HOU,W,JAX,-8.0,
0.84,59.5,1.3,PIT,W,CIN,-3.0,
0.83,58.6,0.6,KC,W,SD,-3.0,
0.8,57.4,2.9,ATL,L,CAR,-3.0,
0.72,50.7,0.7,NYG,L,PHI,1.0,
0.7,49.3,0.4,PHI,W,@NYG,-1.0,
0.62,42.6,0.4,CAR,W,@ATL,3.0,
0.59,41.4,0.2,SD,L,@KC,3.0,
0.58,40.5,0.2,CIN,L,@PIT,3.0,
0.5,22.7,0.2,JAX,L,@HOU,8.0,
0.47,32.0,0.2,TB,L,NO,5.5,
0.46,32.0,0.1,BUF,W,@NE,5.5,
0.46,30.4,0.3,WAS,L,DAL,6.0,
0.43,29.5,0.1,ARI,L,@SF,6.5,
0.4,26.8,0.3,NYJ,W,@MIA,7.0,
0.38,26.2,0.1,TEN,L,IND,7.5,
0.37,25.3,0.7,CHI,L,@MIN,7.0,
0.32,22.7,0.0,DET,L,@GB,8.0,
0.3,17.4,0.1,STL,L,@SEA,11.0,
0.17,11.3,0.1,CLE,L,@BAL,14.0,
0.17,9.5,0.2,OAK,L,@DEN,15.5,
