EV,W_pct,P_pct,Team,Team_Result,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.1,77.9,7.1,KC,W,TB,-9.0,DEN,-8.0,@BUF,-0.5,@CAR,-18.5,LV,-13.5,LAC,-4.5,@CLE,-6.5,HOU,-6.5,@PIT,-4.0,@DEN,-6.0,1.0
1.05,78.5,18.4,BAL,W,DEN,-9.0,CIN,-6.0,@PIT,-4.5,@LAC,-3.0,PHI,-3.5,BYE,,@NYG,-10.0,PIT,-7.5,@HOU,-3.5,CLE,-9.5,0.760922080936
1.02,76.3,18.5,CIN,W,LV,-8.0,@BAL,6.0,@LAC,2.0,BYE,,PIT,-4.0,@DAL,-3.0,@TEN,-4.0,CLE,-6.0,DEN,-5.5,@PIT,-1.5,0.38470942685998
1.02,74.5,12.8,NO,L,@CAR,-7.0,ATL,3.5,CLE,-1.5,BYE,,LAR,1.5,@NYG,-0.5,WSH,2.0,@GB,6.5,LV,-3.5,@TB,3.5,0.075367815583419
0.99,70.1,5.1,BUF,W,MIA,-6.0,@IND,-4.0,KC,0.5,BYE,,SF,-0.5,@LAR,-3.0,@DET,3.5,NE,-12.0,NYJ,-3.5,@NE,-9.5,0.47555108816411
0.98,74.7,21.2,PHI,W,JAX,-7.5,@DAL,-7.0,WSH,-6.0,@LAR,-3.0,@BAL,3.5,CAR,-18.5,PIT,-6.5,@WSH,-3.0,DAL,-7.0,NYG,-10.5,0.90636707781783
0.97,70.1,8.7,MIN,W,IND,-5.5,@JAX,-4.0,@TEN,-6.0,@CHI,-3.0,ARI,-5.0,ATL,-3.5,CHI,-5.5,@SEA,-3.0,GB,-3.0,@DET,3.5,0.5219484373882
0.93,65.1,3.2,WSH,W,@NYG,-4.0,PIT,-3.0,@PHI,6.0,DAL,-3.5,TEN,-5.5,BYE,,@NO,-2.0,PHI,3.0,ATL,-1.0,@DAL,-1.0,0.22748491929902
0.89,61.3,0.8,TEN,W,NE,-3.5,@LAC,7.5,MIN,6.0,@HOU,6.5,@WSH,5.5,JAX,1.0,CIN,4.0,@IND,3.0,@JAX,3.5,HOU,3.5,0.0
0.89,61.2,0.7,ATL,W,DAL,-3.0,@NO,-3.5,@DEN,-1.5,BYE,,LAC,-1.0,@MIN,3.5,@LV,-4.0,NYG,-7.0,@WSH,1.0,CAR,-13.5,0.45440422386497
0.85,58.1,0.2,NYJ,W,HOU,-2.5,@ARI,1.0,IND,-5.5,BYE,,SEA,-3.5,@MIA,-1.5,@JAX,-2.5,LAR,-3.5,@BUF,3.5,MIA,-3.5,0.31788085055905
0.81,56.2,0.4,DET,W,@GB,-2.5,@HOU,-3.5,JAX,-8.0,@IND,-6.5,CHI,-7.5,GB,-4.0,BUF,-3.5,@CHI,-4.0,@SF,2.0,MIN,-3.5,0.68494996103023
0.79,54.3,0.4,LAC,W,@CLE,-2.0,TEN,-7.5,CIN,-2.0,BAL,3.0,@ATL,1.0,@KC,4.5,TB,-4.0,DEN,-5.0,@NE,-7.0,@LV,-6.0,0.51166602982402
0.79,54.3,0.3,LAR,W,@SEA,-1.5,MIA,-2.5,@NE,-4.0,PHI,3.0,@NO,-1.5,BUF,3.0,@SF,6.5,@NYJ,3.5,ARI,-3.0,SEA,-3.0,0.1792209210105
0.77,53.4,0.3,ARI,W,CHI,-1.5,NYJ,-1.0,BYE,,@SEA,2.0,@MIN,5.0,SEA,-2.5,NE,-6.5,@CAR,-7.0,@LAR,3.0,SF,4.0,0.25787492782025
0.68,46.6,0.1,CHI,L,@ARI,1.5,NE,-6.0,GB,2.0,MIN,3.0,@DET,7.5,@SF,7.0,@MIN,5.5,DET,4.0,SEA,-2.0,@GB,4.0,0.12511973063574
0.67,45.7,0.0,SEA,L,LAR,1.5,BYE,,@SF,7.0,ARI,-2.0,@NYJ,3.5,@ARI,2.5,GB,2.0,MIN,3.0,@CHI,2.0,@LAR,3.0,0.023604340388818
