EV,W_pct,P_pct,Team,Team_Result,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.13,89.6,29.1,NE,W,@MIA,-18.0,NYJ,-23.0,@BUF,-6.5,@WAS,-8.0,NYG,-13.5,@NYJ,-6.5,CLE,-7.5,@BAL,-3.0,BYE,,@PHI,-0.5,DAL,-6.5,@HOU,-3.5,KC,-4.0,@CIN,-8.0,BUF,-11.0,MIA,-17.5,1.0
1.04,83.7,25.6,BAL,W,ARI,-12.0,@KC,7.0,CLE,-3.0,@PIT,3.0,CIN,-8.0,@SEA,3.0,BYE,,NE,3.0,@CIN,-3.0,HOU,-3.0,@LAR,6.5,SF,-4.0,@BUF,-1.5,NYJ,-6.0,@CLE,3.0,PIT,-3.0,0.28782781517692
0.96,72.6,3.8,CLE,W,@NYJ,-6.5,LAR,3.0,@BAL,3.0,@SF,2.0,SEA,-3.0,BYE,,@NE,7.5,@DEN,-2.0,BUF,-6.5,PIT,-3.0,MIA,-11.0,@PIT,3.0,CIN,-8.0,@ARI,-4.0,BAL,-3.0,@CIN,-4.0,0.41026114073857
0.95,72.2,4.2,KC,W,@OAK,-7.0,BAL,-7.0,@DET,-6.5,IND,-6.5,HOU,-6.5,@DEN,-4.0,GB,-6.0,MIN,-3.0,@TEN,-3.5,LAC,-1.0,BYE,,OAK,-10.0,@NE,4.0,DEN,-9.5,@CHI,-0.5,LAC,-3.5,0.64656250367576
0.94,74.8,16.0,HOU,W,JAX,-7.5,@LAC,3.5,CAR,-4.5,ATL,-3.5,@KC,6.5,@IND,2.5,OAK,-6.5,JAX,-2.5,BYE,,@BAL,3.0,IND,-3.5,NE,3.5,DEN,-6.5,@TEN,1.5,@TB,-3.0,TEN,-3.0,0.31233072965522
0.92,71.5,9.9,CAR,L,TB,-6.5,@ARI,-2.5,@HOU,4.5,JAX,-4.0,TB,-1.5,BYE,,@SF,3.0,TEN,-2.0,@GB,6.0,ATL,-1.5,@NO,8.0,WAS,-6.0,@ATL,4.0,SEA,-1.0,@IND,3.5,NO,4.0,0.16053209743447
0.91,69.4,4.0,DAL,W,@WAS,-6.0,MIA,-21.5,@NO,4.5,GB,-3.5,@NYJ,-3.0,PHI,-3.0,BYE,,@NYG,-4.0,MIN,-3.0,@DET,-3.5,@NE,6.5,BUF,-7.0,@CHI,3.0,LAR,-1.5,@PHI,3.5,WAS,-10.5,0.50023674927529
0.86,64.2,0.6,PIT,L,SEA,-4.0,@SF,6.5,CIN,-8.0,BAL,-3.0,@LAC,3.5,BYE,,MIA,-13.5,IND,-3.5,LAR,-0.5,@CLE,3.0,@CIN,-3.5,CLE,-3.0,@ARI,-5.0,BUF,-6.5,@NYJ,-3.0,@BAL,3.0,0.45099192701813
0.82,61.5,2.0,TEN,L,IND,-3.0,@JAX,-1.5,@ATL,3.5,BUF,-4.0,@DEN,-0.5,LAC,0.5,TB,-6.0,@CAR,2.0,KC,3.5,BYE,,JAX,-4.0,@IND,3.5,@OAK,-0.5,HOU,-1.5,NO,3.0,@HOU,3.0,0.17185510683057
0.8,59.6,0.2,GB,W,MIN,-3.0,DEN,-8.0,PHI,-1.5,@DAL,3.5,DET,-7.5,OAK,-7.5,@KC,6.0,@LAC,3.5,CAR,-6.0,BYE,,@SF,0.5,@NYG,-4.0,WAS,-9.5,CHI,-3.5,@MIN,3.0,@DET,-3.5,0.4996836207766
