EV,W_pct,P_pct,Team,Team_Result,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.21,78.7,3.3,DEN,W,SD,-9.0,@NE,-3.0,@OAK,-11.5,@STL,-8.5,MIA,-6.5,@KC,1.0,BUF,-8.5,@SD,-4.5,@CIN,-3.5,OAK,-15.5,1.0
1.08,74.4,12.0,MIA,W,@JAX,-7.0,SD,-3.0,@DET,3.0,BUF,-4.0,@DEN,6.5,@NYJ,-6.5,BAL,-3.0,@NE,8.5,MIN,-4.5,NYJ,-7.0,0.50341072394263
1.07,69.3,1.3,SEA,W,@CAR,-6.0,OAK,-13.5,NYG,-10.0,@KC,1.0,ARI,-7.5,@SF,1.0,@PHI,-1.5,SF,-10.0,@ARI,-9.5,STL,-11.0,0.9554879989065
1.06,69.1,2.2,NE,W,CHI,-5.5,DEN,3.0,BYE,,@IND,3.0,DET,-7.5,@GB,2.5,@SD,-4.0,MIA,-8.5,@NYJ,-10.0,BUF,-5.5,0.60454715950318
1.06,75.4,16.9,KC,W,STL,-7.5,NYJ,-8.0,@BUF,1.5,SEA,-1.0,@OAK,-7.5,DEN,-1.0,@ARI,-2.5,OAK,-11.0,@PIT,2.5,SD,-3.0,0.53195109728543
1.03,66.4,1.0,IND,L,@PIT,-4.0,@NYG,-3.0,BYE,,NE,-3.0,JAX,-13.5,WAS,-7.5,@CLE,-3.0,HOU,-7.0,@DAL,3.5,@TEN,-7.5,0.7179354197898
1.03,71.7,12.7,CLE,W,OAK,-6.5,TB,-7.0,@CIN,6.5,HOU,-3.5,@ATL,3.0,@BUF,3.0,IND,3.0,CIN,-2.5,@CAR,5.5,@BAL,14.0,0.22165257993934
0.97,62.7,1.3,HOU,W,@TEN,-3.5,PHI,2.0,BYE,,@CLE,3.5,CIN,-2.5,TEN,-7.0,@JAX,-6.5,@IND,7.0,BAL,6.5,JAX,-8.0,0.41089772604826
0.96,61.7,1.3,DET,W,@ATL,-3.5,BYE,,MIA,-3.0,@ARI,-1.0,@NE,7.5,CHI,-7.5,TB,-10.5,MIN,-8.0,@CHI,-10.0,@GB,8.0,0.64231673593031
0.95,78.5,45.2,DAL,L,WAS,-9.0,ARI,-1.5,@JAX,-7.5,BYE,,@NYG,-4.0,PHI,-3.0,@CHI,-4.0,@PHI,3.5,IND,-3.5,@WAS,-6.0,0.52148397773601
0.92,58.6,0.2,BAL,L,@CIN,-2.5,@PIT,2.5,TEN,-10.5,BYE,,@NO,2.5,SD,-6.5,@MIA,3.0,JAX,-14.0,@HOU,-6.5,CLE,-14.0,0.79186037190291
0.89,57.0,0.8,NYJ,L,BUF,-3.0,@KC,8.0,PIT,3.5,BYE,,@BUF,2.5,MIA,6.5,@MIN,3.5,@TEN,-3.5,NE,10.0,@MIA,7.0,0.062131473347515
0.84,53.8,0.3,TB,L,MIN,-2.0,@CLE,7.0,ATL,3.0,@WAS,7.0,@CHI,4.0,CIN,5.5,@DET,10.5,@CAR,3.5,GB,11.5,NO,5.5,0.0
0.83,53.1,0.1,NO,W,GB,-2.0,@CAR,-3.0,SF,-5.5,CIN,-7.5,BAL,-2.5,@PIT,3.5,CAR,-8.5,@CHI,-3.0,ATL,-5.5,@TB,-5.5,0.72903150021025
0.8,51.2,0.1,ARI,W,PHI,-1.0,@DAL,1.5,STL,-7.0,DET,1.0,@SEA,7.5,@ATL,-1.5,KC,2.5,@STL,6.0,SEA,9.5,@SF,6.5,0.13245377068885
0.76,48.8,0.1,PHI,L,@ARI,1.0,@HOU,-2.0,CAR,-7.0,@GB,4.5,TEN,-12.5,@DAL,3.0,SEA,1.5,DAL,-3.5,@WAS,-7.5,@NYG,-1.0,0.51594791993521
0.73,46.9,0.3,GB,L,@NO,2.0,BYE,,CHI,-8.5,PHI,-4.5,@MIN,-7.5,NE,-2.5,ATL,-13.5,@BUF,-3.0,@TB,-11.5,DET,-8.0,0.98217596816166
