EV,W_pct,P_pct,Team,Team_Result,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.1,82.1,10.5,SF,L,STL,-10.5,@NO,5.5,@NYG,-3.5,WAS,-10.0,SEA,-1.0,@OAK,-8.0,@SEA,10.0,SD,-2.0,ARI,-6.5,0.51498343922784
1.05,85.4,33.3,SEA,W,OAK,-13.5,NYG,-10.0,@KC,1.0,ARI,-7.5,@SF,1.0,@PHI,-1.5,SF,-10.0,@ARI,-9.5,STL,-11.0,0.78399465539739
1.03,77.3,10.5,KC,W,NYJ,-8.0,@BUF,1.5,SEA,-1.0,@OAK,-7.5,DEN,-1.0,@ARI,-2.5,OAK,-11.0,@PIT,2.5,SD,-3.0,0.39608519041401
1.03,73.6,2.4,CLE,W,TB,-7.0,@CIN,6.5,HOU,-3.5,@ATL,3.0,@BUF,3.0,IND,3.0,CIN,-2.5,@CAR,5.5,@BAL,14.0,0.10010246598904
0.94,81.3,40.3,CIN,W,JAX,-10.5,CLE,-6.5,@NO,7.5,@HOU,2.5,@TB,-5.5,PIT,-3.0,@CLE,2.5,DEN,3.5,@PIT,3.0,0.24802399985905
0.88,62.1,0.4,NO,W,@CAR,-3.0,SF,-5.5,CIN,-7.5,BAL,-2.5,@PIT,3.5,CAR,-8.5,@CHI,-3.0,ATL,-5.5,@TB,-5.5,0.67749822786483
0.85,60.0,0.5,IND,W,@NYG,-3.0,BYE,,NE,-3.0,JAX,-13.5,WAS,-7.5,@CLE,-3.0,HOU,-7.0,@DAL,3.5,@TEN,-7.5,0.67751788009224
0.84,59.3,0.1,DEN,L,@NE,-3.0,@OAK,-11.5,@STL,-8.5,MIA,-6.5,@KC,1.0,BUF,-8.5,@SD,-4.5,@CIN,-3.5,OAK,-15.5,0.96840372905734
0.83,58.1,0.1,MIA,W,SD,-3.0,@DET,3.0,BUF,-4.0,@DEN,6.5,@NYJ,-6.5,BAL,-3.0,@NE,8.5,MIN,-4.5,NYJ,-7.0,0.46935688479722
0.78,55.0,0.5,PIT,W,BAL,-2.5,@NYJ,-3.5,@TEN,-7.0,BYE,,NO,-3.5,@CIN,3.0,@ATL,-3.0,KC,-2.5,CIN,-3.0,0.38010272287344
0.77,53.8,0.2,DAL,L,ARI,-1.5,@JAX,-7.5,BYE,,@NYG,-4.0,PHI,-3.0,@CHI,-4.0,@PHI,3.5,IND,-3.5,@WAS,-6.0,0.51076646552714
0.76,53.8,0.2,PHI,W,@HOU,-2.0,CAR,-7.0,@GB,4.5,TEN,-12.5,@DAL,3.0,SEA,1.5,DAL,-3.5,@WAS,-7.5,@NYG,-1.0,0.5051299421543
0.72,50.7,0.2,MIN,W,WAS,-1.0,BYE,,@CHI,1.5,GB,7.5,CAR,-2.5,NYJ,-3.5,@DET,8.0,@MIA,4.5,CHI,-7.0,0.23656635061012
0.7,49.3,0.1,WAS,L,@MIN,1.0,BYE,,TB,-7.0,@SF,10.0,@IND,7.5,STL,2.5,@NYG,7.0,PHI,7.5,DAL,6.0,0.1236396016411
0.66,46.2,0.0,HOU,L,PHI,2.0,BYE,,@CLE,3.5,CIN,-2.5,TEN,-7.0,@JAX,-6.5,@IND,7.0,BAL,6.5,JAX,-8.0,0.41835448979406
0.66,46.2,0.2,ARI,W,@DAL,1.5,STL,-7.0,DET,1.0,@SEA,7.5,@ATL,-1.5,KC,2.5,@STL,6.0,SEA,9.5,@SF,6.5,0.13485747460994
0.64,45.0,0.1,BAL,L,@PIT,2.5,TEN,-10.5,BYE,,@NO,2.5,SD,-6.5,@MIA,3.0,JAX,-14.0,@HOU,-6.5,CLE,-14.0,0.80623065272614
